;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;153640056;12/30/2015;02:15 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13009609119339, -87.95235324136894];6205 N TEUTONIA AV
1;153640072;12/30/2015;04:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11825829141905, -87.93759620578234];5570 N LONG ISLAND DR
2;153620040;12/28/2015;06:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.108973779906506, -87.95162863200395];5035 N 31ST ST
3;153590007;12/25/2015;12:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.105634413266785, -87.96265432803409];4846 N 40TH ST
4;153590013;12/25/2015;12:31 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.099695471550575, -87.93817538631792];4538 N 21ST ST
5;153590091;12/25/2015;04:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1075213602291, -87.97026407213649];4959 N 46TH ST
6;153580098;12/24/2015;01:56 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.09514119900166, -87.93060006982499];4311 N 16TH ST
7;153570052;12/23/2015;09:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10759716763806, -87.97023868307438];4949 N 46TH ST
8;153570110;12/23/2015;03:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10944292200935, -87.96020907372014];5053 N 38TH ST
9;153510050;12/17/2015;10:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.104321546742625, -87.93633094463038];1985 W HAMPTON AV
10;153510070;12/17/2015;12:55 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.128876217035085, -87.95220781403914];6063 N TEUTONIA AV
11;153510104;12/17/2015;03:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.096058549541226, -87.93298591185312];4342 N 18TH ST
12;153510117;12/17/2015;05:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09598697782932, -87.94676415104884];4330 N 27TH ST
13;153510192;12/17/2015;10:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10835140864809, -87.96807253197157];4420 W FAIRMOUNT AV
14;153490027;12/15/2015;05:36 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.093260282820694, -87.92698107372014];4183 N 13TH ST
15;153490111;12/15/2015;02:18 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.090613465722214, -87.9356124190665];4042 N 19TH PL
16;153490119;12/15/2015;12:04 PM;7.0;THEFT FROM BUILDING;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST #3114
17;153480153;12/14/2015;04:42 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.08976747489748, -87.94053955536961];2234 W CAPITOL DR
18;153480218;12/14/2015;09:41 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09049722009348, -87.94084388631792];4030 N 23RD ST
19;153470029;12/13/2015;06:43 AM;5.0;COUNTERFEITING/FORGERY;THEFT FROM BUILDING;;;[43.100993754659754, -87.94476059515867];4614 N TEUTONIA AV
20;153470048;12/13/2015;09:22 AM;5.0;THEFT FROM COIN-OPPERATED MACHINES;;;;[43.0899075337582, -87.95050102553522];2930 W CAPITOL DR
21;153460153;12/12/2015;07:48 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11255281432854, -87.94999546194263];5232 N TEUTONIA AV
22;153450079;12/11/2015;01:25 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.09042313687248, -87.92586235141037];4055 N 12TH ST
23;153450089;12/11/2015;02:42 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11005593931557, -87.95651385109893];5105 N 35TH ST
24;153450098;12/11/2015;02:44 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1090587994798, -87.93909753846];5008 N 22ND ST
25;153440076;12/10/2015;11:56 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13131829935657, -87.95862899954042];3714 W DOUGLAS AV
26;153450005;12/10/2015;11:33 PM;4.0;THEFT FROM BUILDING;;;;[43.12459529078192, -87.94629910085513];2716 W BOBOLINK AV #25
27;153480088;12/10/2015;02:46 PM;7.0;THEFT FROM BUILDING;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
28;153430083;12/09/2015;02:13 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12824850928659, -87.96637730462777];4311 W MONROVIA WA
29;153420147;12/08/2015;10:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10737275437128, -87.97517165753918];4937 N 50TH ST
30;153410068;12/07/2015;11:05 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09124508964743, -87.9457301281088];4069 N 26TH ST
31;153400078;12/06/2015;02:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11158341326677, -87.95148584635596];5184 N 31ST ST
32;153370068;12/03/2015;01:14 PM;4.0;THEFT FROM BUILDING;;;;[43.11606499417161, -87.96347490463978];5414 N 41ST ST
33;153370123;12/03/2015;07:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10672430391253, -87.93400583524746];4910 N 19TH ST
