Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address,
150290085;01/29/2015;02:06 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10560025728549, -87.93410809925535];4857 N 19TH ST
150290159;01/29/2015;10:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.13024119900166, -87.95845759925535];6163 N 37TH ST
150270156;01/27/2015;10:11 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10823651154121, -87.95249083236193];3126 W FAIRMOUNT AV
150260029;01/26/2015;08:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11728069608748, -87.95756863200396];5479 N 36TH ST
150260133;01/26/2015;08:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09133467055227, -87.94089913921731];4073 N 23RD ST
150220011;01/22/2015;04:32 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09138780099832, -87.941896430175];4074 N 24TH ST
150220074;01/22/2015;05:49 PM;5.0;THEFT FROM BUILDING;;;[43.099310392412406, -87.93700933815626];4556 N 20TH ST
150210019;01/21/2015;06:09 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.14770902553522, -87.96728337852764];7144 N 44TH ST
150210064;01/21/2015;11:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.093132658895485, -87.93188544460172];4172 N 17TH ST
150210094;01/21/2015;03:01 PM;5.0;THEFT FROM BUILDING;;;[43.09306138190317, -87.92813491185314];4172 N 14TH ST
150190145;01/19/2015;07:25 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11925348600596, -87.9564915];3500 W SILVER SPRING DR
150150008;01/15/2015;01:13 AM;4.0;THEFT FROM BUILDING;;;[43.14255233011156, -87.95677308276103];6865 N DARIEN ST #4
150150023;01/15/2015;07:18 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09566191035259, -87.93050641185313];4330 N 16TH ST
150150042;01/15/2015;10:48 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09636444463038, -87.93190911368208];4365 N 17TH ST
150150077;01/15/2015;02:45 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.096589664723865, -87.93183287520941];4374 N 17TH ST
150150125;01/15/2015;08:30 PM;4.0;THEFT FROM BUILDING;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
150140105;01/14/2015;06:20 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
150140115;01/14/2015;06:18 PM;4.0;THEFT FROM BUILDING;;;[43.13457380486482, -87.96586540074465];6400 N 43RD ST
150130021;01/13/2015;08:23 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.0903892200935, -87.94084388631792];4026 N 23RD ST
150130037;01/13/2015;10:08 AM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;[43.120873872928065, -87.95869368143964];5677 N 37TH ST
150130046;01/13/2015;11:17 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09339561809682, -87.92818954097154];4187 N 14TH ST
150130104;01/13/2015;05:56 PM;7.0;THEFT FROM BUILDING;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
150110064;01/11/2015;10:25 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.090695220093494, -87.94343389684948];4044 N 24TH PL
150090027;01/09/2015;08:54 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.090695220093494, -87.94343389684948];4044 N 24TH PL
150070063;01/07/2015;02:29 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.10202994702498, -87.94340567441873];2456 W CORNELL ST
150070077;01/07/2015;04:59 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.08982951960866, -87.94096693360511];2300 W CAPITOL DR
150060044;01/06/2015;01:36 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10739930391253, -87.9427553280341];4934 N 24TH PL
150050069;01/05/2015;03:18 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09389832944774, -87.94337587189119];4252 N 24TH PL
150030053;01/03/2015;12:04 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.11925348600596, -87.9564915];3500 W SILVER SPRING DR
150020045;01/02/2015;09:26 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09176622009349, -87.94341589684949];4110 N 24TH PL
150020112;01/02/2015;03:21 PM;7.0;THEFT FROM BUILDING;;;[43.10550450678067, -87.97336977407812];4819 W LUSCHER AV
150010121;01/01/2015;04:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.1156672793995, -87.9636032793995];4100 W CUSTER AV
150290067;01/29/2015;12:04 PM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;[43.07274866472389, -87.97608392627986];2950 N 50TH ST
150290068;01/29/2015;12:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.08188857366268, -87.9872781074032];3435 N 60TH ST
150280110;01/28/2015;06:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.07268817929483, -87.99870995325739];2965 N 69TH ST
150280159;01/28/2015;09:55 PM;3.0;THEFT FROM BUILDING;;;[43.0320344995673, -87.99676196295223];6721 W STEVENSON ST
150240063;01/24/2015;10:15 AM;3.0;THEFT FROM MOTOR VEHICLE;;;[43.03404891618098, -88.00605163200395];301 N 75TH ST #4
143520009;01/23/2015;04:27 AM;7.0;THEFT FROM BUILDING;;;[43.07427886372554, -87.9820516392173];3035 N 55TH ST
150220027;01/22/2015;10:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.085438832361945, -88.00716436799604];3742 N 76TH ST
150220036;01/22/2015;11:11 AM;3.0;THEFT FROM BUILDING;;;[43.04083771412088, -87.98290034176833];920 N HAWLEY RD #300
150220064;01/22/2015;03:12 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.07189521455357, -87.98827327739635];6050 W APPLETON AV
