;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;150900026;03/31/2015;07:35 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.10449081541075, -87.95260431030843];3159 W HAMPTON AV
1;150900069;03/31/2015;01:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.120798658895495, -87.95739488631791];5670 N 36TH ST
2;150900149;03/31/2015;11:57 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.115648691165646, -87.95884285945384];3700 W CUSTER AV
3;150890034;03/30/2015;08:25 AM;7.0;THEFT FROM BUILDING;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
4;150890042;03/30/2015;09:29 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1421111401696, -87.95463751007023];6850 N TEUTONIA AV
5;150890046;03/30/2015;09:26 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.097933064660445, -87.92788970194452];4453 N GREEN BAY AV
6;150890073;03/30/2015;10:05 AM;7.0;THEFT FROM BUILDING;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
7;150880059;03/29/2015;01:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
8;150870004;03/28/2015;12:31 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09097324562873, -87.94343642627985];4054 N 24TH PL
9;150870116;03/28/2015;05:14 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09746939780987, -87.92765925947413];4427 N GREEN BAY AV
10;150860085;03/27/2015;03:36 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.126002303912514, -87.95850286078269];5956 N 37TH ST
11;150860117;03/27/2015;06:18 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
12;150850147;03/26/2015;03:48 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12932658582867, -87.9624655680074];6117 N 40TH ST
13;150840058;03/25/2015;11:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.102359838190324, -87.9370291392173];4665 N 20TH ST
14;150830076;03/24/2015;01:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09367386372554, -87.94691163589908];4231 N 27TH ST
15;150830104;03/24/2015;04:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.109257645444885, -87.93225725673824];5060 N GREEN BAY AV
16;150830120;03/24/2015;05:17 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09416842670577, -87.93433745855543];1900 W OLIVE ST
17;150820120;03/23/2015;02:43 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09857894754458, -87.93712011368208];4475 N 20TH ST
18;150820146;03/23/2015;03:48 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.09510511518263, -87.93553061757723];4243 N 19TH PL
19;150810036;03/22/2015;06:50 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12396341104508, -87.95151954235654];5859 N TEUTONIA AV
20;150810001;03/21/2015;09:55 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11189757084524, -87.94907216998793];2908 W VILLARD AV
21;150790078;03/20/2015;01:19 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.09102780099835, -87.941905430175];4058 N 24TH ST
22;150760135;03/17/2015;07:07 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09398886372554, -87.9355596503258];4193 N 19TH PL
23;150750100;03/16/2015;02:23 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11485551211812, -87.94821133236194];2800 W CUSTER AV
24;150740053;03/15/2015;10:31 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.09585099417163, -87.93417488631792];4326 N 19TH ST
25;150740105;03/15/2015;05:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
26;150720114;03/13/2015;05:21 PM;7.0;THEFT FROM BUILDING;;;;[43.10739930391253, -87.94153338790538];4950 N 24TH ST
27;150720128;03/13/2015;06:58 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
28;150700078;03/11/2015;03:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09340413627447, -87.93550591185313];4172 N 19TH PL #1
29;150700082;03/11/2015;04:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
30;150690081;03/10/2015;04:06 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.148951270663424, -87.95658008778894];7222 N TEUTONIA AV
31;150680037;03/09/2015;08:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV
32;150680045;03/09/2015;10:06 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
33;150660085;03/07/2015;04:27 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.093314031363604, -87.94464110646872];4223 N 25TH ST
34;150650057;03/06/2015;01:05 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
35;150650117;03/06/2015;08:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.0920550896474, -87.94194913200396];4129 N 24TH ST
36;150630083;03/04/2015;04:14 PM;5.0;THEFT FROM BUILDING;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
37;150620018;03/03/2015;08:34 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.114167754371294, -87.96003913200396];5317 N 38TH ST
38;150620102;03/03/2015;06:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.14145733314082, -87.95480024069451];6811 N TEUTONIA AV
39;150610082;03/02/2015;02:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09052282653357, -87.93314341185312];4042 N 18TH ST
40;150600051;03/01/2015;11:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.106478841317724, -87.95785168613358];3600 W STARK ST
41;150900018;03/31/2015;06:10 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.03347347155059, -88.00863857040191];217 N 77TH ST
42;150900020;03/31/2015;06:28 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.0333924715506, -88.00863857040191];213 N 77TH ST
43;150900021;03/31/2015;06:43 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.03331350429918, -88.00863857040191];209 N 77TH ST
44;150900042;03/31/2015;10:04 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.03392257132533, -88.00594809786537];332 N 75TH ST
45;150880096;03/29/2015;07:01 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.074758294477476, -87.98737884779825];3055 N 60TH ST
46;150880100;03/29/2015;06:37 PM;7.0;THEFT FROM BUILDING;;;;[43.0736047543713, -87.9785900809335];3003 N 52ND ST
47;150860044;03/27/2015;09:15 AM;3.0;THEFT FROM BUILDING;;;;[43.06685324562872, -87.98211338631792];2632 N 55TH ST
48;150850078;03/26/2015;02:02 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.06184233680771, -87.97877288826592];2367 N 52ND ST
49;150830127;03/24/2015;06:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08247448124546, -87.99498];6607 W KEEFE AVENUE PK
50;150810103;03/22/2015;04:20 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.03288816763808, -88.0241390809335];171 N 90TH ST
51;150810122;03/22/2015;06:08 PM;3.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.04589454284749, -87.9664620693923];4131 W MARTIN DR
