;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address,
0;153040047;10/31/2015;09:25 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.14874562550005, -87.96373616016001];4142 W GOOD HOPE RD
1;153040058;10/31/2015;10:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.144549513994036, -87.96847075145709];4431 W KILEY AV
2;153040067;10/31/2015;11:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.145177156241104, -87.96968865211483];4529 W KILEY AV
3;153030074;10/30/2015;01:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.111169318627724, -87.96293989673391];5174 N HOPKINS ST
4;153030085;10/30/2015;12:49 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
5;153020039;10/29/2015;08:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.116146161809695, -87.96465487910454];5420 N 42ND ST
6;153020054;10/29/2015;09:48 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10514152983439, -87.95649333409362];4834 N MOTHER DANIELS WA
7;153020093;10/29/2015;12:11 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.141297306533396, -87.95791554186611];3744 W GREEN TREE RD
8;153010080;10/28/2015;01:42 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09608611518263, -87.934240092042];4337 N 19TH ST
9;153010111;10/28/2015;12:42 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.104005832361935, -87.95034340795799];4768 N 30TH ST
10;153000032;10/27/2015;08:55 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11705499417161, -87.95989336078269];5466 N 38TH ST
11;153000094;10/27/2015;04:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.098297988343234, -87.94796394460172];4452 N 28TH ST
12;152990044;10/26/2015;11:14 AM;7.0;THEFT FROM BUILDING;;;[43.10514152983439, -87.95649333409362];4834 N MOTHER DANIELS WA
13;152990100;10/26/2015;03:57 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.127357814941675, -87.96352806720955];6044 N 41ST ST
14;152990107;10/26/2015;04:15 PM;7.0;THEFT FROM BUILDING;;;[43.10769633527613, -87.97143815032581];4955 N 47TH ST #3
15;152980082;10/25/2015;02:21 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
16;152970070;10/24/2015;01:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.116704863725545, -87.95876809925535];5449 N 37TH ST
17;152970096;10/24/2015;12:49 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.12180732944776, -87.95372386078269];5736 N 33RD ST
18;152960014;10/23/2015;03:18 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.142463115182636, -87.96578809925535];6859 N 43RD ST
19;152950067;10/22/2015;12:34 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.14399440273521, -87.95509558162692];6944 N TEUTONIA AV
20;152950146;10/22/2015;05:05 PM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09365499417163, -87.94558290463978];4238 N 26TH ST #LWR
21;152940103;10/21/2015;12:58 PM;7.0;THEFT FROM BUILDING;;;[43.11018258380988, -87.9394746270244];2226 W LANCASTER AV
22;152940117;10/21/2015;02:50 PM;5.0;THEFT FROM BUILDING;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
23;152940128;10/21/2015;03:24 PM;5.0;THEFT FROM BUILDING;;;[43.089542453257394, -87.93040980391253];1524 W CAPITOL DR
24;152920014;10/19/2015;01:23 AM;4.0;AGGRAVATED ASSAULT;THEFT FROM MOTOR VEHICLE;;[43.145949739944555, -87.9583077944488];7048 N 38TH CT
25;152920040;10/19/2015;10:40 AM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;[43.09369254674263, -87.92601367055225];1217 W OLIVE ST
26;152920154;10/19/2015;11:03 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.1143469686364, -87.95631339353127];5326 N 35TH ST
27;152910041;10/18/2015;10:40 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
28;152910060;10/18/2015;12:52 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
29;152910091;10/18/2015;04:37 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.12135732944776, -87.95372288631792];5710 N 33RD ST
30;152910094;10/18/2015;06:55 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
