;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;162730058;09/29/2016;12:40 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09479880099835, -87.93923340463978];4224 N 22ND ST
1;162730116;09/29/2016;06:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10414163918864, -87.9516338280341];4774 N 31ST ST
2;162710170;09/27/2016;10:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
3;162690023;09/25/2016;02:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13407283363709, -87.96614687522782];4300 W MILL RD
4;162670097;09/23/2016;10:24 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09573643592256, -87.94220229872005];4315 N TEUTONIA AV
5;162660090;09/22/2016;03:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14573246047076, -87.95933214210284];3832 W HELENA ST
6;162650047;09/21/2016;08:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12080963918865, -87.95490435356932];5672 N 34TH ST
7;162640091;09/20/2016;03:41 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104421486005975, -87.93341032944774];1812 W HAMPTON AV
8;162630145;09/19/2016;02:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10102332168612, -87.93226317718869];4624 N 18TH ST
9;162610012;09/17/2016;02:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12374546047074, -87.94691172300767];2716 W ORIOLE DR
10;162600060;09/16/2016;12:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104705265431065, -87.95677226543107];3500 W HAMPTON AV
11;162600068;09/16/2016;01:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14378200765677, -87.95550192216135];6933 N TEUTONIA AV
12;162580081;09/14/2016;04:40 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
13;162570041;09/13/2016;08:16 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11114548211083, -87.96469133819032];4130 W EGGERT PL
14;162570055;09/13/2016;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13122885274557, -87.96284511839667];4010 W DOUGLAS AV
15;162570142;09/13/2016;06:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0992963491546, -87.94533664651759];4512 N 26TH ST
16;162560039;09/12/2016;05:05 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12764841326677, -87.96239635688754];6046 N 40TH ST
17;162560196;09/12/2016;11:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111877481245465, -87.96363142339432];4105 W VILLARD AV
18;162540067;09/10/2016;09:47 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09746939780987, -87.92765925947413];4427 N GREEN BAY AV
19;162530032;09/09/2016;07:15 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10646547403208, -87.97790233236194];5207 W STARK ST
20;162530044;09/09/2016;08:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12026670497427, -87.95255388591389];3136 W REICHERT PL
21;162530065;09/09/2016;12:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14145733314082, -87.95480024069451];6811 N TEUTONIA AV
22;162530091;09/09/2016;02:37 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100440994171635, -87.94286384635598];4570 N 24TH PL
23;162540003;09/09/2016;11:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089832486005974, -87.944202];2462 W CAPITOL DR
