Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
162130008;07/31/2016;12:12 AM;4.0;SIMPLE ASSAULT;;;;;5301 N 28TH ST #LWR
162130022;07/31/2016;01:22 AM;4.0;SIMPLE ASSAULT;;;;;6024 N 35TH ST #308
162130023;07/31/2016;01:49 AM;7.0;ROBBERY;;;;;3541 W VILLARD AV
162130043;07/31/2016;05:12 AM;4.0;SIMPLE ASSAULT;;;;;5628 N 36TH ST
162130055;07/31/2016;08:54 AM;5.0;ALL OTHER LARCENY;;;;;4238 N 18TH ST
162130083;07/31/2016;12:45 PM;5.0;ALL OTHER LARCENY;;;;;4059 N 24TH PL
162130105;07/31/2016;05:36 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5326 N 38TH ST
162130119;07/31/2016;05:31 PM;4.0;ALL OTHER LARCENY;;;;;4560 W MILL RD
162130133;07/31/2016;07:41 PM;7.0;AGGRAVATED ASSAULT;ALL OTHER OFFENSES;;;;4200 W FAIRMOUNT AV
162130137;07/31/2016;07:53 PM;5.0;AGGRAVATED ASSAULT;;;;;2900 W ATKINSON AV
162120064;07/30/2016;09:02 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2458 W CAPITOL DR
162120068;07/30/2016;11:31 AM;5.0;ROBBERY;;;;;2305 W ATKINSON AV
162120097;07/30/2016;02:53 PM;4.0;PURSE SNATCHING;ALL OTHER OFFENSES;;;;3500 W VILLARD AV
162120101;07/30/2016;04:32 PM;4.0;AGGRAVATED ASSAULT;;;;;3733 W FLORIST AV
162120101;07/30/2016;04:32 PM;4.0;SIMPLE ASSAULT;;;;;3733 W FLORIST AV
162120105;07/30/2016;04:27 PM;4.0;SIMPLE ASSAULT;;;;;6835 N DARIEN ST #1
162120134;07/30/2016;08:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6043 N 38TH ST
162120135;07/30/2016;06:22 PM;7.0;SIMPLE ASSAULT;;;;;4909 N 39TH ST
162120141;07/30/2016;08:33 PM;7.0;AGGRAVATED ASSAULT;;;;;5006 N 35TH ST
162110063;07/29/2016;11:50 AM;5.0;AGGRAVATED ASSAULT;;;;;4645 N TEUTONIA AV
162110080;07/29/2016;03:02 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5151 N 51ST BL #UPPR
162110112;07/29/2016;04:47 PM;7.0;SIMPLE ASSAULT;;;;;4870 N 24TH PL
162110164;07/29/2016;10:33 PM;4.0;SIMPLE ASSAULT;;;;;3507 W KILEY AV #2
162120022;07/29/2016;11:49 PM;4.0;THEFT FROM BUILDING;;;;;7123 N TEUTONIA AV #101
162100019;07/28/2016;04:39 AM;5.0;THEFT FROM BUILDING;;;;;4657 N 30TH ST
162100037;07/28/2016;08:36 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4330 N 27TH ST
162100064;07/28/2016;12:44 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4765 N 32ND ST #208
162100091;07/28/2016;09:24 AM;4.0;MOTOR VEHICLE THEFT;;;;;5470 N 37TH ST
162100093;07/28/2016;09:05 AM;4.0;AGGRAVATED ASSAULT;;;;;5817 N TEUTONIA AV
162100111;07/28/2016;01:14 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4370 N 29TH ST
162100121;07/28/2016;07:09 PM;5.0;AGGRAVATED ASSAULT;;;;;4376 N 30TH ST
162100125;07/28/2016;07:09 PM;7.0;AGGRAVATED ASSAULT;;;;;3605 W VILLARD AV
162110004;07/28/2016;11:42 PM;7.0;AGGRAVATED ASSAULT;;;;;5002 N 46TH ST
162110032;07/28/2016;10:04 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4962 N 28TH ST
162090003;07/27/2016;12:05 AM;7.0;ARSON;;;;;3126 W FAIRMOUNT AV
162090058;07/27/2016;10:21 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4339 N 27TH ST #2
162090064;07/27/2016;01:19 PM;4.0;AGGRAVATED ASSAULT;;;;;4000 W CUSTER AV
162090081;07/27/2016;01:19 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4165 N GREEN BAY AV
162090105;07/27/2016;06:05 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6957 N 37TH ST
162090128;07/27/2016;07:53 PM;7.0;AGGRAVATED ASSAULT;;;;;1927 W EGGERT PL
162090139;07/27/2016;10:40 PM;4.0;SIMPLE ASSAULT;;;;;5519 N 37TH ST
162100001;07/27/2016;08:12 PM;5.0;AGGRAVATED ASSAULT;;;;;4053 N 24TH PL
162080011;07/26/2016;12:49 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4010 W GOOD HOPE RD
162080020;07/26/2016;02:27 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4117 N 15TH ST
162080025;07/26/2016;02:56 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3125 W CAMERON AV
162080048;07/26/2016;08:29 AM;4.0;ALL OTHER LARCENY;;;;;2417 W CUSTER AV
162080049;07/26/2016;08:20 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4821 N 45TH ST
162080081;07/26/2016;12:14 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4823 N 44TH ST
162080082;07/26/2016;12:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;5600 N TEUTONIA AV
162080103;07/26/2016;02:20 PM;7.0;AGGRAVATED ASSAULT;;;;;4909 N 39TH ST #16
162080118;07/26/2016;04:05 PM;4.0;AGGRAVATED ASSAULT;;;;;6911 N 42ND ST #UPR
162080125;07/26/2016;03:39 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5873 N 40TH ST
162080130;07/26/2016;04:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5045 N 28TH ST
162080144;07/26/2016;07:22 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4116 W GOOD HOPE RD
162080167;07/26/2016;05:05 PM;7.0;AGGRAVATED ASSAULT;;;;;2119 W VILLARD AV
162080187;07/26/2016;10:22 PM;4.0;INTIMIDATION;;;;;7171 N TEUTONIA AV
162080192;07/26/2016;11:14 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5050 N TEUTONIA AV
162070020;07/25/2016;03:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;4249 N 19TH PL
162070038;07/25/2016;08:18 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5753 N 39TH ST
162070058;07/25/2016;09:47 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4835 N HOPKINS ST
162070081;07/25/2016;09:55 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4060 N 34TH ST
162070109;07/25/2016;03:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5151 N 39TH ST
162070115;07/25/2016;06:44 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3820 W ELM ST
162070130;07/25/2016;10:41 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7061 N TEUTONIA AV #103
162070131;07/25/2016;10:41 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7061 N TEUTONIA AV #106
162070168;07/25/2016;08:43 PM;5.0;INTIMIDATION;;;;;2330 W ROOSEVELT DR #110
162070170;07/25/2016;09:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;4963 N 25TH ST
162070172;07/25/2016;05:45 PM;7.0;ROBBERY;;;;;3541 W VILLARD AV
162060076;07/24/2016;11:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;4539 N 30TH ST
162060086;07/24/2016;01:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;4346 N 15TH ST
162060118;07/24/2016;06:02 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3605 W KILEY AV
162060137;07/24/2016;07:58 PM;5.0;AGGRAVATED ASSAULT;;;;;4369 N 26TH ST
162060159;07/24/2016;09:41 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6016 N 39TH ST
162070015;07/24/2016;10:59 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3812 W VILLARD AV #5
162050023;07/23/2016;03:17 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3707 W GOOD HOPE RD #4
162050029;07/23/2016;04:17 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;1319 W LAWN AV
162050098;07/23/2016;03:36 PM;5.0;ALL OTHER LARCENY;;;;;4572 N TEUTONIA AV
