;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;161200109;04/29/2016;04:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10359241909515, -87.9428023607827];4750 N 24TH PL
1;161180152;04/27/2016;09:17 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091755751222685, -87.92433755283788];4109 N GREEN BAY AV
2;161170054;04/26/2016;09:42 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105823580904854, -87.95774236078269];4856 N 36TH ST
3;161170059;04/26/2016;07:27 AM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.11347116206947, -87.96398505684057];5255 N HOPKINS ST
4;161170059;04/26/2016;07:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11347116206947, -87.96398505684057];5255 N HOPKINS ST
5;161170152;04/26/2016;08:07 PM;7.0;THEFT FROM BUILDING;;;;;[43.10739930391253, -87.94153338790538];4950 N 24TH ST
6;161140039;04/23/2016;08:56 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11605545989383, -87.96466502120738];5416 N 42ND ST
7;161140042;04/23/2016;08:29 AM;5.0;THEFT FROM BUILDING;;;;;[43.09019857507647, -87.92577444460173];4032 N 12TH ST
8;161110034;04/20/2016;08:52 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.093963005828385, -87.94461763200395];4257 N 25TH ST
9;161110168;04/20/2016;09:30 PM;4.0;THEFT FROM BUILDING;;;;;[43.1164710313636, -87.95998963200395];5437 N 38TH ST
10;161100021;04/19/2016;04:01 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10787630391252, -87.9379853280341];4960 N 21ST ST
11;161100148;04/19/2016;06:57 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10479583498518, -87.97662118829449];5100 W HAMPTON AV
12;161090045;04/18/2016;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10993540276664, -87.93795264743059];5102 N 21ST ST
13;161090094;04/18/2016;02:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126647293398754, -87.9623588524277];4014 W FLORIST AV
14;161090105;04/18/2016;04:17 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.097933064660445, -87.92788970194452];4453 N GREEN BAY AV
15;161090133;04/18/2016;06:58 PM;4.0;THEFT FROM BUILDING;;;;;[43.12091250678068, -87.95226149999999];3125 W THURSTON AV
16;161070130;04/16/2016;07:40 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
17;161070163;04/16/2016;10:59 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.098613994171615, -87.95038635356933];4466 N 30TH ST
18;161050045;04/14/2016;09:37 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09622899417161, -87.93542491185313];4340 N 19TH PL
19;161020125;04/11/2016;07:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11029818428649, -87.96390304457823];5117 N 41ST ST
