Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
162440084;08/31/2016;03:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.124949052455435, -87.96459339353127];5906 N 42ND ST
162440097;08/31/2016;01:27 PM;4.0;THEFT FROM BUILDING;;;;;[43.153726589503194, -87.96116722817223];7475 N 39TH ST
162440099;08/31/2016;05:17 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08991547547438, -87.95180305536961];3040 W CAPITOL DR
162420084;08/29/2016;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104705265431065, -87.95677226543107];3500 W HAMPTON AV
162420089;08/29/2016;12:00 PM;7.0;THEFT FROM BUILDING;;;;;[43.10686833527612, -87.97765009925536];4915 N 52ND ST
162420097;08/29/2016;01:26 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14666427116396, -87.96304284520212];7140 N 41ST ST
162410092;08/28/2016;12:40 PM;5.0;THEFT FROM BUILDING;;;;;[43.08975009313788, -87.93772791645347];2012 W CAPITOL DR
162390042;08/26/2016;07:24 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09103599417162, -87.92821238631792];4070 N 14TH ST
162390126;08/26/2016;06:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.10012582653357, -87.94667244460172];4550 N 27TH ST
162390133;08/26/2016;06:43 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094818424923545, -87.93310858093349];4237 N 18TH ST
162380111;08/25/2016;04:00 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
162380138;08/25/2016;08:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14069940882337, -87.96566502005355];6770 N 43RD ST
162370087;08/24/2016;01:12 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08975009313788, -87.93772791645347];2012 W CAPITOL DR
162360035;08/23/2016;08:32 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09643669279792, -87.95686540622724];4350 N 35TH ST
162360054;08/23/2016;10:45 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10362858673324, -87.94166809925535];4755 N 24TH ST
162360067;08/23/2016;12:28 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
162360079;08/23/2016;01:31 PM;5.0;THEFT FROM BUILDING;;;;;[43.09316378711987, -87.94692014715088];4201 N 27TH ST
162350143;08/22/2016;05:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10455301341994, -87.93938221874132];2202 W HAMPTON AV
162350151;08/22/2016;12:37 PM;4.0;THEFT FROM BUILDING;;;;;[43.11283718956661, -87.94888746145169];5245 N 29TH ST
