;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;160600031;02/29/2016;08:35 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.144807262462336, -87.96548050946325];6990 N 43RD ST
1;160600066;02/29/2016;11:35 AM;4.0;THEFT FROM BUILDING;;;;;[43.1331884878819, -87.96732067525546];4425 W WOOLWORTH AV
2;160600086;02/29/2016;03:22 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12566954675299, -87.96605510920074];5942 N SHERMAN BL
3;160600112;02/29/2016;05:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11262833527613, -87.95521963200395];5233 N 34TH ST
4;160590060;02/28/2016;12:21 PM;4.0;THEFT FROM BUILDING;;;;;[43.14867145715252, -87.96070032514858];3900 W GOOD HOPE RD
5;160570052;02/26/2016;09:58 AM;4.0;THEFT FROM BUILDING;;;;;[43.12899344617441, -87.95224624936446];6153 N TEUTONIA AV
6;160560014;02/25/2016;05:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13075393502839, -87.96393239885032];4110 W DOUGLAS AV
7;160550044;02/24/2016;10:48 AM;5.0;THEFT FROM BUILDING;;;;;[43.09779212418407, -87.93502490559206];1900 W CORNELL ST
8;160540010;02/23/2016;04:39 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09096340743841, -87.93430441185313];4060 N 19TH ST
9;160540038;02/23/2016;10:52 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1114034970858, -87.96138286078269];5172 N 39TH ST
10;160540108;02/23/2016;06:28 PM;5.0;THEFT FROM BUILDING;;;;;[43.09037157536641, -87.92320613598041];4040 N GREEN BAY AV
11;160530039;02/22/2016;09:25 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.122879220093495, -87.96216488631792];5764 N 40TH ST
12;160530067;02/22/2016;12:24 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092901424923554, -87.93937805539827];4139 N 22ND ST
13;160530085;02/22/2016;01:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1266382933873, -87.9600600884629];3824 W FLORIST AV
14;160500010;02/19/2016;01:06 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10015634748116, -87.94442095201663];4557 N TEUTONIA AV
15;160500060;02/19/2016;12:32 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129861255409544, -87.95230882240634];6201 N TEUTONIA AV
16;160490105;02/18/2016;06:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10369983236194, -87.93656490463978];4752 N 20TH ST
17;160490106;02/18/2016;05:56 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09234082653356, -87.93061441185313];4140 N 16TH ST
18;160440064;02/13/2016;01:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09095675437129, -87.92950909925536];4067 N 15TH ST
19;160430023;02/12/2016;08:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107292486005974, -87.94988958090484];2924 W CAMERON AV
20;160420035;02/11/2016;12:04 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09380913627447, -87.93549241185313];4186 N 19TH PL
21;160410035;02/10/2016;08:58 AM;4.0;THEFT FROM BUILDING;;;;;[43.11741149321933, -87.96122058090484];3902 W SHERIDAN AV #UPR
22;160410043;02/10/2016;11:58 AM;7.0;THEFT FROM BUILDING;;;;;[43.111877481245465, -87.96677441909516];4303 W VILLARD AV
23;160410099;02/10/2016;07:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11018083819033, -87.95283065032581];5117 N 32ND ST
