Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
152430095;08/31/2015;02:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
152420067;08/30/2015;11:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11845113627447, -87.9513543718912];5542 N 31ST ST
152420148;08/30/2015;07:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12679365602056, -87.95604429651904];6010 N 35TH ST
152420167;08/30/2015;10:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09688645325738, -87.93330172730685];1806 W CONGRESS ST
152410090;08/29/2015;03:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
152410096;08/29/2015;03:19 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10844341909515, -87.97023859925535];5001 N 46TH ST
152410117;08/29/2015;05:44 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
152400105;08/28/2015;04:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10766958673324, -87.95900863200394];4955 N 37TH ST
152390037;08/27/2015;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10935107799065, -87.94397385356932];5046 N 25TH ST
152380086;08/26/2015;03:38 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10072500050437, -87.9519023070934];3109 W GLENDALE AV
152380144;08/26/2015;07:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09689545325739, -87.93381982944774];1826 W CONGRESS ST
152360148;08/24/2015;06:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12899344617441, -87.95224624936446];6153 N TEUTONIA AV
152360166;08/24/2015;07:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10725572300768, -87.93653386078269];4932 N 20TH ST
152360188;08/24/2015;09:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09661557507647, -87.93296243738835];4370 N 18TH ST
152350062;08/23/2015;08:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12339141326677, -87.95610533524747];5822 N 35TH ST
152350155;08/23/2015;05:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11144933527612, -87.97136818307439];5175 N 47TH ST
152350192;08/23/2015;08:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0950295434244, -87.94649236372554];2629 W ROOSEVELT DR
152340013;08/22/2015;01:19 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09509849567218, -87.94851299999999];2809 W ROOSEVELT DR #REAR
152340172;08/22/2015;11:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09183585316529, -87.9243529471692];4107 N GREEN BAY AV
152330084;08/21/2015;12:31 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13495789009748, -87.95325540169692];6464 N TEUTONIA AV
152330164;08/21/2015;08:41 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13016888481735, -87.95721633856569];6162 N 36TH ST
152320042;08/20/2015;09:38 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10641786372554, -87.97518965753918];4877 N 50TH ST
152310029;08/19/2015;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10974850291419, -87.97264962479058];5067 N 48TH ST
152310032;08/19/2015;09:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13495789009748, -87.95325540169692];6464 N TEUTONIA AV
152310116;08/19/2015;04:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13129040276386, -87.96189367929482];3920 W DOUGLAS AV
152310130;08/19/2015;06:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095230947544565, -87.92692159925535];4311 N 13TH ST
152320003;08/19/2015;11:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09677177976057, -87.9333461758903];1827 W CONGRESS ST
152300037;08/18/2015;09:18 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107767261076496, -87.97026286674019];4973 N 46TH ST
152300118;08/18/2015;05:44 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.119332024765875, -87.96115796810959];3900 W SILVER SPRING DR
152300176;08/18/2015;10:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
152290112;08/17/2015;04:38 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11932751875455, -87.96299047446477];4020 W SILVER SPRING DR
152290132;08/17/2015;06:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1001174446304, -87.94799059925535];4551 N 28TH ST
152290150;08/17/2015;05:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14307441326679, -87.96555630971224];6900 N 43RD ST
152290159;08/17/2015;08:29 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11767602553522, -87.95389760646873];5511 N 33RD ST
152290166;08/17/2015;09:02 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.117659, -87.95509910646872];5511 N 34TH ST
152280040;08/16/2015;07:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12904411518264, -87.95732061368207];6103 N 36TH ST
152280053;08/16/2015;09:20 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10957728282071, -87.94038109925536];5059 N 23RD ST
152280065;08/16/2015;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107767261076496, -87.97026286674019];4973 N 46TH ST
152280071;08/16/2015;11:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12960141326678, -87.96085636078269];6128 N 39TH ST
152280112;08/16/2015;02:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10479583498518, -87.97662118829449];5100 W HAMPTON AV
