Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
152120045;07/31/2015;09:30 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11678586372554, -87.95876915753918];5455 N 37TH ST
152080116;07/27/2015;03:32 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12395997446478, -87.96617637852763];5842 N 43RD ST
151940009;07/26/2015;06:44 PM;4.0;MOTOR VEHICLE THEFT;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL #14
152070073;07/26/2015;10:11 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10548241909515, -87.956569092042];4841 N MOTHER DANIELS WA
152070105;07/26/2015;02:01 PM;4.0;MOTOR VEHICLE THEFT;;;[43.151021872862216, -87.95901002329072];7306 N 38TH ST
152070114;07/26/2015;03:17 PM;5.0;MOTOR VEHICLE THEFT;;;[43.095109674418744, -87.94317782347514];2433 W ROOSEVELT DR
152050184;07/25/2015;02:29 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11193227463925, -87.95297475];3200 W VILLARD AV
152060171;07/25/2015;11:06 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106184586733235, -87.96272113200395];4873 N 40TH ST
152050108;07/24/2015;04:37 PM;5.0;MOTOR VEHICLE THEFT;;;[43.093618491257445, -87.93927390463978];4174 N 22ND ST
152050164;07/24/2015;09:53 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11075400966721, -87.94971506319007];5150 N TEUTONIA AV
152040019;07/23/2015;12:43 AM;4.0;MOTOR VEHICLE THEFT;;;[43.142788341104506, -87.96578013589908];6875 N 43RD ST
152040046;07/23/2015;08:23 AM;5.0;MOTOR VEHICLE THEFT;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
152040064;07/23/2015;10:38 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09337867638064, -87.93820054818492];4175 N 21ST ST
152040132;07/23/2015;08:26 PM;5.0;MOTOR VEHICLE THEFT;;;[43.0972881202978, -87.9469844363963];2700 W ATKINSON AV
152040168;07/23/2015;06:20 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14399440273521, -87.95509558162692];6944 N TEUTONIA AV
152020038;07/21/2015;07:41 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10293519900168, -87.93935862479059];4721 N 22ND ST
152020078;07/21/2015;12:31 PM;4.0;MOTOR VEHICLE THEFT;;;[43.145563295314176, -87.95700606852694];7030 N 37TH ST
