Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
150900026;03/31/2015;07:35 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;3159 W HAMPTON AV
150900047;03/31/2015;10:19 AM;7.0;MOTOR VEHICLE THEFT;;;;4662 N 18TH ST
150900069;03/31/2015;01:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5670 N 36TH ST
150900098;03/31/2015;06:09 PM;4.0;ROBBERY;;;;4010 W FLORIST AV
150900124;03/31/2015;08:55 PM;5.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;2826 W ATKINSON AV
150900149;03/31/2015;11:57 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;3700 W CUSTER AV
150910008;03/31/2015;11:45 PM;5.0;AGGRAVATED ASSAULT;;;;4470 N 27TH ST
150890034;03/30/2015;08:25 AM;7.0;THEFT FROM BUILDING;;;;5075 N SHERMAN BL
150890042;03/30/2015;09:29 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;6850 N TEUTONIA AV
150890046;03/30/2015;09:26 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4453 N GREEN BAY AV
150890073;03/30/2015;10:05 AM;7.0;THEFT FROM BUILDING;;;;5191 N TEUTONIA AV
150890075;03/30/2015;10:40 AM;5.0;SIMPLE ASSAULT;;;;4143 N 26TH ST
150890132;03/30/2015;05:16 PM;5.0;ROBBERY;;;;4100 N 12TH ST
150890134;03/30/2015;06:16 PM;5.0;INTIMIDATION;;;;2603 W ATKINSON AV
150880051;03/29/2015;10:14 AM;5.0;ROBBERY;;;;4401 N GREEN BAY AV
150880059;03/29/2015;01:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;2830 W BOBOLINK AV
150880083;03/29/2015;05:00 PM;5.0;SIMPLE ASSAULT;;;;2061 W ATKINSON AV #302
150880105;03/29/2015;07:21 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4975 N SHERMAN BL
150870004;03/28/2015;12:31 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4054 N 24TH PL
150870019;03/28/2015;03:28 AM;4.0;SIMPLE ASSAULT;;;;3120 W VILLARD AV
150870030;03/28/2015;03:57 AM;4.0;SIMPLE ASSAULT;;;;5237 N 35TH ST
150870031;03/28/2015;05:54 AM;4.0;MOTOR VEHICLE THEFT;;;;5900 N SHERMAN BL
150870051;03/28/2015;09:39 AM;4.0;AGGRAVATED ASSAULT;;;;5450 N LONG ISLAND DR #UPR
150870066;03/28/2015;11:41 AM;4.0;MOTOR VEHICLE THEFT;;;;4014 W KAUL AV
150870110;03/28/2015;06:43 PM;7.0;MOTOR VEHICLE THEFT;;;;5063 N 37TH ST
150870116;03/28/2015;05:14 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4427 N GREEN BAY AV
150870122;03/28/2015;08:00 PM;5.0;ALL OTHER LARCENY;;;;4032 N 12TH ST
150860019;03/27/2015;06:20 AM;4.0;DISORDERLY CONDUCT;AGGRAVATED ASSAULT;;;3812 W VILLARD AV #6
150860023;03/27/2015;07:58 AM;4.0;MOTOR VEHICLE THEFT;;;;3700 W KILEY AV
150860034;03/27/2015;08:14 AM;4.0;SIMPLE ASSAULT;;;;3924 W GOOD HOPE RD #7
150860053;03/27/2015;11:09 AM;7.0;ALL OTHER LARCENY;;;;4686 W HAMPTON AV
150860065;03/27/2015;11:15 AM;4.0;ALL OTHER LARCENY;;;;5686 N TEUTONIA AV
150860085;03/27/2015;03:36 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5956 N 37TH ST
150860100;03/27/2015;02:43 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5411 N LONG ISLAND DR #1
150860117;03/27/2015;06:18 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;7835 N GREEN BAY RD
150860121;03/27/2015;06:34 PM;5.0;ROBBERY;;;;2620 W CAPITOL DR
150860134;03/27/2015;02:50 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;4016-A W GOOD HOPE RD
150850041;03/26/2015;07:43 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5654 N 36TH ST
150850048;03/26/2015;10:40 AM;4.0;ROBBERY;;;;3500 W VILLARD AV
150850049;03/26/2015;09:31 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4808 N HOPKINS ST
150850103;03/26/2015;04:39 PM;7.0;MOTOR VEHICLE THEFT;;;;5032 N SHERMAN BL
150850144;03/26/2015;08:23 PM;7.0;ALL OTHER LARCENY;;;;2601 W HAMPTON AV
150850147;03/26/2015;03:48 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;6117 N 40TH ST
150840038;03/25/2015;08:11 AM;4.0;AGGRAVATED ASSAULT;;;;3030 W VILLARD AV
150840041;03/25/2015;09:18 AM;5.0;SIMPLE ASSAULT;;;;2314-B W HOPE AV
150840058;03/25/2015;11:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4665 N 20TH ST
