Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
151510134;05/31/2015;09:15 PM;4.0;THEFT FROM BUILDING;;;[43.11278961226844, -87.95154161757722];5241 N 31ST ST
151490123;05/29/2015;04:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
151470077;05/27/2015;11:57 AM;4.0;THEFT FROM BUILDING;;;[43.12747469871535, -87.96729493714079];6046 N HOPKINS ST
151470106;05/27/2015;03:35 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10472185780042, -87.95918112745089];3700 W HAMPTON AV
151470149;05/27/2015;07:38 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09144009668941, -87.94687433372182];4110 N 27TH ST
151460006;05/26/2015;12:24 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09232363336028, -87.92938493738835];4140 N 15TH ST
151460124;05/26/2015;03:09 PM;7.0;THEFT FROM BUILDING;;;[43.10473150822298, -87.97507297446477];4948 W HAMPTON AV #1
151450073;05/25/2015;12:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.1082254787926, -87.95388264210284];3230 W FAIRMOUNT AV
151450076;05/25/2015;11:30 AM;4.0;THEFT FROM BUILDING;;;[43.11318482653357, -87.94764593738836];5260 N 28TH ST
151440006;05/24/2015;12:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.107229089647404, -87.93694911368208];4929 N 20TH ST
151440137;05/24/2015;09:44 PM;7.0;THEFT FROM BUILDING;;;[43.10768808964741, -87.93693013921731];4955 N 20TH ST #LWR
151430038;05/23/2015;08:41 AM;7.0;THEFT FROM BUILDING;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
151430112;05/23/2015;08:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.115641187118875, -87.96008978217675];3804 W CUSTER AV
151420040;05/22/2015;09:27 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.093485785734885, -87.93819057372015];4179 N 21ST ST
