GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
Id,Id2,Geography,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One race,Percent; RACE - Total population - One race,Number; RACE - Total population - One race - White,Percent; RACE - Total population - One race - White,Number; RACE - Total population - One race - Black or African American,Percent; RACE - Total population - One race - Black or African American,Number; RACE - Total population - One race - American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native,"Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified",Number; RACE - Total population - One race - Asian,Percent; RACE - Total population - One race - Asian,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Number; RACE - Total population - One race - Some Other Race,Percent; RACE - Total population - One race - Some Other Race,Number; RACE - Total population - Two or More Races,Percent; RACE - Total population - Two or More Races,Number; RACE - Total population - Two or More Races - Two races with Some Other Race,Percent; RACE - Total population - Two or More Races - Two races with Some Other Race,Number; RACE - Total population - Two or More Races - Two races without Some Other Race,Percent; RACE - Total population - Two or More Races - Two races without Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Number; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Number; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population,Percent; RACE AND HISPANIC OR LATINO - Total population,Number; RACE AND HISPANIC OR LATINO - Total population - One race,Percent; RACE AND HISPANIC OR LATINO - Total population - One race,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",4822,100.0,4670,96.8,1415,29.3,3014,62.5,15,0.3,3,0.1,0,0.0,0,0.0,12,0.2,176,3.6,2,0.0,48,1.0,152,3.2,16,0.3,122,2.5,3,0.1,11,0.2,4822,100.0,164,3.4,96,2.0,34,0.7,7,0.1,27,0.6,4658,96.6,4822,100.0,4670,96.8,144,3.0,4526,93.9,152,3.2,20,0.4,132,2.7
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",3507,100.0,3426,97.7,1142,32.6,2131,60.8,21,0.6,17,0.5,0,0.0,0,0.0,4,0.1,81,2.3,3,0.1,48,1.4,81,2.3,5,0.1,67,1.9,1,0.0,8,0.2,3507,100.0,121,3.5,60,1.7,37,1.1,4,0.1,20,0.6,3386,96.5,3507,100.0,3426,97.7,114,3.3,3312,94.4,81,2.3,7,0.2,74,2.1
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",5450,100.0,5224,95.9,1291,23.7,3185,58.4,16,0.3,7,0.1,0,0.0,0,0.0,9,0.2,163,3.0,0,0.0,569,10.4,226,4.1,56,1.0,152,2.8,10,0.2,8,0.1,5450,100.0,840,15.4,628,11.5,113,2.1,4,0.1,95,1.7,4610,84.6,5450,100.0,5224,95.9,774,14.2,4450,81.7,226,4.1,66,1.2,160,2.9
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",6101,100.0,5893,96.6,2449,40.1,3051,50.0,50,0.8,19,0.3,0,0.0,0,0.0,31,0.5,279,4.6,8,0.1,56,0.9,208,3.4,22,0.4,169,2.8,1,0.0,16,0.3,6101,100.0,253,4.1,137,2.2,92,1.5,7,0.1,17,0.3,5848,95.9,6101,100.0,5893,96.6,226,3.7,5667,92.9,208,3.4,27,0.4,181,3.0
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1483,100.0,1445,97.4,1254,84.6,154,10.4,4,0.3,2,0.1,0,0.0,0,0.0,2,0.1,26,1.8,2,0.1,5,0.3,38,2.6,8,0.5,30,2.0,0,0.0,0,0.0,1483,100.0,38,2.6,27,1.8,2,0.1,3,0.2,6,0.4,1445,97.4,1483,100.0,1445,97.4,31,2.1,1414,95.3,38,2.6,7,0.5,31,2.1
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",3028,100.0,2925,96.6,388,12.8,2426,80.1,4,0.1,2,0.1,0,0.0,0,0.0,2,0.1,55,1.8,1,0.0,51,1.7,103,3.4,5,0.2,87,2.9,3,0.1,8,0.3,3028,100.0,128,4.2,42,1.4,63,2.1,8,0.3,15,0.5,2900,95.8,3028,100.0,2925,96.6,114,3.8,2811,92.8,103,3.4,14,0.5,89,2.9
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1873,100.0,1745,93.2,906,48.4,695,37.1,8,0.4,2,0.1,0,0.0,0,0.0,6,0.3,96,5.1,1,0.1,39,2.1,128,6.8,3,0.2,106,5.7,3,0.2,16,0.9,1873,100.0,104,5.6,57,3.0,38,2.0,0,0.0,9,0.5,1769,94.4,1873,100.0,1745,93.2,82,4.4,1663,88.8,128,6.8,22,1.2,106,5.7
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",3382,100.0,3244,95.9,1389,41.1,1517,44.9,12,0.4,10,0.3,0,0.0,0,0.0,2,0.1,285,8.4,1,0.0,40,1.2,138,4.1,13,0.4,105,3.1,3,0.1,17,0.5,3382,100.0,133,3.9,62,1.8,49,1.4,7,0.2,15,0.4,3249,96.1,3382,100.0,3244,95.9,115,3.4,3129,92.5,138,4.1,18,0.5,120,3.5
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",2439,100.0,2333,95.7,889,36.4,1314,53.9,18,0.7,12,0.5,0,0.0,0,0.0,6,0.2,46,1.9,4,0.2,62,2.5,106,4.3,17,0.7,80,3.3,1,0.0,8,0.3,2439,100.0,140,5.7,72,3.0,48,2.0,0,0.0,20,0.8,2299,94.3,2439,100.0,2333,95.7,119,4.9,2214,90.8,106,4.3,21,0.9,85,3.5
