Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
050310010;01/31/2005;08:52 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;2401 W ATKINSON AV
050310017;01/31/2005;10:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5720 N 32ND ST
050310034;01/31/2005;02:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5041-A N 39TH ST
050640689;01/31/2005;01:18 AM;7.0;SIMPLE ASSAULT;;;;;4872 N 42ND ST
050640741;01/31/2005;03:32 PM;4.0;AGGRAVATED ASSAULT;;;;;4014 W VILLARD AV
050640744;01/31/2005;08:37 PM;7.0;SIMPLE ASSAULT;;;;;4825A N HOPKINS ST
050650246;01/31/2005;01:30 AM;4.0;AGGRAVATED ASSAULT;;;;;3120 W VILLARD AV
050650412;01/31/2005;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4334 N 21ST ST
050650506;01/31/2005;01:29 AM;5.0;ROBBERY;;;;;4427 N GREEN BAY AV
050650525;01/31/2005;01:29 PM;7.0;SIMPLE ASSAULT;;;;;4942 N 47TH ST
050810085;01/31/2005;07:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4458 N 26TH ST
050880044;01/31/2005;01:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4016 N 19TH ST
050880046;01/31/2005;02:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4246 N 21ST ST
050640624;01/30/2005;06:45 AM;7.0;ROBBERY;;;;;1932 W CAPITOL DR
050640640;01/30/2005;10:08 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5543 N 32ND ST
050640685;01/30/2005;02:00 AM;4.0;ALL OTHER LARCENY;;;;;3200 W THURSTON AV
050650358;01/30/2005;08:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5900 N TEUTONIA AV
