Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
050890033;03/31/2005;12:01 AM;7.0;SHOPLIFTING;;;;;3927 W VILLARD AV
050900056;03/31/2005;10:49 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4224 W BOEHLKE AV
050900063;03/31/2005;11:17 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4320 N 15TH ST
050900076;03/31/2005;12:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6108 N SHERMAN BL
050900082;03/31/2005;02:30 PM;4.0;SIMPLE ASSAULT;;;;;2938 W BOBOLINK AV
050900091;03/31/2005;01:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;4212 N 16TH ST
050900118;03/31/2005;03:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4913 N SHERMAN BL
050900164;03/31/2005;06:20 PM;7.0;AGGRAVATED ASSAULT;;;;;4826 N 21ST ST
050900169;03/31/2005;07:28 PM;7.0;SIMPLE ASSAULT;;;;;4826 N 21ST ST
050900188;03/31/2005;09:11 PM;4.0;SIMPLE ASSAULT;;;;;2400 W VILLARD AV
050890007;03/30/2005;01:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5175 N TEUTONIA AV
050890027;03/30/2005;07:40 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6141 N 35TH ST
050890028;03/30/2005;07:40 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6049 N 41ST ST
050890064;03/30/2005;10:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5840 N 37TH ST
050890082;03/30/2005;11:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4269 N 27TH ST
050890094;03/30/2005;12:50 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2517 W GLENDALE AV
050890124;03/30/2005;03:24 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3707 W GOOD HOPE RD
050890189;03/30/2005;08:29 PM;4.0;SIMPLE ASSAULT;;;;;5946 N 37TH ST
050890193;03/30/2005;11:15 PM;4.0;ALL OTHER LARCENY;;;;;6111 N 42ND ST
050890207;03/30/2005;10:52 PM;4.0;SIMPLE ASSAULT;;;;;5349 N 26TH ST
050890211;03/30/2005;10:52 PM;4.0;SIMPLE ASSAULT;;;;;5348 N 26TH ST
050880005;03/29/2005;07:45 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4835 N HOPKINS ST
050880014;03/29/2005;12:55 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4877 N 40TH ST
050880022;03/29/2005;07:45 AM;7.0;AGGRAVATED ASSAULT;;;;;5035 N 38TH ST
050880024;03/29/2005;10:30 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4835 N HOPKINS ST
050880032;03/29/2005;08:25 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2460 W CAPITOL DR
050880041;03/29/2005;07:46 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5050 N 50TH ST
050880067;03/29/2005;09:45 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4554 W WOOLWORTH AV
050880199;03/29/2005;07:56 PM;4.0;ALL OTHER LARCENY;;;;;7121 N 43RD ST
050880202;03/29/2005;07:17 PM;7.0;AGGRAVATED ASSAULT;;;;;4402 N 27TH ST
050880205;03/29/2005;10:33 PM;7.0;SIMPLE ASSAULT;;;;;4309 N TEUTONIA AV
050880208;03/29/2005;09:45 PM;7.0;ROBBERY;;;;;4033 N 24TH ST
050870007;03/28/2005;12:33 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4282 N 28TH ST
050870023;03/28/2005;10:20 AM;4.0;THEFT FROM BUILDING;;;;;4541 W GOOD HOPE RD
050870029;03/28/2005;07:42 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5449 N 37TH ST
050870036;03/28/2005;08:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6065 N 35TH ST
050870056;03/28/2005;10:10 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6183 N 40TH ST
050870062;03/28/2005;10:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4820 N 44TH ST
050870068;03/28/2005;11:00 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4071 N 12TH ST
050870072;03/28/2005;11:18 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6087 N 36TH ST
050870122;03/28/2005;02:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4900 N 26TH ST
050870123;03/28/2005;10:58 AM;4.0;ALL OTHER LARCENY;;;;;2400 W VILLARD AV
050870142;03/28/2005;04:00 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5368 N 36TH ST
050870157;03/28/2005;04:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2000 W HAMPTON AV
050870177;03/28/2005;06:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;4875 N 31ST ST
050870179;03/28/2005;06:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;4875 N 31ST ST
050940030;03/28/2005;04:40 PM;7.0;ARSON;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5119 N 24TH PL
050860049;03/27/2005;05:05 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4224 N 27TH ST
050860063;03/27/2005;11:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2208 W FAIRMOUNT AV
050860068;03/27/2005;11:40 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4910 N 36TH ST
050860079;03/27/2005;02:08 PM;4.0;SIMPLE ASSAULT;;;;;5314 N TEUTONIA AV
050860087;03/27/2005;02:03 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2344 W LINWAL LA
050860089;03/27/2005;02:07 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5053 N 22ND ST
050860098;03/27/2005;02:00 PM;4.0;ALL OTHER LARCENY;;;;;7242 N TEUTONIA AV
050860099;03/27/2005;03:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5121 N 20TH ST
050860102;03/27/2005;03:40 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5317 N 37TH ST
050860114;03/27/2005;10:00 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;2521 W CORNELL ST
050860132;03/27/2005;07:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4118 W KAUL AV
050860133;03/27/2005;07:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2400 W VILLARD AV
050860166;03/27/2005;09:44 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4473 N 28TH ST #UPR
050850023;03/26/2005;06:35 AM;4.0;AGGRAVATED ASSAULT;;;;;2000 W NEIL PL
050850057;03/26/2005;02:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;5724 N 35TH ST
050850061;03/26/2005;09:00 AM;7.0;ALL OTHER LARCENY;;;;;5061 N 38TH ST
050850094;03/26/2005;11:44 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6027 N TEUTONIA AV
050850133;03/26/2005;01:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;1960 W ATKINSON AV
050850165;03/26/2005;05:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;4275 N 27TH ST
050850175;03/26/2005;09:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4979 N 47TH ST
050840034;03/25/2005;07:39 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3812 W VILLARD AV #4
050840049;03/25/2005;08:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3926 W GOOD HOPE RD
050840056;03/25/2005;09:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4154 W GOOD HOPE RD
050840124;03/25/2005;10:58 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4171 N 13TH ST
050840138;03/25/2005;02:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5463 N 19TH ST
050840140;03/25/2005;02:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3841 W VILLARD AV
050840173;03/25/2005;05:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5522 N 35TH ST
050820187;03/24/2005;10:08 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1801 W OLIVE ST
050820192;03/24/2005;12:17 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6910 N 45TH ST
050830003;03/24/2005;07:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4710 N 27TH ST
050830018;03/24/2005;01:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;4925 N TEUTONIA AV
