;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;50310010;01/31/2005;08:52 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09383759365813, -87.9421488511165];2401 W ATKINSON AV
1;50310017;01/31/2005;10:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12146524562871, -87.9525223607827];5720 N 32ND ST
2;50310034;01/31/2005;02:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.109198276992316, -87.9614776392173];5041-A N 39TH ST
3;50650412;01/31/2005;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09608799056493, -87.93812524712925];4334 N 21ST ST
4;50810085;01/31/2005;07:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09824857729816, -87.94561685648351];4458 N 26TH ST
5;50880044;01/31/2005;01:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090064298084144, -87.93434597013695];4016 N 19TH ST
6;50880046;01/31/2005;02:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0952410896474, -87.93806288631792];4246 N 21ST ST
7;50650358;01/30/2005;08:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12466679364346, -87.95143848646599];5900 N TEUTONIA AV
8;50650083;01/29/2005;12:50 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11727317346646, -87.95630164311245];5479 N 35TH ST
9;50280002;01/28/2005;07:40 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.096769453257394, -87.92880347155058];1420 W CONGRESS ST
10;50280009;01/28/2005;10:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0914782828207, -87.93071756650677];4103 N 16TH ST
11;50280031;01/28/2005;02:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108634125839615, -87.97391525483157];5017 N 49TH ST
12;50660148;01/28/2005;02:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09923544463038, -87.94799959925535];4509 N 28TH ST
