;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;60890185;03/30/2006;09:14 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
1;60880102;03/29/2006;01:43 PM;4.0;MOTOR VEHICLE THEFT;;;[43.114888173466454, -87.96122059925536];5351 N 39TH ST
2;60880134;03/29/2006;05:28 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
3;60890010;03/29/2006;11:53 PM;3.0;MOTOR VEHICLE THEFT;;;[43.09421945741234, -87.94258667441873];2430 W ATKINSON ST
4;60870039;03/28/2006;09:00 AM;4.0;MOTOR VEHICLE THEFT;;;[43.111926511541185, -87.95688258090483];3510 W VILLARD AV
5;60860015;03/27/2006;05:04 AM;5.0;MOTOR VEHICLE THEFT;;;[43.095618534277804, -87.92813757372015];4329 N 14TH ST
6;60860051;03/27/2006;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10963122009349, -87.95276386799604];5064 N 32ND ST
7;60840069;03/25/2006;08:38 AM;4.0;MOTOR VEHICLE THEFT;;;[43.127499749288226, -87.96485067434293];6047 N 42ND ST
8;60840091;03/25/2006;10:14 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12170922009349, -87.96337432803409];5710 N 41ST ST
9;60840123;03/25/2006;02:36 PM;7.0;MOTOR VEHICLE THEFT;;;[43.107352212334206, -87.95034980360326];3000 W CAMERON AV
10;60810045;03/22/2006;09:08 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09267382653357, -87.93060541185314];4152 N 16TH ST
11;60790177;03/20/2006;07:21 PM;4.0;MOTOR VEHICLE THEFT;;;[43.1156408681796, -87.96004768219193];3800 W CUSTER AV
12;60780063;03/19/2006;11:46 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10758555998708, -87.94660514790924];4971 N 27TH ST
13;60780110;03/19/2006;03:38 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
14;60770096;03/18/2006;01:16 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
15;60770099;03/18/2006;11:01 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12658429331842, -87.955082554524];3410 W FLORIST AV
16;60760046;03/17/2006;09:44 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12552441326679, -87.9585163607827];5932 N 37TH ST
17;60760114;03/17/2006;04:27 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09183585316529, -87.9243529471692];4107 N GREEN BAY AV
18;60750133;03/16/2006;06:23 PM;5.0;MOTOR VEHICLE THEFT;;;[43.091746491257425, -87.92818441185312];4116 N 14TH ST
19;60750194;03/16/2006;09:31 PM;7.0;MOTOR VEHICLE THEFT;;;[43.095173658607024, -87.94187328146437];4295 N TEUTONIA AV
20;60740095;03/15/2006;11:33 AM;4.0;MOTOR VEHICLE THEFT;;;[43.146244760199664, -87.96434855539827];7061 N 42ND ST
21;60720134;03/13/2006;02:52 PM;7.0;MOTOR VEHICLE THEFT;;;[43.11146266305044, -87.96314511105635];5175 N HOPKINS ST #206
22;60710080;03/12/2006;01:56 PM;7.0;MOTOR VEHICLE THEFT;;;[43.1101808484621, -87.96377747374363];5114 N 41ST ST
23;60710114;03/12/2006;06:47 PM;4.0;MOTOR VEHICLE THEFT;;;[43.115723245628715, -87.96112636078269];5402 N 39TH ST
24;60690021;03/10/2006;05:00 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11621903136361, -87.96239165753917];5427 N 40TH ST
25;60690039;03/10/2006;08:16 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14945951624266, -87.95919177464667];7233 N 38TH ST #13
26;60680142;03/09/2006;05:36 PM;5.0;MOTOR VEHICLE THEFT;;;[43.091801717179294, -87.93062243738835];4116 N 16TH ST
27;60670082;03/08/2006;02:19 PM;4.0;MOTOR VEHICLE THEFT;;;[43.129494859282154, -87.95598541459444];6152 N 35TH ST #1
28;60660123;03/07/2006;06:22 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
29;60650031;03/06/2006;08:24 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10969332944774, -87.96631637520942];5066 N SHERMAN BL
30;60650033;03/06/2006;07:23 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11707341326678, -87.95749486078269];5470 N 36TH ST
31;60650133;03/06/2006;05:22 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10989460003554, -87.96138341048983];5100 N 39TH ST
32;60640015;03/05/2006;03:00 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10670524562872, -87.96775388631792];4906 N 44TH ST
33;60640050;03/05/2006;09:05 AM;7.0;MOTOR VEHICLE THEFT;;;[43.110190634745244, -87.9624264884588];5112 N 40TH ST
34;60640073;03/05/2006;10:33 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11925251154119, -87.95699058090484];3518 W SILVER SPRING DR
35;60640092;03/05/2006;12:16 PM;4.0;MOTOR VEHICLE THEFT;;;[43.137503016097114, -87.95400201559576];6601 N TEUTONIA AV
36;60630100;03/04/2006;04:20 PM;7.0;MOTOR VEHICLE THEFT;;;[43.105419586733234, -87.96273913200395];4835 N 40TH ST
37;60610058;03/02/2006;09:04 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10971082653356, -87.94029293738835];5064 N 23RD ST
