Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
061510020;05/31/2006;01:10 AM;5.0;AGGRAVATED ASSAULT;;;1432 W CAPITOL DR
061510029;05/31/2006;01:24 AM;7.0;AGGRAVATED ASSAULT;;;2400 W HAMPTON AV
061510047;05/31/2006;07:41 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4930 W EGGERT PL
061510048;05/31/2006;07:02 AM;5.0;SIMPLE ASSAULT;LIQUOR LAW VIOLATIONS;;4156 N 12TH ST
061510068;05/31/2006;08:14 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4218 N 27TH ST
061510082;05/31/2006;09:14 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5250 N 35TH ST
061510129;05/31/2006;01:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4152 N 16TH ST
061510174;05/31/2006;03:12 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5355 N 35TH ST #LOWER
061510187;05/31/2006;04:01 PM;4.0;ROBBERY;;;7169 N 42ND ST
061510192;05/31/2006;06:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;6152 N 35TH ST
061510193;05/31/2006;02:32 PM;7.0;ALL OTHER LARCENY;;;4821 N 22ND ST
061510208;05/31/2006;05:56 PM;4.0;ALL OTHER LARCENY;;;5868 N 38TH ST
061510210;05/31/2006;04:25 PM;7.0;AGGRAVATED ASSAULT;;;4677 N 21ST ST
061510213;05/31/2006;07:25 PM;4.0;MOTOR VEHICLE THEFT;;;5677 N 33RD ST
061510221;05/31/2006;08:26 PM;7.0;AGGRAVATED ASSAULT;;;4900 N 24TH PL
061510222;05/31/2006;09:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4940 N 26TH ST
061510227;05/31/2006;09:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3100 W CAMERON AV
061510233;05/31/2006;09:56 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3725 W CHEYENNE ST
061520010;05/31/2006;10:09 PM;7.0;MOTOR VEHICLE THEFT;;;4026 N 25TH ST
061500020;05/30/2006;01:50 PM;7.0;AGGRAVATED ASSAULT;;;4925 N 24TH ST
061500037;05/30/2006;02:31 AM;4.0;AGGRAVATED ASSAULT;;;5883 N TEUTONIA AV
061500038;05/30/2006;05:25 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;1801 W OLIVE ST
061500076;05/30/2006;08:41 AM;5.0;MOTOR VEHICLE THEFT;;;4193 N 13TH ST
061500083;05/30/2006;08:58 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4931 N 52ND ST
061500106;05/30/2006;11:08 AM;4.0;SIMPLE ASSAULT;;;2814 W CARMEN AV #1
061500131;05/30/2006;02:36 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5747 N 29TH ST
061500133;05/30/2006;11:09 AM;7.0;AGGRAVATED ASSAULT;;;2415 W CONGRESS ST
061500152;05/30/2006;03:35 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5656 N 39TH ST
061500160;05/30/2006;03:42 PM;7.0;MOTOR VEHICLE THEFT;;;4700 W HAMPTON AV
061500190;05/30/2006;04:33 PM;4.0;MOTOR VEHICLE THEFT;;;5541 N TEUTONIA AV
061500224;05/30/2006;08:17 PM;4.0;SIMPLE ASSAULT;;;5368 N 36TH ST
061500251;05/30/2006;07:22 PM;7.0;AGGRAVATED ASSAULT;;;4300 W HAMPTON AV
061500253;05/30/2006;10:18 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5773 N 32ND ST
061500255;05/30/2006;11:00 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4153 N 21ST ST
061510001;05/30/2006;10:57 PM;4.0;ROBBERY;;;3530 W SILVER SPRING DR
061490023;05/29/2006;02:34 AM;4.0;MOTOR VEHICLE THEFT;;;5232 N TEUTONIA AV
061490026;05/29/2006;02:48 AM;4.0;MOTOR VEHICLE THEFT;;;5241 N 31ST ST
061490030;05/29/2006;03:06 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;6825 N DARIEN ST
061490043;05/29/2006;06:28 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4610 N 27TH ST #4
061490048;05/29/2006;07:56 AM;7.0;MOTOR VEHICLE THEFT;;;4734 N 21ST ST
061490082;05/29/2006;11:24 AM;7.0;THEFT FROM MOTOR VEHICLE;;;4931 N 52ND ST
061490101;05/29/2006;01:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4063 N 17TH ST
061490113;05/29/2006;02:19 PM;7.0;THEFT FROM MOTOR VEHICLE;;;1602 W CAPITOL DR
061490120;05/29/2006;04:47 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5708 N 43RD ST
061490145;05/29/2006;06:03 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2224 W OLIVE ST
061490166;05/29/2006;07:17 PM;7.0;AGGRAVATED ASSAULT;;;2061 W ATKINSON AV
061490176;05/29/2006;09:38 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;3800 W MILL RD
061500035;05/29/2006;10:37 PM;7.0;ALL OTHER LARCENY;;;4678 N 19TH ST
062140160;05/29/2006;08:41 PM;4.0;SIMPLE ASSAULT;;;5353 N 38TH ST
061480033;05/28/2006;02:37 AM;4.0;SIMPLE ASSAULT;;;6908 N 37TH ST #2
061480050;05/28/2006;04:05 AM;4.0;AGGRAVATED ASSAULT;;;5478 N LONG ISLAND DR #1
061480122;05/28/2006;11:35 AM;7.0;SIMPLE ASSAULT;;;1820 W HAMPTON AV #APT7
061480125;05/28/2006;01:59 PM;7.0;ALL OTHER LARCENY;;;4821 N 22ND ST #2213
061480166;05/28/2006;07:26 PM;7.0;MOTOR VEHICLE THEFT;;;4400 N TEUTONIA AV
061480167;05/28/2006;05:58 PM;7.0;MOTOR VEHICLE THEFT;;;3700 W HAMPTON AV
061480173;05/28/2006;07:55 PM;4.0;SIMPLE ASSAULT;;;5707 N 38TH ST
061480176;05/28/2006;06:14 PM;7.0;MOTOR VEHICLE THEFT;;;4610 N 27TH ST
061480177;05/28/2006;08:47 PM;7.0;AGGRAVATED ASSAULT;;;4627 N 27TH ST #4
061480192;05/28/2006;10:12 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4341 N 24TH PL
061490010;05/28/2006;10:20 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5301 N TEUTONIA AV #215
061500231;05/28/2006;01:59 AM;7.0;SIMPLE ASSAULT;;;5036 N 28TH ST
061470015;05/27/2006;12:16 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4838 N 45TH ST
061470033;05/27/2006;04:04 AM;7.0;SIMPLE ASSAULT;;;2403 W CONGRESS ST #2
061470035;05/27/2006;04:07 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6825 N DARIEN ST #1
061470058;05/27/2006;08:05 AM;4.0;THEFT FROM MOTOR VEHICLE;;;6682 N 51ST ST
061470086;05/27/2006;10:05 AM;4.0;MOTOR VEHICLE THEFT;;;5341 N 27TH ST
061470095;05/27/2006;11:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;4557 N 30TH ST
061470116;05/27/2006;11:59 AM;7.0;SIMPLE ASSAULT;;;1995 W LAWRENCE AV
061470131;05/27/2006;02:37 PM;7.0;MOTOR VEHICLE THEFT;;;3000 W GLENDALE AV
061470147;05/27/2006;05:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4730 N 31ST ST
061470177;05/27/2006;09:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2501 W HAMPTON AV
061480005;05/27/2006;11:58 PM;7.0;AGGRAVATED ASSAULT;;;4594 N TEUTONIA AV
061460019;05/26/2006;12:17 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;5060 N 50TH ST
061460026;05/26/2006;03:55 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;6767 N TEUTONIA AV
061460034;05/26/2006;03:07 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;6400 N 43RD ST
061460039;05/26/2006;05:29 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;4605 W WOOLWORTH AV
