Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
063340015;11/30/2006;02:07 AM;7.0;SIMPLE ASSAULT;;;;1981 W VILLARD AV #4
063340017;11/30/2006;01:51 AM;4.0;MOTOR VEHICLE THEFT;;;;6001 N TEUTONIA AV
063340054;11/30/2006;09:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;2012 W CAPITOL DR
063340062;11/30/2006;10:15 AM;4.0;MOTOR VEHICLE THEFT;;;;5545 N 31ST ST
063340155;11/30/2006;07:18 PM;7.0;MOTOR VEHICLE THEFT;;;;4843 N HOPKINS ST
063340177;11/30/2006;09:18 PM;7.0;MOTOR VEHICLE THEFT;;;;5054 N SHERMAN BL
063340182;11/30/2006;06:46 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4763 N 29TH ST
063410156;11/30/2006;09:49 AM;7.0;ALL OTHER LARCENY;;;;4481 N 21ST ST
063330015;11/29/2006;01:45 AM;4.0;SIMPLE ASSAULT;;;;4144 W GOOD HOPE RD
063330017;11/29/2006;01:16 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;4210 W SILVER SPRING DR
063330018;11/29/2006;01:45 AM;4.0;SIMPLE ASSAULT;;;;4144 W GOOD HOPE RD
063330020;11/29/2006;02:59 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2100 W EGGERT PL
063330024;11/29/2006;07:08 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3723 W DOUGLAS AV
063330025;11/29/2006;07:28 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4637 N 24TH PL
063330027;11/29/2006;07:44 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;4116 W KAUL AV
063330028;11/29/2006;06:58 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5656 N 37TH ST
063330030;11/29/2006;08:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2479 W CORNELL ST
063330037;11/29/2006;08:35 AM;4.0;ALL OTHER LARCENY;;;;5930 N 38TH ST
063330048;11/29/2006;09:33 AM;4.0;MOTOR VEHICLE THEFT;;;;5424 N 40TH ST #A
063330071;11/29/2006;11:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5329 N 27TH ST
063330080;11/29/2006;11:25 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4669 N GREEN BAY AV
063330092;11/29/2006;12:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4701 N 30TH ST
063330098;11/29/2006;01:14 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4761 N 24TH ST
063330109;11/29/2006;02:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4215 N 26TH ST
063330125;11/29/2006;01:43 PM;4.0;ALL OTHER LARCENY;COUNTERFEITING/FORGERY;;;6161 N TEUTONIA AV
063330131;11/29/2006;03:35 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;6181 N 40TH ST
063330135;11/29/2006;03:14 PM;4.0;AGGRAVATED ASSAULT;;;;6943 N TEUTONIA AV #1
063330165;11/29/2006;04:17 PM;7.0;SHOPLIFTING;;;;4020 N TEUTONIA AV
063330169;11/29/2006;04:37 PM;7.0;MOTOR VEHICLE THEFT;;;;4162 N 17TH ST
063330175;11/29/2006;03:47 PM;4.0;MOTOR VEHICLE THEFT;;;;5534 N 40TH ST
