Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062730030;09/30/2006;03:49 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;;4530 N 29TH ST
062730041;09/30/2006;05:56 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5277 N 37TH ST
062730065;09/30/2006;10:01 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;4126 N TEUTONIA AV
062730081;09/30/2006;01:19 AM;4.0;MOTOR VEHICLE THEFT;;;;3113 W CUSTER AV
062730089;09/30/2006;12:41 PM;7.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;1801 W OLIVE ST
062730121;09/30/2006;04:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4564 N 27TH ST
062730131;09/30/2006;02:43 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2936 W HAMPTON AV
062730149;09/30/2006;06:30 PM;7.0;ALL OTHER LARCENY;;;;4519 N GREEN BAY AV
062730151;09/30/2006;05:12 PM;4.0;MOTOR VEHICLE THEFT;;;;5274 N 29TH ST
062730157;09/30/2006;07:23 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3211 W FAIRMOUNT AV #A
062730168;09/30/2006;08:07 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3601 W VILLARD AV
062730175;09/30/2006;08:48 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4925 N 40TH ST
062740009;09/30/2006;10:37 PM;4.0;ROBBERY;;;;5605 N 35TH ST
062720014;09/29/2006;01:20 AM;4.0;SIMPLE ASSAULT;;;;3514 W SILVER SPRING DR
062720049;09/29/2006;08:52 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2450 W ROOSEVELT DR
062720068;09/29/2006;07:42 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6167 N 36TH ST
062720081;09/29/2006;11:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4060 N 27TH ST
062720091;09/29/2006;10:56 AM;4.0;SHOPLIFTING;;;;5208 N TEUTONIA AV
062720124;09/29/2006;12:00 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5640 N 34TH ST
062720127;09/29/2006;12:28 PM;4.0;INTIMIDATION;DISORDERLY CONDUCT;;;3244 W VERA AV
062720129;09/29/2006;01:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5060 N 22ND ST
062720142;09/29/2006;02:53 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5301 N TEUTONIA AV
062720151;09/29/2006;03:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5301 N TEUTONIA AV
062720187;09/29/2006;04:33 PM;7.0;ROBBERY;;;;4277 N TEUTONIA AV
062720191;09/29/2006;05:53 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4127 N 13TH ST
062720194;09/29/2006;05:32 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6873 N TEUTONIA AV #4
062720242;09/29/2006;09:10 PM;7.0;AGGRAVATED ASSAULT;;;;2701 W FAIRMOUNT AV
062720244;09/29/2006;10:02 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5017 N 38TH ST
062720250;09/29/2006;09:06 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4519 N GREEN BAY AV
