Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
073040025;10/31/2007;03:01 AM;4.0;MOTOR VEHICLE THEFT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3402 W FLORIST AV
073040047;10/31/2007;07:25 AM;5.0;ROBBERY;;;;;4140 N 19TH ST
073040052;10/31/2007;06:20 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3709 W VILLARD AV
073040053;10/31/2007;07:25 AM;5.0;ROBBERY;;;;;1904 W CAPITOL DR
073040054;10/31/2007;07:51 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2462 W CAPITOL DR
073040074;10/31/2007;10:11 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6862 N DARIEN ST #3
073040106;10/31/2007;01:41 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4444 N 26TH ST
073040109;10/31/2007;01:52 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4066 N 14TH ST
073040111;10/31/2007;01:16 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;MOTOR VEHICLE THEFT;;;;6829 N DARIEN ST #2
073040137;10/31/2007;03:39 PM;4.0;PURSE SNATCHING;;;;;3720 W VILLARD AV
073040145;10/31/2007;04:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5048 N 32ND ST
073040149;10/31/2007;03:16 PM;7.0;SIMPLE ASSAULT;;;;;4843 N 37TH ST
073040150;10/31/2007;05:00 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4119 N 25TH ST
073040209;10/31/2007;07:35 PM;4.0;THEFT FROM BUILDING;;;;;5640 N 27TH ST
073040236;10/31/2007;06:10 PM;7.0;AGGRAVATED ASSAULT;;;;;4843 N 37TH ST
073030003;10/30/2007;12:05 AM;5.0;SIMPLE ASSAULT;;;;;4047 N 19TH ST
073030028;10/30/2007;06:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;6908 N 37TH ST
073030045;10/30/2007;09:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3023 W EGGERT PL
073030062;10/30/2007;08:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;4110 N 26TH ST
073030098;10/30/2007;10:39 AM;7.0;INTIMIDATION;;;;;4808 N HOPKINS ST
073030122;10/30/2007;02:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4251 N GREEN BAY AV
073030144;10/30/2007;03:32 PM;7.0;ALL OTHER LARCENY;DISORDERLY CONDUCT;;;;3600 W HAMPTON AV
073030155;10/30/2007;02:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;4375 N 17TH ST
073030168;10/30/2007;04:40 PM;4.0;ALL OTHER LARCENY;;;;;5353 N GREEN BAY AV
073030176;10/30/2007;03:47 PM;5.0;AGGRAVATED ASSAULT;;;;;4061 N 15TH ST
073030196;10/30/2007;08:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2207 W VILLARD AV
073030216;10/30/2007;09:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2504 W HAMPTON AV
073030225;10/30/2007;08:36 PM;7.0;ROBBERY;;;;;1812 W CAPITOL DR
073030230;10/30/2007;10:43 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4721 W WOOLWORTH AV
073030233;10/30/2007;09:21 PM;4.0;ROBBERY;;;;;6001-C N TEUTONIA AV
073030239;10/30/2007;08:30 PM;4.0;ROBBERY;;;;;5236 N 38TH ST
073030240;10/30/2007;09:13 PM;5.0;MOTOR VEHICLE THEFT;;;;;4100 N 21ST ST
073030241;10/30/2007;08:35 PM;7.0;ARSON;;;;;5112 N 46TH ST
073020041;10/29/2007;02:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5048 N 32ND ST
073020087;10/29/2007;09:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6464 N TEUTONIA AV
073020103;10/29/2007;10:30 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4333 N 13TH ST
073020104;10/29/2007;09:59 AM;5.0;AGGRAVATED ASSAULT;;;;;4115 N TEUTONIA AV
073020104;10/29/2007;09:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;4115 N TEUTONIA AV
073020105;10/29/2007;10:32 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4117 W DOUGLAS AV
073020109;10/29/2007;10:37 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6200 N TEUTONIA AV
073020117;10/29/2007;10:20 AM;4.0;MOTOR VEHICLE THEFT;;;;;3809 W CHEYENNE ST
073020121;10/29/2007;11:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5771 N 41ST ST
073020129;10/29/2007;09:50 AM;4.0;SIMPLE ASSAULT;;;;;1011 W SILVER SPRING DR
073020189;10/29/2007;04:24 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3800 W SHERIDAN AV
073020193;10/29/2007;02:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;4106 N 14TH ST
073020204;10/29/2007;03:45 PM;4.0;MOTOR VEHICLE THEFT;;;;;5204 N 36TH ST
073020220;10/29/2007;05:14 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3704 W JUNIPER CT
073020238;10/29/2007;04:04 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5521 N 39TH ST
073020247;10/29/2007;07:47 PM;7.0;ALL OTHER LARCENY;;;;;4538 N 26TH ST
073020261;10/29/2007;09:13 PM;4.0;INTIMIDATION;;;;;3809 W CHEYENNE ST
073020290;10/29/2007;08:54 PM;7.0;ROBBERY;;;;;3720 W STARK ST
