;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;73040074;10/31/2007;10:11 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.142660252449964, -87.95668700429653];6862 N DARIEN ST #3
1;73040106;10/31/2007;01:41 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09797843020367, -87.94556715234596];4444 N 26TH ST
2;73040145;10/31/2007;04:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109307220093484, -87.95277286799605];5048 N 32ND ST
3;73040150;10/31/2007;05:00 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09200877990651, -87.94466810646873];4119 N 25TH ST
4;73040209;10/31/2007;07:35 PM;4.0;THEFT FROM BUILDING;;;;;[43.120178465722205, -87.94617640795799];5640 N 27TH ST
5;73030045;10/30/2007;09:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110585484563664, -87.95040333527612];3023 W EGGERT PL
6;73030122;10/30/2007;02:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094617889809044, -87.92598350487609];4251 N GREEN BAY AV
7;73030196;10/30/2007;08:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11157614009297, -87.93916758391603];2207 W VILLARD AV
8;73030216;10/30/2007;09:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10456751875456, -87.94439155536962];2504 W HAMPTON AV
9;73030230;10/30/2007;10:43 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13313150230861, -87.97133131386718];4721 W WOOLWORTH AV
10;73020041;10/29/2007;02:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109307220093484, -87.95277286799605];5048 N 32ND ST
11;73020087;10/29/2007;09:27 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13495789009748, -87.95325540169692];6464 N TEUTONIA AV
12;73020103;10/29/2007;10:30 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09565394754458, -87.92690809925536];4333 N 13TH ST
13;73020105;10/29/2007;10:32 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.130597905793934, -87.96391786644584];4117 W DOUGLAS AV
14;73020109;10/29/2007;10:37 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129672916669264, -87.9521983082302];6200 N TEUTONIA AV
15;73020121;10/29/2007;11:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12299577990652, -87.963418092042];5771 N 41ST ST
