;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;83660006;12/31/2008;12:05 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08988224655525, -87.94398910861918];2458 W CAPITOL DR
1;83660011;12/31/2008;01:25 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980444936224, -87.94225282944774];2410 W CAPITOL DR
2;83660050;12/31/2008;11:37 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11818111518264, -87.95755063200394];5533 N 36TH ST
3;83660065;12/31/2008;01:18 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09783227200067, -87.94423065693358];4434 N 25TH ST
4;83660072;12/31/2008;01:46 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094617889809044, -87.92598350487609];4251 N GREEN BAY AV
5;83660103;12/31/2008;04:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113266968636395, -87.9587829190665];5260 N 37TH ST
6;83650071;12/30/2008;02:06 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10167627782904, -87.9352952129957];4654 N 19TH PL
7;83650088;12/30/2008;03:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12318558673323, -87.95862868307438];5809 N 37TH ST
8;83640041;12/29/2008;10:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10563558673323, -87.96273013200395];4847 N 40TH ST
9;83640094;12/29/2008;03:45 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14145733314082, -87.95480024069451];6811 N TEUTONIA AV
10;83640117;12/29/2008;03:29 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.138236537798505, -87.95762380252755];3645 W ELM ST
11;83630065;12/28/2008;01:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
12;83630069;12/28/2008;02:12 PM;5.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.101954000000006, -87.93540011757723];4667 N 19TH PL
13;83630075;12/28/2008;02:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11930728420182, -87.95713543612233];3550 W SILVER SPRING DR
14;83610066;12/26/2008;11:09 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12437741104509, -87.95158658621362];5877 N TEUTONIA AV
15;83610105;12/26/2008;04:04 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980444936224, -87.94225282944774];2410 W CAPITOL DR
16;83610127;12/26/2008;05:54 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09042225334997, -87.93700143170905];2000 W ATKINSON AV
17;83600031;12/25/2008;09:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12050246572221, -87.94615293349322];5658 N 27TH ST
18;83600078;12/25/2008;11:15 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.109226922009356, -87.94405759925536];5039 N 25TH ST
19;83580061;12/23/2008;01:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.103393079087176, -87.93097272026637];4731 N GREEN BAY AV
20;83570029;12/22/2008;11:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107615199001685, -87.96659907372015];4951 N SHERMAN BL
21;83570067;12/22/2008;02:27 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09667080099834, -87.93047491185312];4378 N 16TH ST
22;83520034;12/17/2008;10:56 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09302600000001, -87.93189436078269];4166 N 17TH ST
23;83500102;12/15/2008;03:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.098116689422376, -87.94797465803012];4446 N 28TH ST
24;83500136;12/15/2008;05:42 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14201254954125, -87.96558434909727];6820 N 43RD ST
25;83480024;12/13/2008;07:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.130597905793934, -87.96391786644584];4117 W DOUGLAS AV
26;83480059;12/13/2008;01:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10702924562872, -87.96775388631792];4922 N 44TH ST
27;83480061;12/13/2008;01:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
28;83470024;12/12/2008;09:19 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116704863725545, -87.95876809925535];5449 N 37TH ST
29;83460048;12/11/2008;10:40 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107741136274456, -87.94401435356933];4952 N 25TH ST
30;83450061;12/10/2008;02:16 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09247688481736, -87.94686339353127];4136 N 27TH ST
31;83450066;12/10/2008;04:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109667680824025, -87.96356138992459];5068 N 41ST ST
32;83440095;12/09/2008;04:20 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
33;83440097;12/09/2008;04:22 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09409248514061, -87.93521094754458];1931 W OLIVE ST
34;83440105;12/09/2008;04:57 PM;4.0;THEFT FROM BUILDING;;;;;[43.11884669608747, -87.95993015753918];5565 N 38TH ST
35;83440149;12/09/2008;09:34 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09557244463039, -87.93192066475252];4327 N 17TH ST
36;83410035;12/06/2008;06:09 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09396180099833, -87.93056491185312];4200 N 16TH ST
37;83400116;12/05/2008;05:41 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09265736663974, -87.92945059925536];4155 N 15TH ST
38;83390044;12/04/2008;12:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116794968636384, -87.95990538963613];5458 N 38TH ST
39;83390087;12/04/2008;04:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
40;83390108;12/04/2008;05:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11198686348805, -87.95894067757094];3700 W VILLARD AV
41;83390126;12/04/2008;07:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113264956979634, -87.95012094272579];5265 N TEUTONIA AV
42;83380024;12/03/2008;07:38 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13057760063988, -87.96247547952808];6173 N 40TH ST
43;83380158;12/03/2008;09:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091451366639745, -87.92950107372015];4101 N 15TH ST
44;83370070;12/02/2008;03:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.131222546742606, -87.96017219608748];3815 W DOUGLAS AV
45;83360049;12/01/2008;11:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102133549541236, -87.94672954097155];4661 N 27TH ST
46;83360052;12/01/2008;10:21 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11489740519164, -87.93399747326869];5385 N GREEN BAY AV
47;83360150;12/01/2008;05:57 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09982882653355, -87.94668594460173];4536 N 27TH ST
48;83360221;12/01/2008;06:26 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10055044936225, -87.93305924562871];1830 W GLENDALE AV
49;83660035;12/31/2008;09:44 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03305866472388, -87.96012294460172];214 N 37TH ST
50;83660042;12/31/2008;10:44 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.034984360811364, -87.96274391517136];404 N 39TH ST
51;83660070;12/31/2008;01:35 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08733783236195, -87.99824385356932];3850 N 69TH ST
52;83660085;12/31/2008;02:54 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03377053318129, -87.96206216472387];3822 W MT VERNON AV
53;83650029;12/30/2008;07:45 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.044311460470745, -87.9693062843499];4402 W MARTIN DR
54;83650033;12/30/2008;08:07 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.028784, -87.98873907372014];235 S 61ST ST
55;83650063;12/30/2008;12:05 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04589752842075, -87.96627997446477];4121 W MARTIN DR
56;83640101;12/29/2008;04:26 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.032697899445814, -87.95781887447025];3500 W PARK HILL AV
57;83630122;12/28/2008;08:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0743864884588, -88.00141167915059];7119 W MOLTKE AV
58;83620055;12/27/2008;10:28 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06082332449222, -87.98422771278004];2305 N 57TH ST
59;83620065;12/27/2008;11:17 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02701983236193, -87.99371059925535];433 S 65TH ST
60;83610037;12/26/2008;08:59 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.065565689162575, -87.98247956673792];5518 W LISBON AV
61;83600027;12/25/2008;09:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08783808946914, -87.99935810702058];3900 N 70TH ST
62;83590047;12/24/2008;09:24 AM;3.0;THEFT FROM BUILDING;;;;;[43.03378664466817, -88.00594772237736];316 N 75TH ST #6
63;83580071;12/23/2008;03:03 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06652983236194, -87.97750159925536];2617 N 51ST ST
64;83580074;12/23/2008;03:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06950888481737, -87.98324591517137];2772 N 56TH ST
65;83540030;12/19/2008;08:41 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02624541326679, -87.9899044412835];528 S 62ND ST
66;83530083;12/18/2008;12:26 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08348436470649, -87.998778174967];6930 W APPLETON AV
67;83520017;12/17/2008;07:54 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02952297446478, -88.00359056650677];233 S 73RD ST
68;83520068;12/17/2008;02:26 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.036334329447754, -87.96275592238472];502 N 39TH ST
69;83510055;12/16/2008;12:56 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06400958090484, -87.97865288631792];2470 N 52ND ST
70;83510118;12/16/2008;10:27 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04980942382701, -87.98564095989381];5806 W VLIET ST
71;83500106;12/15/2008;04:08 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0330730297181, -88.00594575106534];232 N 75TH ST
72;83490133;12/14/2008;07:38 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
73;83470104;12/12/2008;05:15 PM;3.0;THEFT FROM BUILDING;;;;;[43.034417046627055, -88.01649860768082];330 N GLENVIEW AV
74;83470112;12/12/2008;06:18 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07483386302364, -87.98738953870763];3071 N 60TH ST
75;83460081;12/11/2008;03:18 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.025984748542896, -87.98316154097155];698 S OAK PARK CT
76;83440037;12/09/2008;07:42 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04885550764606, -87.97335258090484];4726 W VLIET ST
77;83440148;12/09/2008;09:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
78;83430016;12/08/2008;05:25 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06361458673322, -87.98417810646872];2451 N 57TH ST
80;83430037;12/08/2008;10:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06807245657561, -88.00192210644006];7202 W CENTER ST
81;83410040;12/06/2008;08:16 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.075404511541194, -88.0042635];7320 W BURLEIGH ST
82;83410102;12/06/2008;03:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07181370191586, -87.98426804428976];2903 N 57TH ST
83;83410106;12/06/2008;03:41 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03205453231588, -87.99002958090485];6141 W STEVENSON ST
