;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;82130096;07/31/2008;12:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
1;82120057;07/30/2008;09:01 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12651448845881, -87.95895227699232];3709 W FLORIST AV
2;82120111;07/30/2008;01:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094268754371285, -87.9469010809335];4271 N 27TH ST
3;82120180;07/30/2008;06:38 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.143999694702494, -87.9631995976679];6945 N 41ST ST
4;82120185;07/30/2008;07:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.134776947544566, -87.96587334246082];6448 N 43RD ST
5;82120241;07/30/2008;11:19 PM;7.0;SIMPLE ASSAULT;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.11181153621103, -87.9518702514571];3101 W VILLARD AV #2
6;82110055;07/29/2008;09:28 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09265736663974, -87.92945059925536];4155 N 15TH ST
7;82110081;07/29/2008;11:59 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12653151399405, -87.96120316763806];3903 W FLORIST AV
8;82110105;07/29/2008;02:09 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.126025426161185, -87.96099339819399];5971 N 39TH ST
9;82100111;07/28/2008;01:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09130722009348, -87.94342292627985];4070 N 24TH PL
10;82100156;07/28/2008;04:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
11;82100233;07/28/2008;10:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
12;82090120;07/27/2008;02:15 PM;4.0;THEFT FROM BUILDING;;;;;[43.14206680099832, -87.96438639353127];6830 N 42ND ST
13;82090155;07/27/2008;02:30 PM;5.0;THEFT FROM BUILDING;;;;;[43.10591346572221, -87.93524244460173];4868 N 19TH PL
14;82080099;07/26/2008;01:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10869541909517, -87.9453116281088];5017 N 26TH ST
15;82080134;07/26/2008;05:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13457380486482, -87.96586540074465];6400 N 43RD ST
16;82070015;07/25/2008;12:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10931843147589, -87.95653186839144];5061 N 35TH ST
17;82070077;07/25/2008;09:28 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10823651154121, -87.95227033236193];3118 W FAIRMOUNT AV
18;82070091;07/25/2008;11:09 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093089031363604, -87.94566959536021];4217 N 26TH ST
19;82070150;07/25/2008;05:48 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09879294123938, -87.94922695384498];2900 W ATKINSON AV
20;82070217;07/25/2008;10:51 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115995173466445, -87.956348592042];5419 N 35TH ST
21;82070227;07/25/2008;11:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12898729638323, -87.96265143673094];4012 W KAUL AV
22;82050135;07/23/2008;04:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1095047799065, -87.95284962479059];5061 N 32ND ST
23;82050192;07/23/2008;08:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.112834245628704, -87.95635389353127];5240 N 35TH ST
24;82040089;07/22/2008;01:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1095047799065, -87.95284962479059];5061 N 32ND ST
25;82030078;07/21/2008;10:41 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125521354146265, -87.95179015990509];5945 N TEUTONIA AV
26;82020078;07/20/2008;12:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102261121011026, -87.93410446292359];4684 N 19TH ST
27;82020153;07/20/2008;08:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107543031363605, -87.94659012479057];4957 N 27TH ST
28;82010049;07/19/2008;06:09 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10037003136361, -87.94916862479059];4563 N 29TH ST #LOWER
29;72240055;07/18/2008;05:59 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.152638647786986, -87.95812583031312];7421 N TEUTONIA AV #3
30;82000109;07/18/2008;01:13 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13702644803971, -87.95619713830189];3503 W KIEHNAU AV
31;82000116;07/18/2008;02:08 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100586031363605, -87.94293110646872];4577 N 24TH PL
32;82000180;07/18/2008;07:54 PM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.15551990507247, -87.95903552250546];7569 N TEUTONIA AV
33;81990050;07/17/2008;09:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1114841618097, -87.97872287520941];5160 N 53RD ST
34;81980119;07/16/2008;02:55 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10269107799064, -87.93811238631791];4702 N 21ST ST
35;81980119;07/16/2008;02:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10269107799064, -87.93811238631791];4702 N 21ST ST
36;81970165;07/15/2008;07:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.116340010775126, -87.96229517327377];5440 N 40TH ST
37;81960072;07/14/2008;08:26 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.096275534277794, -87.92810959925535];4361 N 14TH ST
38;81960144;07/14/2008;02:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11334833527613, -87.95521160646872];5267 N 34TH ST
39;81960165;07/14/2008;04:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111956291610724, -87.95600625616785];3468 W VILLARD AV
40;81960192;07/14/2008;05:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094016303912525, -87.94929637910455];4254 N 29TH ST
41;81950113;07/13/2008;11:56 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12269958673323, -87.95619117586104];5761 N 35TH ST
42;81940053;07/12/2008;07:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV
43;81940099;07/12/2008;11:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10550755398463, -87.96503236078269];4840 N 42ND ST
44;81940132;07/12/2008;02:24 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10751683819032, -87.93527764311246];4947 N 19TH PL
45;81940206;07/12/2008;10:03 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11114305245542, -87.93446437910455];5150 N 19TH ST
46;81930018;07/11/2008;01:55 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.133904500576, -87.95926252553522];3800 W MILL RD
47;81930101;07/11/2008;02:49 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.108267506780685, -87.97530166763806];5001 W FAIRMOUNT AV
48;81930119;07/11/2008;04:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09401532944776, -87.94810485356932];4254 N 28TH ST
49;81930125;07/11/2008;04:45 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097726893127245, -87.93498759714923];1915 W CORNELL ST
50;81920094;07/10/2008;01:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101052994171624, -87.94284435356933];4612 N 24TH PL
51;81910049;07/09/2008;08:36 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10970372300767, -87.96140536078269];5064 N 39TH ST
52;81910060;07/09/2008;10:05 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0914722079002, -87.92427131252668];1020 W FIEBRANTZ AV
53;81910097;07/09/2008;01:52 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1035829686364, -87.93809438631791];4744 N 21ST ST
54;81910119;07/09/2008;04:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12554244463038, -87.95615067586104];5937 N 35TH ST
55;81910167;07/09/2008;08:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096221052455434, -87.94924335356933];4344 N 29TH ST
56;81910176;07/09/2008;09:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
57;81900020;07/08/2008;02:07 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12857162607253, -87.96730793602141];6108 N HOPKINS ST
58;81900033;07/08/2008;07:57 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10720966472388, -87.97877235356933];4930 N 53RD ST
59;81900060;07/08/2008;10:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09418703136362, -87.94564062479058];4265 N 26TH ST
60;81900072;07/08/2008;11:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111912528420774, -87.96971152553522];4519 W VILLARD AV
61;81900153;07/08/2008;07:57 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10514858090485, -87.97393865753918];4823 N 49TH ST
62;81890058;07/07/2008;08:52 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09380832944774, -87.94337587189119];4248 N 24TH PL
63;81890168;07/07/2008;05:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11337198251485, -87.95013091719056];5271 N TEUTONIA AV
64;81890215;07/07/2008;08:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10087403136362, -87.94293110646872];4603 N 24TH PL
65;81880154;07/06/2008;02:41 PM;4.0;THEFT FROM BUILDING;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV #120
66;81870144;07/05/2008;05:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11959483389527, -87.96221152717357];5612 N 40TH ST
67;81870145;07/05/2008;05:53 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.148725864715, -87.96084811241549];3922 W GOOD HOPE RD
68;81870164;07/05/2008;06:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.133904503317304, -87.95810148499636];3626 W MILL RD
69;81860067;07/04/2008;09:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14874545614319, -87.96372210354087];4140 W GOOD HOPE RD
70;81860085;07/04/2008;11:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11132771781888, -87.95893630132606];5173 N 37TH ST
71;81860106;07/04/2008;01:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11130469608747, -87.95157110646872];5173 N 31ST ST
72;81850085;07/03/2008;02:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11251600695356, -87.96511077780038];5230 N 42ND ST
73;81840059;07/02/2008;10:41 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
74;81840075;07/02/2008;12:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090579005828374, -87.92706109925535];4051 N 13TH ST
75;81840114;07/02/2008;04:12 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10129078766814, -87.9297523666684];4633 N GREEN BAY AV
76;81840129;07/02/2008;05:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11307900582838, -87.95886913200395];5253 N 37TH ST
77;81830070;07/01/2008;12:38 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
78;81830097;07/01/2008;02:33 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
79;81830193;07/01/2008;09:37 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.120250444630386, -87.95382013200395];5647 N 33RD ST
80;82130040;07/31/2008;06:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.081936323619374, -87.98334852986305];3451 N 56TH ST
81;82130055;07/31/2008;08:24 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.072611517889186, -87.9894312485429];6125 W GIRARD AV
82;82130081;07/31/2008;11:02 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.02677700000001, -88.00474494460173];518 S 74TH ST
83;82110048;07/29/2008;07:53 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03377953318127, -87.96260216472388];3840 W MT VERNON AV
84;82110211;07/29/2008;11:37 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08832000582839, -87.99588007703836];3911 N 67TH ST
85;82100058;07/28/2008;09:34 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02955947792724, -87.98962008090484];6131 W DIXON ST
86;82100078;07/28/2008;12:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
87;82100184;07/28/2008;06:41 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.02475272300768, -87.98748154097154];657 S 60TH ST
88;82090008;07/27/2008;12:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0775544970858, -87.98074335356932];3218 N 54TH ST
89;82090096;07/27/2008;10:45 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06801049321934, -87.97779997446477];5104 W CENTER ST
90;81970050;07/26/2008;12:42 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.051613092965624, -87.98257438975077];1601 N HAWLEY RD
91;82080057;07/26/2008;09:45 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.028781976348085, -87.97877566764105];100 N MITCHELL BL
92;82070115;07/25/2008;02:02 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06082332449222, -87.98422771278004];2305 N 57TH ST
93;82070117;07/25/2008;02:07 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.02902602553522, -88.00085012868573];311 S 71ST ST
94;82060140;07/24/2008;04:24 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03728445268046, -87.96437431845482];550 N 40TH ST
95;82060166;07/24/2008;06:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07540050288553, -87.99356194463039];6519 W BURLEIGH ST
96;82060219;07/24/2008;11:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
97;82050033;07/23/2008;03:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.075610999999995, -87.97602108525118];3113 N GENGLER CR
98;82050060;07/23/2008;08:36 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04594277987785, -87.9822682554678];5439 W MARTIN DR
99;82040118;07/22/2008;03:40 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.025939466818734, -87.99071302553523];6221 W MAIN ST
100;82040151;07/22/2008;09:29 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07064997772224, -87.99208127736094];6400 W LISBON AV
101;82030097;07/21/2008;12:37 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03315637402691, -88.03086719813535];305 N 95TH ST
102;82030122;07/21/2008;03:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.072612513994045, -87.99230241618096];6407 W GIRARD AV
103;82020054;07/20/2008;09:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06827432361936, -88.0006549412835];2700 N 71ST ST
104;82020110;07/20/2008;04:24 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.028781976348085, -87.97877566764105];100 N MITCHELL BL
105;82000071;07/18/2008;10:04 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.074595360551555, -87.9914031048822];6310 W APPLETON AV
106;82000093;07/18/2008;12:00 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.048959054080434, -87.97531317895678];4920 W VLIET ST
107;81990108;07/17/2008;02:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08539791840266, -87.99989545628715];7030 W VIENNA AV
108;81990123;07/17/2008;04:21 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03200431412323, -87.99740996567049];115 N 68TH ST
109;81980127;07/16/2008;03:47 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.072290701915875, -87.98425104039464];2931 N 57TH ST
110;81970100;07/15/2008;02:07 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.081668838190325, -87.98457114253553];3441 N 57TH ST
111;81970132;07/15/2008;04:38 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06235927348924, -87.97887536701708];5209 W MEINECKE AV
112;81950127;07/13/2008;03:26 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.028442167638076, -87.99112238631791];312 S 63RD ST
113;81940071;07/12/2008;08:00 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.05095277282136, -87.97578415202739];1558 N 50TH ST
114;81940083;07/12/2008;10:15 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.028781976348085, -87.97877566764105];100 N MITCHELL BL
115;81940148;07/12/2008;02:17 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0463197102405, -87.98075842065941];5403 W MARTIN DR
116;81940170;07/12/2008;05:47 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06968366584905, -87.99437667848676];2775 N SHOLES AV
117;81930165;07/11/2008;08:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07165753952926, -87.98877];6103 W LOCUST ST
118;81920041;07/10/2008;08:31 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07445951154119, -87.9948];6626 W MOLTKE AV
119;81920054;07/10/2008;09:40 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.045762339690874, -87.96725990241808];4201 W MARTIN DR
120;81920061;07/10/2008;10:10 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.046315696087476, -87.96557863200395];4115 W HIGHLAND BL
