;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;91200043;04/30/2009;10:03 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10012582653357, -87.94667244460172];4550 N 27TH ST
1;91200089;04/30/2009;03:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11501286372555, -87.96002113200394];5357 N 38TH ST
2;91200130;04/30/2009;08:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12658602141596, -87.95617649105935];3500 W FLORIST AV
3;91190037;04/29/2009;08:20 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08985048600596, -87.94515116472387];2510 W CAPITOL DR
4;91190070;04/29/2009;12:10 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090469245628725, -87.94462537910455];4026 N 25TH ST
5;91190092;04/29/2009;01:54 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08982951960866, -87.94096693360511];2300 W CAPITOL DR
6;91190109;04/29/2009;02:59 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106715754371294, -87.9751781281088];4911 N 50TH ST
7;91190126;04/29/2009;05:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10378966472388, -87.9516428280341];4758 N 31ST ST
8;91190142;04/29/2009;05:42 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08957951154119, -87.93186322009349];1634 W CAPITOL DR
9;91180059;04/28/2009;10:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0960950313636, -87.94685861036386];4339 N 27TH ST
10;91170151;04/27/2009;07:38 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
11;91160050;04/26/2009;11:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10152132944776, -87.94907235356932];4628 N 29TH ST
12;91150022;04/25/2009;03:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12765679516994, -87.9572854773503];6044 N 36TH ST
