;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;91510061;05/31/2009;10:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09750126421037, -87.94740148753517];2711 W ATKINSON AV
1;91500023;05/30/2009;07:43 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107229089647404, -87.93694911368208];4929 N 20TH ST
2;91500116;05/30/2009;06:53 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.148645515436336, -87.957452690836];3632 W GOOD HOPE RD
3;91490027;05/29/2009;07:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10464746047075, -87.96237372300767];3922 W HAMPTON AV
4;91490062;05/29/2009;11:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11258408700891, -87.95645432016074];5237 N 35TH ST
5;91490082;05/29/2009;12:07 PM;4.0;THEFT FROM BUILDING;;;;;[43.14193839936102, -87.95635087519636];6831 N DARIEN ST #3
6;91480141;05/28/2009;06:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0934656588955, -87.93187644460173];4184 N 17TH ST
7;91470159;05/27/2009;08:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10559293421436, -87.96043546214418];4843 N HOPKINS ST
8;91460034;05/26/2009;08:11 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14845951731226, -87.96503202844941];4225 W GOOD HOPE RD
9;91460064;05/26/2009;11:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14874161894077, -87.96232507108171];4010 W GOOD HOPE RD #D
10;91460104;05/26/2009;03:07 PM;4.0;THEFT FROM BUILDING;;;;;[43.148495517312256, -87.97463108381903];5001 W GOOD HOPE RD
11;91450142;05/25/2009;08:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09777305687016, -87.93514936164807];1925 W CORNELL ST
12;91430038;05/23/2009;07:42 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09551772666801, -87.94195760333099];4300 N TEUTONIA AV
13;91430073;05/23/2009;11:59 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09654545045876, -87.93303757703836];4371 N 18TH ST
14;91410020;05/21/2009;02:15 AM;4.0;THEFT FROM BUILDING;;;;;[43.11325900582838, -87.95763957372014];5261 N 36TH ST
15;91410071;05/21/2009;10:59 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097029835160555, -87.93879694866975];2118 W ROOSEVELT DR
16;91400032;05/20/2009;08:07 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11057752120741, -87.95027283527612];3015 W EGGERT PL
17;91400042;05/20/2009;08:53 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100993754659754, -87.94476059515867];4614 N TEUTONIA AV
18;91400059;05/20/2009;09:51 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09763751601324, -87.93004177837729];1600 W CORNELL ST
19;91400108;05/20/2009;03:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10480426555719, -87.9778547655572];5200 W HAMPTON AV
20;91380086;05/18/2009;02:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100993754659754, -87.94476059515867];4614 N TEUTONIA AV
21;91380178;05/18/2009;10:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11283555536963, -87.95514233524747];5240 N 34TH ST #A
22;91370019;05/17/2009;02:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
23;91370049;05/17/2009;08:54 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
24;91360040;05/16/2009;07:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10710292200935, -87.96661813200394];4927 N SHERMAN BL
25;91360044;05/16/2009;07:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111368335276126, -87.96896916475252];5169 N 45TH ST
26;91360064;05/16/2009;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10217832944775, -87.9478828607827];4660 N 28TH ST
27;91360068;05/16/2009;10:03 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0912892200935, -87.94082586467783];4070 N 23RD ST
28;91360082;05/16/2009;10:11 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0913792200935, -87.94460484967419];4076 N 25TH ST
29;91360130;05/16/2009;04:51 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
30;91350128;05/15/2009;04:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12655851399404, -87.96484383527613];4203 W FLORIST AV
31;91340056;05/14/2009;11:19 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14147299999999, -87.97018637520941];6808 N 46TH ST
32;91340062;05/14/2009;12:05 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11606586372554, -87.95879165753918];5419 N 37TH ST
33;91340140;05/14/2009;07:09 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.148645515436336, -87.957452690836];3632 W GOOD HOPE RD
34;91330027;05/13/2009;07:39 AM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.108884419095176, -87.97023165364402];5031 N 46TH ST
35;91330039;05/13/2009;09:39 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09328761809684, -87.92819854097155];4183 N 14TH ST
36;91330058;05/13/2009;11:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10083550432784, -87.95223072300767];3112 W GLENDALE AV
37;91330061;05/13/2009;12:20 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11360975437128, -87.95640815032581];5279 N 35TH ST
