;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;112730038;09/30/2011;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10660730391251, -87.9340048607827];4902 N 19TH ST
1;112730051;09/30/2011;08:53 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090472335016344, -87.92359243176152];4057 N GREEN BAY AV
2;112730058;09/30/2011;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10510386372556, -87.96666860646873];4819 N SHERMAN BL
3;112710173;09/28/2011;10:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106043625310186, -87.93177886459091];4877 N GREEN BAY AV
4;112710178;09/28/2011;10:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102755, -87.94912812479058];4709 N 29TH ST
5;112700123;09/27/2011;05:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09276049321932, -87.94304083236193];2432 W HOPE AV
6;112700133;09/27/2011;06:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09649459394658, -87.94398429390054];4366 N 25TH ST
7;112700147;09/27/2011;07:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
8;112680061;09/25/2011;12:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
9;112670059;09/24/2011;11:56 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09029919900166, -87.94200107761527];4021 N 24TH ST
10;112670061;09/24/2011;12:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10633574271452, -87.93400388631792];4892 N 19TH ST
11;112670098;09/24/2011;04:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104764379010696, -87.94665793003563];4810 N TEUTONIA AV
12;112670165;09/24/2011;10:54 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09212482653356, -87.93061343738836];4130 N 16TH ST
13;112640098;09/21/2011;03:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10548241909515, -87.956569092042];4841 N MOTHER DANIELS WA
14;112620077;09/19/2011;08:40 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126002303912514, -87.95850286078269];5956 N 37TH ST
15;112610044;09/18/2011;04:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11058652120739, -87.95081186081136];3033 W EGGERT PL
16;112610046;09/18/2011;07:33 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.133982650033744, -87.95694453338115];3520 W MILL RD
