Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
113650030;12/31/2011;07:39 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4105 N 24TH PL
113650043;12/31/2011;11:01 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6081 N 38TH ST
113650047;12/31/2011;10:59 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4150 N 22ND ST #UPPER
113650115;12/31/2011;08:48 PM;5.0;ROBBERY;;;;;2400 W HOPE AV
113640008;12/30/2011;01:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;6801 N DARIEN ST
113640024;12/30/2011;12:15 AM;7.0;ALL OTHER LARCENY;;;;;1708 W COURTLAND AV
113640048;12/30/2011;07:42 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4230 N 19TH ST
113640074;12/30/2011;12:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;5005 N 35TH ST
113640088;12/30/2011;01:38 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4247 N TEUTONIA AV
113640100;12/30/2011;02:52 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4563 N 21ST ST
113640102;12/30/2011;03:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4852 N 36TH ST
113640106;12/30/2011;03:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4734 N 31ST ST
113640141;12/30/2011;08:21 PM;7.0;AGGRAVATED ASSAULT;;;;;5003 N 51ST BL
113640143;12/30/2011;08:46 PM;7.0;SIMPLE ASSAULT;;;;;4829 N 45TH ST
113640158;12/30/2011;09:56 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1973 W CONGRESS ST
113650004;12/30/2011;11:35 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5048 N 35TH ST
120100017;12/30/2011;03:08 AM;7.0;AGGRAVATED ASSAULT;;;;;5016 N 24TH ST
113630008;12/29/2011;02:33 AM;4.0;ALL OTHER LARCENY;;;;;6035 N 40TH ST #126
113630024;12/29/2011;07:51 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1801 W OLIVE ST
113630026;12/29/2011;07:35 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;7420 N TEUTONIA AV
113630032;12/29/2011;08:21 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3514 W GOOD HOPE RD
113630038;12/29/2011;09:55 AM;7.0;ALL OTHER LARCENY;;;;;3341 W HOPKINS ST
113630048;12/29/2011;11:20 AM;4.0;SIMPLE ASSAULT;;;;;3722 W JUNIPER CT
113630077;12/29/2011;02:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;7141 N 42ND ST
113630080;12/29/2011;01:32 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4259 N 27TH ST #7
113630097;12/29/2011;04:56 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4179 N 14TH ST
113630132;12/29/2011;07:40 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7110 N 40TH ST
113620012;12/28/2011;12:26 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3815 W GOOD HOPE RD #7
113620019;12/28/2011;12:57 AM;7.0;AGGRAVATED ASSAULT;;;;;5151 N 31ST ST
