;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;110900052;03/31/2011;11:14 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09746939780987, -87.92765925947413];4427 N GREEN BAY AV
1;110890053;03/30/2011;12:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11773916180968, -87.95258289353127];5514 N 32ND ST
2;110880050;03/29/2011;12:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0965174657222, -87.92802241185314];4372 N 14TH ST
3;110880106;03/29/2011;06:30 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12592265316018, -87.95605296269468];5966 N 35TH ST
4;110880114;03/29/2011;07:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101440025535226, -87.94662638631792];4620 N 27TH ST
5;110870020;03/28/2011;04:54 AM;4.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;;;;[43.13616157507647, -87.96459488905921];6518 N 42ND ST
6;110870052;03/28/2011;10:42 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09882337301637, -87.94373147755185];4485 N TEUTONIA AV
7;110870078;03/28/2011;12:42 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09741716180969, -87.94921635356933];4408 N 29TH ST
8;110870088;03/28/2011;01:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08996529808414, -87.93434491185313];4014 N 19TH ST
9;110870091;03/28/2011;01:59 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13409030289293, -87.97582080289291];5100 W MILL RD
10;110870129;03/28/2011;06:07 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11693117346644, -87.95631064311246];5463-A N 35TH ST
11;110860075;03/27/2011;12:22 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1181174446304, -87.96350112479058];5531 N 41ST ST
12;110860135;03/27/2011;08:35 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11411417346645, -87.94767912479058];5315 N 28TH ST
13;110850037;03/26/2011;08:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14868499498744, -87.95648689130235];7200 N TEUTONIA AV
14;110850136;03/26/2011;10:51 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09100153427781, -87.92582104818491];4071 N 12TH ST
15;110830053;03/24/2011;12:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09392678573491, -87.93816807372015];4195 N 21ST ST
16;110830055;03/24/2011;01:18 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09100153427781, -87.92582104818491];4071 N 12TH ST
17;110820076;03/23/2011;01:36 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125967816877164, -87.96326766608826];5966 N 41ST ST
18;110820116;03/23/2011;04:41 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09680106494891, -87.94392596283667];4377 N 25TH ST
19;110810076;03/22/2011;01:25 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10343941909517, -87.9353886503258];4739 N 19TH PL
20;110810102;03/22/2011;04:41 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10234077076807, -87.94541707641064];4700 N TEUTONIA AV
21;110810121;03/22/2011;06:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10552683236193, -87.9638333280341];4840 N 41ST ST
22;110810141;03/22/2011;08:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10392516763807, -87.95042163589909];4767 N 30TH ST
23;110800044;03/21/2011;09:17 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099447599774955, -87.94544783184233];4519 N 26TH ST
24;110800068;03/21/2011;11:19 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09396180099833, -87.93056491185312];4200 N 16TH ST
25;110800069;03/21/2011;11:25 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104786952397355, -87.97559956726755];5000 W HAMPTON AV
26;110800093;03/21/2011;01:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11064794754458, -87.9528216503258];5135 N 32ND ST
27;110800109;03/21/2011;02:38 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10946117346646, -87.94038012479058];5053 N 23RD ST
28;110800151;03/21/2011;05:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
29;110800189;03/21/2011;08:44 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11655124562873, -87.96110386078269];5440 N 39TH ST
30;110800212;03/21/2011;10:50 PM;4.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.117069485140604, -87.93583166472386];1901 W SHERIDAN AV
31;110780009;03/19/2011;01:15 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09167728959512, -87.93906837453495];2151 W ATKINSON AV
32;110780070;03/19/2011;12:09 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0895064532574, -87.92869980391252];1408 W CAPITOL DR
33;110780075;03/19/2011;12:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11551153231589, -87.95411052844942];3303 W CUSTER AV
34;110780096;03/19/2011;02:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099676444630376, -87.94799059925535];4531 N 28TH ST
35;110770115;03/18/2011;04:39 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10270983236194, -87.95035487520941];4706 N 30TH ST
36;110760039;03/17/2011;09:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12009052120741, -87.96552308381904];4231 W REICHERT PL
37;110760040;03/17/2011;09:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108354525152784, -87.93856311806472];2112 W FAIRMOUNT AV
38;110760062;03/17/2011;01:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10477916180969, -87.94408286857298];4808 N 25TH ST
39;110760114;03/17/2011;07:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096742947544584, -87.94931007372014];4371 N 29TH ST
40;110760126;03/17/2011;08:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1106846083733, -87.9623928718912];5134 N 40TH ST
41;110750065;03/16/2011;11:08 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0995231829015, -87.95040465803011];4522 N 30TH ST
42;110740038;03/15/2011;09:02 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.097194729384334, -87.92746929006272];4401 N GREEN BAY AV
43;110740078;03/15/2011;11:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115139754371285, -87.96002113200394];5363 N 38TH ST
44;110740195;03/15/2011;10:06 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11512941326677, -87.95753536078269];5362 N 36TH ST
45;110730025;03/14/2011;06:54 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0995231829015, -87.95040465803011];4522 N 30TH ST
46;110730051;03/14/2011;10:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11188648124544, -87.9627102485429];4001 W VILLARD AV
47;110730060;03/14/2011;11:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104705265431065, -87.95677226543107];3500 W HAMPTON AV
48;110710070;03/12/2011;09:16 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10315336637994, -87.93222555785111];4734 N PARKWAY AV
49;110710120;03/12/2011;05:00 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097055517889174, -87.94219295184374];2403 W CONGRESS ST
50;110700025;03/11/2011;08:27 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10207891035259, -87.9365853718912];4650 N 20TH ST
51;110700033;03/11/2011;09:16 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102637025535216, -87.94912812479058];4701 N 29TH ST
52;110700042;03/11/2011;10:29 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12240141326677, -87.95856488631792];5742 N 37TH ST
53;110700051;03/11/2011;02:33 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
54;110700080;03/11/2011;02:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
55;110700095;03/11/2011;03:44 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12655750432784, -87.95698230391251];3524 W FLORIST AV
56;110700099;03/11/2011;03:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09878355207124, -87.94912564989698];4476 N 29TH ST
57;110700104;03/11/2011;04:31 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090676245628714, -87.94461540463978];4036 N 25TH ST
58;110690014;03/10/2011;07:45 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.136529274510835, -87.95349465456859];6600 N TEUTONIA AV
59;110690051;03/10/2011;11:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12702260834777, -87.95604962099178];6020 N 35TH ST
60;103050029;03/09/2011;09:21 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0937550313636, -87.94564962479058];4243 N 26TH ST
61;110680071;03/09/2011;03:13 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116776161809696, -87.96464235356932];5452 N 42ND ST
62;110670056;03/08/2011;11:14 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14842053173898, -87.95962375145709];3815 W GOOD HOPE RD #3
63;110660059;03/07/2011;11:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
64;110650084;03/06/2011;04:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09548157507646, -87.93300391185313];4314 N 18TH ST
