Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
122130026;07/31/2012;03:17 AM;7.0;ROBBERY;;;;;4811 N TEUTONIA AV
122130041;07/31/2012;08:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;7065 N 46TH ST
122130048;07/31/2012;07:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;5560 N 42ND ST
122130067;07/31/2012;11:08 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5301 N TEUTONIA AV
122130116;07/31/2012;03:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;4130 W FLORIST AV
122130127;07/31/2012;03:37 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2501 W FAIRMOUNT AV
122130135;07/31/2012;04:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4318 N 15TH ST
122130140;07/31/2012;04:37 PM;7.0;INTIMIDATION;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3033 W EGGERT PL
122130141;07/31/2012;05:31 PM;4.0;MOTOR VEHICLE THEFT;;;;;5430 N LONG ISLAND DR
122130197;07/31/2012;02:58 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5002 N 23RD ST
122140005;07/31/2012;11:11 PM;4.0;SIMPLE ASSAULT;;;;;3900 W SILVER SPRING DR
122140014;07/31/2012;11:51 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4638-A N 32ND ST
122120020;07/30/2012;12:16 AM;5.0;ROBBERY;;;;;1710 W FIEBRANTZ AV
122120026;07/30/2012;02:56 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5024 N 33RD ST
122120060;07/30/2012;08:37 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4218 N 17TH ST
122120135;07/30/2012;03:58 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4663 N 18TH ST #LWR
122120144;07/30/2012;05:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4530 N 24TH PL
122120176;07/30/2012;05:34 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4124 N 12TH ST
122120185;07/30/2012;09:37 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5645 N 34TH ST
122120201;07/30/2012;09:01 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6145 N 37TH ST
122120210;07/30/2012;07:55 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2901 W ATKINSON AV #2
122120211;07/30/2012;08:11 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6023 N 39TH ST
122110097;07/29/2012;12:13 PM;4.0;SIMPLE ASSAULT;;;;;2820 W CARMEN AV #2
122110135;07/29/2012;03:53 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5514 N 35TH ST
122110183;07/29/2012;09:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;5065 N HOPKINS ST
122100074;07/28/2012;09:35 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5480 N 27TH ST
122100076;07/28/2012;10:56 AM;5.0;MOTOR VEHICLE THEFT;;;;;2541 W VICTORY LA
122100095;07/28/2012;12:49 PM;4.0;SIMPLE ASSAULT;;;;;5417 N LONG ISLAND DR
