;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;132100034;07/29/2013;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11655124562873, -87.96110386078269];5440 N 39TH ST
1;132090078;07/28/2013;12:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11348400582838, -87.95763957372014];5277 N 36TH ST
2;132090108;07/28/2013;03:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11795984008488, -87.95146449474272];5535 N 31ST ST
3;132070043;07/26/2013;07:32 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1252762894858, -87.95486333524747];5930 N 34TH ST
4;132060061;07/25/2013;10:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099316717179306, -87.94670589353127];4512 N 27TH ST
5;132060091;07/25/2013;01:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.124492474032095, -87.94682108381903];2719 W BOBOLINK AV
6;132050037;07/24/2013;06:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091406922009355, -87.92580763200395];4101 N 12TH ST
7;132050184;07/24/2013;10:49 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10001799417162, -87.94910385356933];4544 N 29TH ST
8;132050194;07/24/2013;11:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105256444630385, -87.956569092042];4831 N MOTHER DANIELS WA
9;132040158;07/23/2013;02:57 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125080185942245, -87.9661235451983];5904 N SHERMAN BL
10;132040199;07/23/2013;11:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09063217458076, -87.937304202715];2024 W ATKINSON AV
11;132030049;07/22/2013;07:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11512941326677, -87.95753536078269];5362 N 36TH ST
12;132030110;07/22/2013;02:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09051399417163, -87.94691386799605];4022 N 27TH ST
13;132010020;07/20/2013;12:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111000344691035, -87.93904019461853];5142 N 22ND ST
14;132010080;07/20/2013;01:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108311510675826, -87.94443208673322];2501 W FAIRMOUNT AV
15;132010122;07/20/2013;05:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118117884817366, -87.95747236078269];5530 N 36TH ST
16;132000116;07/19/2013;05:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10357455536962, -87.9353123280341];4746 N 19TH PL
17;132000129;07/19/2013;06:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102728639188655, -87.95165535356932];4706 N 31ST ST
18;131980051;07/17/2013;09:40 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1498603139451, -87.9590033183347];3723 W JUNIPER CT
19;131960011;07/15/2013;12:51 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10591492200936, -87.94286014311245];4867 N 24TH PL
20;131950120;07/14/2013;06:29 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12957461006214, -87.96400198448248];4134 W KAUL AV
21;131940070;07/13/2013;04:04 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.116452413266785, -87.95751383524747];5438 N 36TH ST
22;131940117;07/13/2013;05:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11925348600596, -87.9564915];3500 W SILVER SPRING DR
23;131920011;07/11/2013;01:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10378869025911, -87.93702764643068];4757 N 20TH ST
24;131920014;07/11/2013;02:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.102827199001666, -87.93936859925536];4715 N 22ND ST
25;131920048;07/11/2013;09:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10087126054742, -87.94642077827628];2620 W GLENDALE AV
26;131920070;07/11/2013;11:52 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9627102485429];4001 W VILLARD AV #4
27;131920075;07/11/2013;01:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09075724562871, -87.94343642627985];4042 N 24TH PL
28;131910101;07/10/2013;04:31 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094267884817356, -87.93548341185313];4200 N 19TH PL
29;131900058;07/09/2013;09:55 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
30;131880012;07/07/2013;01:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11192548845881, -87.97340249999999];4825 W VILLARD AV
31;131880069;07/07/2013;10:44 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106788849746174, -87.96156889652624];4937 N 39TH ST
32;131880158;07/07/2013;09:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147190366379945, -87.95787408670456];7136 N 37TH ST
33;131870138;07/06/2013;03:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11243975437128, -87.96007963200395];5219 N 38TH ST
34;131870163;07/06/2013;09:19 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109859456575606, -87.96543283236194];4200 W LANCASTER AV
35;131820115;07/01/2013;03:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092151910352584, -87.93190591185314];4130 N 17TH ST
36;132070046;07/26/2013;08:19 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08206775295765, -87.99671914389185];6741 W KEEFE AVENUE PK
37;132040159;07/23/2013;07:38 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04899544214889, -87.97714974271452];5050 W VLIET ST
38;132010049;07/20/2013;10:47 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04587865941511, -87.96688861197998];4141 W MARTIN DR
39;131990013;07/18/2013;01:26 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07354941326679, -87.98083285688755];3002 N 54TH ST
40;131980050;07/17/2013;09:37 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.076619502914184, -87.97486057703836];3169 N 49TH ST
41;131970119;07/16/2013;02:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0681073617538, -87.98496679498373];5758 W CENTER ST
42;131940116;07/13/2013;04:15 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
43;131940118;07/13/2013;05:19 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
44;131910027;07/10/2013;08:12 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.032448036643736, -88.00715588631792];150 N 76TH ST
45;131890187;07/08/2013;07:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
46;131870007;07/06/2013;02:00 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.028397167638076, -87.98750059925536];315 S 60TH ST
47;131860135;07/05/2013;04:40 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02721774854291, -88.00240860257358];455 S 72ND ST
48;131850052;07/04/2013;11:25 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03376947489746, -87.96233305536961];3830 W MT VERNON AV
49;132080033;07/27/2013;06:25 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.981307130413875, -87.94468856164487];2400 W MORGAN AV
50;132080058;07/27/2013;09:55 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97032347273309, -88.01056984621174];7710 W WATERFORD AV
51;132040037;07/23/2013;05:54 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99559449567219, -87.9928827485429];6411 W CLEVELAND AV
