;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;131500085;05/30/2013;01:43 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0998924446304, -87.94799059925535];4541 N 28TH ST
1;131490025;05/29/2013;06:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105529378296495, -87.97774136222498];4837 N 52ND ST
2;131480019;05/28/2013;03:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10718357802915, -87.9763140094868];4936 N 51ST BL
3;131470097;05/27/2013;03:57 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129720005828375, -87.9560576281088];6143 N 35TH ST
4;131460057;05/26/2013;10:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0950564676841, -87.92887097155058];1420 W HAUSER AV
5;131460090;05/26/2013;02:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11279903136361, -87.95887813200395];5239 N 37TH ST
6;131470010;05/26/2013;11:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11395304302036, -87.9500955572742];5308 N TEUTONIA AV
7;131450072;05/25/2013;10:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.102359838190324, -87.9370291392173];4665 N 20TH ST
8;131450002;05/24/2013;12:53 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10549453231589, -87.97354977407812];4827 W LOUSCHER AV
9;131430015;05/23/2013;06:58 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09467322009348, -87.93807541185313];4218 N 21ST ST
10;131430093;05/23/2013;06:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10846949708582, -87.97631589353128];5000 N 51ST BL
11;131370032;05/17/2013;04:48 AM;7.0;ALL OTHER LARCENY;MOTOR VEHICLE THEFT;;;;[43.100491550060845, -87.93278430544173];1827 W GLENDALE AV
12;131350073;05/15/2013;08:38 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09140482653356, -87.92695591185313];4102 N 13TH ST
13;131340047;05/14/2013;09:43 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12720220793441, -87.95604800582556];6028 N 35TH ST
14;131330038;05/13/2013;10:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118729696087485, -87.95994013200395];5559 N 38TH ST
15;131320060;05/12/2013;12:52 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14874714971176, -87.96386266973228];4160 W GOOD HOPE RD
16;131300004;05/10/2013;01:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110378419095156, -87.96019115753917];5123 N 38TH ST
17;131300057;05/10/2013;12:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090973779906506, -87.94350859925535];4053 N 24TH PL
18;131300063;05/10/2013;01:22 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09854346926179, -87.94878436943085];2868 W ATKINSON AV
19;131300110;05/10/2013;05:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11097936416198, -87.93904087876622];5140 N 22ND ST
20;131280161;05/08/2013;08:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
21;131260064;05/06/2013;12:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09136103136362, -87.93698812089545];4083 N 20TH ST
22;131210050;05/01/2013;09:51 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111787481245464, -87.94845377699232];2821 W VILLARD AV
23;131480063;05/28/2013;12:16 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.066629922009355, -87.9834010587165];2625 N 56TH ST
24;131490006;05/28/2013;09:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.070597245628704, -87.98088293738836];2834 N 54TH ST
25;131460015;05/26/2013;02:04 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06913916180969, -87.98206291185313];2752 N 55TH ST
26;131450133;05/25/2013;06:46 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04200000000003, -87.90686999999997];1 S BREWERS WA
27;131430099;05/23/2013;07:04 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.049421568382705, -87.98191290091752];5425 W VLIET ST
28;131390070;05/19/2013;09:45 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06060179048989, -87.97902625809797];5207 W NORTH AV
29;131380054;05/18/2013;09:14 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06969800000002, -88.00619535356932];2774 N 75TH ST
30;131330123;05/13/2013;06:44 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08677539155386, -88.0071370927723];3826 N 76TH ST
31;131330155;05/13/2013;11:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08941397893249, -88.00478698177083];3969 N 74TH ST
32;131290030;05/09/2013;05:39 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06472044463038, -87.97751959925536];2515 N 51ST ST
33;131290038;05/09/2013;07:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.068045518754566, -87.98365324854291];5606 W CENTER ST
34;131220090;05/02/2013;05:18 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06445351506797, -87.98029645367097];5320 W LISBON AV
35;131210061;05/01/2013;11:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0721708878144, -87.99529046491357];6663 W LISBON AV
36;131510079;05/31/2013;12:41 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9883400088399, -87.96180222599452];3801 W OKLAHOMA AV
37;131330016;05/13/2013;04:20 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.002126586733226, -87.95676058093349];2339 S 34TH ST
38;131320073;05/12/2013;03:24 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.974532915282886, -87.96805391109451];3840 S 43RD ST
39;131280064;05/08/2013;09:40 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97403409952649, -87.95009782612026];2816 W HOWARD AV
40;131220127;05/02/2013;08:43 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.987492, -88.007819592042];3137 S 76TH ST
41;131210139;05/01/2013;04:18 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97528117765004, -87.97342104564609];4720 W TRIPOLI AV
42;131510034;05/31/2013;08:03 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.016252438513554, -87.9350754178544];1729 W BOW ST
43;131500042;05/30/2013;10:16 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01402684961731, -87.92441781141973];1025 W LAPHAM BL
44;131470064;05/27/2013;11:53 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01695184590816, -87.93223831420494];1565 W GREENFIELD AV
45;131470118;05/27/2013;06:20 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00365569608749, -87.93245108425171];2247 S 15TH PL
