Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
133340043;11/30/2013;10:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;4852 N 26TH ST
133340056;11/30/2013;11:40 AM;5.0;AGGRAVATED ASSAULT;;;;;2643 W ATKINSON AV
133340080;11/30/2013;03:11 PM;5.0;AGGRAVATED ASSAULT;;;;;1974 W CONGRESS ST #3
133340107;11/30/2013;06:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;4821 N HOPKINS ST
133340131;11/30/2013;10:15 PM;4.0;SIMPLE ASSAULT;;;;;5530 N 41ST ST
133330023;11/29/2013;03:49 AM;4.0;AGGRAVATED ASSAULT;;;;;3827 W GOOD HOPE RD #6
133330025;11/29/2013;04:46 AM;4.0;MOTOR VEHICLE THEFT;;;;;5961 N 37TH ST
133330028;11/29/2013;04:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;4765 N 32ND ST
133330048;11/29/2013;08:38 AM;4.0;SIMPLE ASSAULT;;;;;2926 W BOBOLINK AV
133330067;11/29/2013;12:23 PM;4.0;SIMPLE ASSAULT;;;;;3520-A W VILLARD AV
133330069;11/29/2013;01:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;5696 N 42ND ST
133330083;11/29/2013;02:41 PM;4.0;MOTOR VEHICLE THEFT;;;;;3737 W CHEYENNE ST
133330126;11/29/2013;09:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;6086 N 41ST ST
133340018;11/29/2013;11:21 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5066 N 49TH ST
133320033;11/28/2013;11:10 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4045 N 16TH ST
133320068;11/28/2013;04:20 PM;4.0;SIMPLE ASSAULT;;;;;5308 N 29TH ST #3
133320104;11/28/2013;09:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;4057-A N 17TH ST
133320105;11/28/2013;10:07 PM;4.0;AGGRAVATED ASSAULT;;;;;7586 N TEUTONIA AV
133320106;11/28/2013;10:15 PM;5.0;AGGRAVATED ASSAULT;;;;;2901 W HAMPTON AV
133330004;11/28/2013;11:45 PM;;HOMICIDE;;;;;5165 N 42ND ST
133310049;11/27/2013;12:01 PM;5.0;AGGRAVATED ASSAULT;;;;;2222 W CAPITOL DR
133310054;11/27/2013;11:28 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4917 N 36TH ST
133310067;11/27/2013;01:52 PM;7.0;THEFT FROM BUILDING;;;;;2121 W EGGERT PL
133310075;11/27/2013;03:37 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5131 N GREEN BAY AV
133310086;11/27/2013;03:10 PM;4.0;AGGRAVATED ASSAULT;;;;;5243 N TEUTONIA AV
133310091;11/27/2013;05:22 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3118 W THURSTON AV
133310105;11/27/2013;06:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;4238 N TEUTONIA AV
133310111;11/27/2013;06:51 PM;5.0;SIMPLE ASSAULT;;;;;2825 W ATKINSON AV #8
133310125;11/27/2013;08:33 PM;4.0;AGGRAVATED ASSAULT;;;;;2800 W BOBOLINK AV
133310139;11/27/2013;10:36 PM;4.0;SIMPLE ASSAULT;TRESPASSING;;;;5962 N SHERMAN BL #4
133300012;11/26/2013;02:45 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3520 W VILLARD AV
133300015;11/26/2013;04:14 AM;5.0;ROBBERY;;;;;2061 W ATKINSON AV
133300073;11/26/2013;02:38 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6066 N 36TH ST
133300087;11/26/2013;05:04 PM;5.0;MOTOR VEHICLE THEFT;;;;;4100 N GREEN BAY AV
133300113;11/26/2013;06:31 PM;7.0;ROBBERY;;;;;4170 N 35TH ST
133490066;11/26/2013;04:42 PM;4.0;THEFT FROM BUILDING;;;;;5525 N TEUTONIA AV #7
133290003;11/25/2013;01:20 AM;4.0;MOTOR VEHICLE THEFT;;;;;5910 N SHERMAN BL
133290033;11/25/2013;08:11 AM;4.0;SIMPLE ASSAULT;;;;;5682-A N 43RD ST
133290038;11/25/2013;10:11 AM;7.0;MOTOR VEHICLE THEFT;;;;;2227 W LANCASTER AV
133290053;11/25/2013;10:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5397 N LONG ISLAND DR
133290054;11/25/2013;10:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5417 N LONG ISLAND DR
133290055;11/25/2013;10:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5418 N LONG ISLAND DR
133290056;11/25/2013;10:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5477 N LONG ISLAND DR
133290057;11/25/2013;10:36 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5486 N LONG ISLAND DR
