;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;140580017;02/27/2014;07:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10819851399404, -87.93455302553522];1915 W FAIRMOUNT AV
1;140580047;02/27/2014;12:14 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12566954675299, -87.96605510920074];5942 N SHERMAN BL
2;140570009;02/26/2014;01:32 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12749091938293, -87.96354470559831];6052 N 41ST ST
3;140550076;02/24/2014;01:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125576401192646, -87.96606616036891];5936 N SHERMAN BL
4;140540057;02/23/2014;11:41 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09769862601581, -87.94799986918751];4424 N 28TH ST
5;140510019;02/20/2014;07:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13680650678068, -87.96344344463039];4101 W KIEHNAU AV
6;140510026;02/20/2014;06:51 AM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.106947994171634, -87.95772436078269];4920 N 36TH ST
7;140500040;02/19/2014;06:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096875893704166, -87.9439183877602];4383 N 25TH ST
8;140500050;02/19/2014;10:19 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10353783236195, -87.95034440406286];4750 N 30TH ST
9;140500118;02/19/2014;07:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11666799417162, -87.9623053607827];5448 N 40TH ST
10;140490075;02/18/2014;04:09 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
11;140480046;02/17/2014;11:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12466916180969, -87.96460239353127];5882 N 42ND ST
12;140430008;02/12/2014;03:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
13;140430016;02/12/2014;08:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127233970385205, -87.9648552567378];6033 N 42ND ST
14;140430027;02/12/2014;11:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109031135641075, -87.93868047080235];2105 W COLFAX PL
15;140400037;02/09/2014;11:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1463561448728, -87.95734753499895];7069 N 37TH ST
16;140400060;02/09/2014;04:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1164710313636, -87.95998963200395];5437 N 38TH ST
17;140380019;02/07/2014;07:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12729088283925, -87.96473955613764];6040 N 42ND ST
18;140380025;02/07/2014;08:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127024456018916, -87.96356958254455];6027 N 41ST ST
19;140380095;02/07/2014;04:57 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1332295115412, -87.9685517514571];4554 W WOOLWORTH AV
20;140390002;02/07/2014;10:16 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111926511541185, -87.95722008090483];3520 W VILLARD AV
21;140370017;02/06/2014;08:20 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1297469986404, -87.96442807486791];4209 W KAUL AV
22;140370028;02/06/2014;10:19 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129776576510814, -87.9652646350884];4247 W DOUGLAS AV
23;140370029;02/06/2014;10:35 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1090587994798, -87.93909753846];5008 N 22ND ST
24;140370051;02/06/2014;02:11 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1100365029142, -87.9726396503258];5079 N 48TH ST
25;140360099;02/05/2014;04:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1063687649441, -87.96894954764988];4900 N 45TH ST
26;140360101;02/05/2014;04:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11098310314063, -87.93915554077827];5141 N 22ND ST
27;140350108;02/04/2014;04:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09642699362335, -87.9267504257316];4380 N GREEN BAY AV
28;140360010;02/04/2014;10:57 PM;7.0;MOTOR VEHICLE THEFT;THEFT FROM BUILDING;;;;[43.10773213627445, -87.93519286078269];4956 N 19TH PL
29;140340050;02/03/2014;11:36 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.133074798812636, -87.97152156735375];4725 W WOOLWORTH AV
30;140320093;02/01/2014;06:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097533719551144, -87.94683087529694];4409 N 27TH ST
31;140570118;02/26/2014;09:52 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0680619633614, -87.97713637883085];5060 W CENTER ST
32;140560019;02/25/2014;08:20 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.087464313636055, -88.00053810946983];7084 W BECKETT AV
33;140560045;02/25/2014;12:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06775467055226, -87.99088957703836];2675 N 63RD ST
34;140550021;02/24/2014;06:42 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05893383236193, -87.97756812479058];2183 N 51ST ST
35;140550022;02/24/2014;06:42 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05893383236193, -87.97756812479058];2183 N 51ST ST
36;140530008;02/22/2014;01:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08237260298122, -87.99626772275596];6730 W KEEFE AVENUE PK
37;140500052;02/19/2014;09:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.088336999999996, -88.00477813200395];3907 N 74TH ST
38;140420072;02/11/2014;06:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06801049321934, -87.977673];5100 W CENTER ST
39;140400006;02/09/2014;12:28 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08505258673321, -87.98961912479058];3725 N 62ND ST
40;140390061;02/08/2014;01:27 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.086316642506866, -87.99968674121396];7031 W BECKETT AV
41;140360130;02/05/2014;07:55 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07359222582787, -87.98529838382218];5810 W CHAMBERS ST
42;140350029;02/04/2014;07:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08099132361937, -87.98331157703836];3409 N 56TH ST #LWR
