Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
141810020;06/30/2014;03:24 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4030 N TEUTONIA AV
141810042;06/30/2014;07:50 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4801 W LUSCHER AV
141810048;06/30/2014;09:31 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5158 N TEUTONIA AV
141810058;06/30/2014;10:24 AM;5.0;ALL OTHER LARCENY;;;;;4401 N 28TH ST
141810059;06/30/2014;10:25 AM;7.0;MOTOR VEHICLE THEFT;;;;;5110 N 41ST ST
141810067;06/30/2014;10:38 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7119 N 39TH ST
141810078;06/30/2014;12:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;2820 W VILLARD AV
141810097;06/30/2014;01:44 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5301 N HOPKINS ST
141810102;06/30/2014;12:35 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4951 N 40TH ST
141810103;06/30/2014;02:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;5411 N 35TH ST
141810150;06/30/2014;06:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;5744 N 39TH ST
141810188;06/30/2014;10:36 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5853 N 38TH ST
141800019;06/29/2014;12:48 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3703 W JUNIPER CT
141800021;06/29/2014;01:39 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4200 W GOOD HOPE RD
141800031;06/29/2014;02:27 AM;4.0;SIMPLE ASSAULT;;;;;5266 N 29TH ST
141800062;06/29/2014;09:30 AM;7.0;SIMPLE ASSAULT;;;;;4000 W HAMPTON AV
141800076;06/29/2014;10:18 AM;7.0;SIMPLE ASSAULT;;;;;5010 N 26TH ST
141800103;06/29/2014;08:29 AM;7.0;SIMPLE ASSAULT;;;;;4655-A N PARKWAY AV
141800108;06/29/2014;12:28 PM;4.0;SIMPLE ASSAULT;;;;;5924 N SHERMAN BL
141800148;06/29/2014;08:40 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5236 N 38TH ST
141800149;06/29/2014;08:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5075 N SHERMAN BL
141800153;06/29/2014;09:19 PM;5.0;AGGRAVATED ASSAULT;;;;;4751 N 29TH ST
141810026;06/29/2014;07:19 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5016 N HOPKINS ST
141790043;06/28/2014;06:55 AM;4.0;MOTOR VEHICLE THEFT;;;;;3500 W ROHR AV
141790047;06/28/2014;08:28 AM;7.0;MOTOR VEHICLE THEFT;;;;;4920 N 36TH ST
141790051;06/28/2014;09:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2600 W VILLARD AV
141790055;06/28/2014;08:52 AM;5.0;SIMPLE ASSAULT;;;;;4627 N 27TH ST #6
141790060;06/28/2014;10:42 AM;7.0;MOTOR VEHICLE THEFT;;;;;4827 N 46TH ST
141790081;06/28/2014;09:17 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6028 N 37TH ST
141790097;06/28/2014;03:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;3328 W VILLARD AV
141790101;06/28/2014;02:56 PM;5.0;AGGRAVATED ASSAULT;;;;;2643 W ATKINSON AV
141790134;06/28/2014;06:06 PM;4.0;THEFT FROM BUILDING;;;;;5467 N 35TH ST
141790172;06/28/2014;09:54 PM;5.0;AGGRAVATED ASSAULT;;;;;4567 N 30TH ST
141790181;06/28/2014;10:35 PM;7.0;ROBBERY;;;;;4946 N 53RD ST
141780017;06/27/2014;01:18 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4030 N TEUTONIA AV
141780034;06/27/2014;03:30 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4195 N 13TH ST
141780039;06/27/2014;03:22 AM;5.0;MOTOR VEHICLE THEFT;;;;;4661 N 29TH ST
141780065;06/27/2014;09:25 AM;7.0;MOTOR VEHICLE THEFT;;;;;5044 N 32ND ST
141780069;06/27/2014;09:57 AM;4.0;THEFT FROM BUILDING;;;;;6839 N DARIEN ST
141780091;06/27/2014;01:16 PM;7.0;THEFT FROM BUILDING;;;;;4913 N 42ND ST
141780106;06/27/2014;02:14 PM;7.0;ARSON;;;;;3210 W CAMERON AV
141780135;06/27/2014;05:05 PM;5.0;SIMPLE ASSAULT;;;;;4711 N 30TH ST
141780150;06/27/2014;09:00 PM;4.0;AGGRAVATED ASSAULT;;;;;3916 W SHERIDAN AV
141780151;06/27/2014;06:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;4055 N TEUTONIA AV
141780166;06/27/2014;07:05 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4129 W FAIRMOUNT AV
141780166;06/27/2014;07:05 PM;7.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;4129 W FAIRMOUNT AV
141780166;06/27/2014;07:05 PM;7.0;ROBBERY;;;;;4129 W FAIRMOUNT AV
141780189;06/27/2014;10:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3926 W GOOD HOPE RD
141770022;06/26/2014;02:04 AM;4.0;SIMPLE ASSAULT;;;;;5237 N 35TH ST #3
141770034;06/26/2014;06:42 AM;7.0;MOTOR VEHICLE THEFT;;;;;5016 N 39TH ST
141770037;06/26/2014;06:42 AM;7.0;MOTOR VEHICLE THEFT;;;;;5008 N 39TH ST
141770087;06/26/2014;11:08 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4221 N 19TH ST
141770095;06/26/2014;03:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;4765 N 32ND ST
141770107;06/26/2014;04:23 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5233 N 37TH ST
141770110;06/26/2014;03:03 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3922 W HEMLOCK ST
141770138;06/26/2014;07:14 PM;7.0;ARSON;;;;;4820 N 37TH ST
141780004;06/26/2014;11:58 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5611 N 40TH ST #7
141780004;06/26/2014;11:58 PM;4.0;SIMPLE ASSAULT;;;;;5611 N 40TH ST #7
141780014;06/26/2014;10:22 PM;5.0;AGGRAVATED ASSAULT;;;;;4356 N 26TH ST
