;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;150590054;02/28/2015;01:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.10444691852525, -87.93142543252354];1700 W HAMPTON AV
1;150590082;02/28/2015;02:44 PM;7.0;THEFT FROM BUILDING;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
2;150580111;02/27/2015;09:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11528303136362, -87.95880957372015];5363 N 37TH ST
3;150570062;02/26/2015;03:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.122446077990645, -87.9597763607827];5744 N 38TH ST
4;150560057;02/25/2015;11:27 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11110810595232, -87.94993538434841];5171 N TEUTONIA AV
5;150560126;02/25/2015;04:13 PM;4.0;THEFT FROM BUILDING;;;[43.11380904302038, -87.95008409002278];5304 N TEUTONIA AV #2
6;150520029;02/21/2015;08:03 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.125981830692666, -87.96602422470077];5962 N SHERMAN BL
7;150520108;02/21/2015;08:16 PM;4.0;THEFT FROM BUILDING;;;[43.142660252449964, -87.95668700429653];6862 N DARIEN ST
8;150510034;02/20/2015;08:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10573441909517, -87.9565701503258];4857 N MOTHER DANIELS WA
9;150510113;02/20/2015;06:59 PM;4.0;THEFT FROM BUILDING;;;[43.111936464365876, -87.96539135789716];4208 W VILLARD AV
10;150510127;02/20/2015;09:14 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
11;150500085;02/19/2015;02:33 PM;7.0;THEFT FROM BUILDING;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
12;150490046;02/18/2015;12:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.104348546742614, -87.93952127699232];2201 W HAMPTON AV
13;150480054;02/17/2015;09:49 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.08984947543096, -87.94211858048742];2402 W CAPITOL DR
