Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
161210073;04/30/2016;01:22 PM;5.0;ALL OTHER LARCENY;;;;;2614 W PORT SUNLIGHT WA
161210075;04/30/2016;03:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;4900 N 32ND ST
161210137;04/30/2016;11:41 PM;5.0;AGGRAVATED ASSAULT;;;;;1600 W CAPITOL DR
161200001;04/29/2016;12:31 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5017 N 38TH ST
161200023;04/29/2016;02:47 AM;4.0;TRESPASSING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5230 N SHERMAN BL #6
161200037;04/29/2016;07:43 AM;5.0;KIDNAPING;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;4445 N 30TH ST
161200055;04/29/2016;09:03 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4706 N 18TH ST
161200072;04/29/2016;11:00 AM;5.0;SIMPLE ASSAULT;;;;;4267 N TEUTONIA AV
161200079;04/29/2016;12:18 PM;7.0;AGGRAVATED ASSAULT;;;;;4950 N 24TH ST
161200100;04/29/2016;03:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;2200 W CAPITOL DR
161200109;04/29/2016;04:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4750 N 24TH PL
161190052;04/28/2016;11:44 AM;4.0;SIMPLE ASSAULT;;;;;5958 N 37TH ST
161190076;04/28/2016;11:14 AM;4.0;SHOPLIFTING;;;;;7171 N TEUTONIA AV
161190091;04/28/2016;04:32 PM;7.0;ALL OTHER LARCENY;;;;;4819 W LUSCHER AV
161190096;04/28/2016;03:05 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4700 W GREEN TREE RD
161190144;04/28/2016;10:30 PM;4.0;ROBBERY;;;;;5100 W MILL RD
161200004;04/28/2016;08:37 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6030 N 36TH ST
161180020;04/27/2016;04:11 AM;7.0;MOTOR VEHICLE THEFT;;;;;5025 N 28TH ST
161180152;04/27/2016;09:17 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4109 N GREEN BAY AV
161180157;04/27/2016;09:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;4524 N 28TH ST
161180165;04/27/2016;10:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;4113 N 20TH ST
161170019;04/26/2016;01:16 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5150 N 40TH ST
161170023;04/26/2016;04:13 AM;5.0;SIMPLE ASSAULT;;;;;4364 N 30TH ST
161170050;04/26/2016;07:45 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5762 N TEUTONIA AV
