Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
162440009;08/31/2016;01:41 AM;5.0;ROBBERY;;;;;4309 N 16TH ST
162440018;08/31/2016;07:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;5219 W STARK ST
162440030;08/31/2016;08:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;4368 N 28TH ST
162440054;08/31/2016;11:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;4838 N 51ST BL
162440077;08/31/2016;02:24 PM;4.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5832 N 41ST ST
162440084;08/31/2016;03:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5906 N 42ND ST
162440085;08/31/2016;03:03 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3722 W JUNIPER CT
162440097;08/31/2016;01:27 PM;4.0;THEFT FROM BUILDING;;;;;7475 N 39TH ST
162440099;08/31/2016;05:17 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;3040 W CAPITOL DR
162440104;08/31/2016;05:24 PM;5.0;MOTOR VEHICLE THEFT;;;;;4567 N 26TH ST
162440107;08/31/2016;12:48 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5407 N 38TH ST
162430017;08/30/2016;02:46 AM;5.0;AGGRAVATED ASSAULT;;;;;4140 N 16TH ST
162430025;08/30/2016;05:04 AM;4.0;SIMPLE ASSAULT;;;;;5525 N TEUTONIA AV #7
162430031;08/30/2016;07:09 AM;7.0;AGGRAVATED ASSAULT;;;;;5053 N 31ST ST
162430043;08/30/2016;08:03 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7005 N TEUTONIA AV #4
162430112;08/30/2016;04:29 PM;5.0;SIMPLE ASSAULT;;;;;2022 W ATKINSON AV
162430116;08/30/2016;09:40 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5506 N 37TH ST
162430155;08/30/2016;07:44 PM;5.0;SIMPLE ASSAULT;;;;;4172 N 19TH PL #4
162430159;08/30/2016;08:53 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4882 N 20TH ST
162430160;08/30/2016;09:01 PM;5.0;ROBBERY;;;;;4071 N 26TH ST
162430170;08/30/2016;08:45 PM;7.0;SIMPLE ASSAULT;;;;;4851 N 27TH ST
162420028;08/29/2016;02:20 AM;5.0;ROBBERY;;;;;4441 N 29TH ST
162420033;08/29/2016;03:05 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6930 N TEUTONIA AV
162420040;08/29/2016;06:24 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4350 N 35TH ST
162420043;08/29/2016;06:10 AM;5.0;ROBBERY;;;;;4245 N TEUTONIA AV
162420048;08/29/2016;07:27 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3101 W CUSTER AV
162420062;08/29/2016;08:43 AM;5.0;MOTOR VEHICLE THEFT;;;;;4047 N 13TH ST #UPR
162420071;08/29/2016;11:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;4600 N 28TH ST
162420073;08/29/2016;10:02 AM;5.0;ALL OTHER LARCENY;;;;;4220 N TEUTONIA AV
162420076;08/29/2016;11:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;5708 N 38TH ST
162420081;08/29/2016;07:38 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4030 N TEUTONIA AV
162420084;08/29/2016;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3500 W HAMPTON AV
162420089;08/29/2016;12:00 PM;7.0;THEFT FROM BUILDING;;;;;4915 N 52ND ST
162420097;08/29/2016;01:26 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;7140 N 41ST ST
162420099;08/29/2016;01:34 PM;5.0;PURSE SNATCHING;;;;;2222 W CAPITOL DR
162420133;08/29/2016;02:26 PM;7.0;SIMPLE ASSAULT;;;;;5073 N 51ST BL
162420140;08/29/2016;06:33 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2330 W ROOSEVELT DR #118
162420157;08/29/2016;10:38 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4829 N 45TH ST
162410017;08/28/2016;01:02 AM;4.0;AGGRAVATED ASSAULT;;;;;3403 W SILVER SPRING DR
162410046;08/28/2016;08:24 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5008 W FAIRMOUNT AV
162410047;08/28/2016;08:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;4820 N 37TH ST
162410062;08/28/2016;10:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;2020 W PURDUE ST
162410092;08/28/2016;12:40 PM;5.0;THEFT FROM BUILDING;;;;;2012 W CAPITOL DR
162410104;08/28/2016;09:30 AM;4.0;AGGRAVATED ASSAULT;;;;;6449 N 42ND ST
162400020;08/27/2016;03:28 AM;4.0;AGGRAVATED ASSAULT;;;;;3131 W THURSTON AV
162400029;08/27/2016;05:29 AM;7.0;AGGRAVATED ASSAULT;;;;;4940 N 22ND ST
162400055;08/27/2016;11:42 AM;4.0;AGGRAVATED ASSAULT;;;;;4000 W VILLARD AV
162400064;08/27/2016;10:04 AM;5.0;PURSE SNATCHING;;;;;4100 N 27TH ST
162400108;08/27/2016;05:49 PM;7.0;AGGRAVATED ASSAULT;;;;;5103 N 19TH ST
162400109;08/27/2016;06:16 PM;4.0;ROBBERY;;;;;3525 W SILVER SPRING DR
162400119;08/27/2016;05:49 PM;7.0;INTIMIDATION;;;;;1911 W VILLARD AV
162400129;08/27/2016;09:26 PM;4.0;ROBBERY;;;;;2908 W VILLARD AV
162390015;08/26/2016;01:18 AM;5.0;ROBBERY;;;;;4360 N 14TH ST
162390042;08/26/2016;07:24 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4070 N 14TH ST
162390060;08/26/2016;10:28 AM;7.0;AGGRAVATED ASSAULT;;;;;4965 N HOPKINS ST #12
162390063;08/26/2016;11:13 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4693 N PARKWAY AV
162390071;08/26/2016;09:35 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5236 N 38TH ST
