INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310032,01/31/2015,09:10 AM,7,MOTOR VEHICLE THEFT,,,,,5122 N 21ST ST
150310055,01/31/2015,10:23 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,4665 N 28TH ST
150310059,01/31/2015,12:37 PM,7,MOTOR VEHICLE THEFT,,,,,5067 N 41ST ST
150310079,01/31/2015,04:01 PM,4,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,3924-7 W GOOD HOPE RD
150310103,01/31/2015,06:22 PM,4,SIMPLE ASSAULT,,,,,5633 N 27TH ST
150310132,01/31/2015,06:51 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,4315 N 17TH ST
150320003,01/31/2015,11:19 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,3427 W VILLARD AV
150300025,01/30/2015,03:40 AM,4,AGGRAVATED ASSAULT,,,,,6024 N 35TH ST #101
150300044,01/30/2015,09:01 AM,7,MOTOR VEHICLE THEFT,,,,,4835 N 24TH PL
150300068,01/30/2015,07:57 AM,7,ROBBERY,,,,,3900 W HAMPTON AV
150300082,01/30/2015,02:56 PM,7,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,5025 N 20TH ST
150300111,01/30/2015,07:33 PM,7,MOTOR VEHICLE THEFT,,,,,5003 N TEUTONIA AV
150300112,01/30/2015,02:29 PM,5,ALL OTHER LARCENY,,,,,2404 W HOPE AV
150310007,01/30/2015,11:42 PM,7,MOTOR VEHICLE THEFT,,,,,4803 N GREEN BAY AV
150290063,01/29/2015,11:00 AM,5,KIDNAPING,ROBBERY,,,,2409 W HOPE AV
150290077,01/29/2015,01:03 PM,7,MOTOR VEHICLE THEFT,,,,,5101 N 41ST ST
150290079,01/29/2015,01:09 PM,7,MOTOR VEHICLE THEFT,,,,,4801 N TEUTONIA AV
150290085,01/29/2015,02:06 PM,7,THEFT FROM MOTOR VEHICLE,,,,,4857 N 19TH ST
150290159,01/29/2015,10:41 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6163 N 37TH ST
150290161,01/29/2015,10:08 PM,7,AGGRAVATED ASSAULT,,,,,4714 N 18TH ST
150290161,01/29/2015,10:08 PM,7,ARSON,,,,,4714 N 18TH ST
150280021,01/28/2015,05:23 AM,4,SIMPLE ASSAULT,,,,,6092 N 36TH ST
150280037,01/28/2015,09:50 AM,4,MOTOR VEHICLE THEFT,,,,,5966 N 35TH ST
150280071,01/28/2015,09:10 AM,7,ALL OTHER LARCENY,,,,,5075 N SHERMAN BL
150280083,01/28/2015,03:20 PM,7,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,4857 N 19TH PL
150280087,01/28/2015,05:00 PM,4,FORCIBLE SODOMY,,,,,
150280090,01/28/2015,06:36 PM,7,MOTOR VEHICLE THEFT,,,,,4685 N 19TH PL
150280094,01/28/2015,06:53 PM,4,MOTOR VEHICLE THEFT,,,,,5541 N TEUTONIA AV #3
150280123,01/28/2015,06:42 PM,5,SIMPLE ASSAULT,,,,,2605 W VICTORY LA #4
150280136,01/28/2015,07:51 PM,5,MOTOR VEHICLE THEFT,,,,,2316 W RUBY AV
150270042,01/27/2015,08:34 AM,7,AGGRAVATED ASSAULT,,,,,2211 W VILLARD AV
150270056,01/27/2015,10:45 AM,7,AGGRAVATED ASSAULT,,,,,4230 W LANCASTER AV
150270090,01/27/2015,02:18 PM,5,PURSE SNATCHING,,,,,4142 N 20TH ST
150270104,01/27/2015,11:54 AM,7,MOTOR VEHICLE THEFT,,,,,4828 N 53RD ST
150270139,01/27/2015,06:50 PM,4,AGGRAVATED ASSAULT,,,,,6010 N 35TH ST #203
150270156,01/27/2015,10:11 PM,7,THEFT FROM MOTOR VEHICLE,,,,,3126 W FAIRMOUNT AV
150260029,01/26/2015,08:53 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5479 N 36TH ST
150260064,01/26/2015,12:19 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,4071 N 11TH ST
150260089,01/26/2015,10:58 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,6883 N 41ST ST
150260091,01/26/2015,11:43 AM,5,AGGRAVATED ASSAULT,,,,,4578 N 29TH ST
150260092,01/26/2015,05:05 PM,4,AGGRAVATED ASSAULT,,,,,3500 W VILLARD AV
150260098,01/26/2015,03:41 PM,4,MOTOR VEHICLE THEFT,,,,,5335 N TEUTONIA AV
150260133,01/26/2015,08:47 PM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4073 N 23RD ST
150260142,01/26/2015,08:54 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3025-4 W ORIOLE DR
150260148,01/26/2015,08:48 PM,7,INTIMIDATION,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,2107 W HAMPTON AV #1
150250026,01/25/2015,05:08 AM,4,MOTOR VEHICLE THEFT,,,,,5233 N TEUTONIA AV
150250046,01/25/2015,09:55 AM,4,SIMPLE ASSAULT,,,,,5611 N 40TH ST #7
150250053,01/25/2015,11:22 AM,7,MOTOR VEHICLE THEFT,,,,,5144 N 19TH ST
150250055,01/25/2015,11:02 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,6090 N 40TH ST
150250063,01/25/2015,12:37 PM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4802 N 21ST ST
150250067,01/25/2015,01:01 PM,5,SIMPLE ASSAULT,,,,,3000 W CAPITOL DR #202
150250072,01/25/2015,02:06 PM,4,MOTOR VEHICLE THEFT,,,,,5385 N GREEN BAY AV
150250073,01/25/2015,01:13 PM,7,MOTOR VEHICLE THEFT,,,,,4858 N MOTHER DANIELS WA
150250088,01/25/2015,02:01 PM,4,INTIMIDATION,,,,,3824 W FLORIST AV
150240010,01/24/2015,12:20 AM,5,AGGRAVATED ASSAULT,,,,,2910 W CAPITOL DR
150240010,01/24/2015,12:20 AM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2910 W CAPITOL DR
150240013,01/24/2015,01:50 AM,7,MOTOR VEHICLE THEFT,,,,,4811 N TEUTONIA AV
150240023,01/24/2015,02:42 AM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4574 N TEUTONIA AV
150240028,01/24/2015,01:54 AM,5,AGGRAVATED ASSAULT,,,,,4516 N 22ND ST
150240039,01/24/2015,04:36 AM,5,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,2517 W GLENDALE AV
