"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0054001004,73,8,0,0,0,0,0,81
0054001006,58,0,0,0,0,0,0,58
0054002005,52,1,0,0,0,0,1,54
0054002006,1,0,0,0,0,0,0,1
0054003008,36,0,0,0,0,0,1,37
0054004003,59,4,0,0,0,2,1,66
0054002000,86,4,0,1,0,0,2,93
0054003006,70,0,0,0,0,5,10,85
0054004004,77,7,0,0,0,0,0,84
0054004006,55,0,0,0,2,0,0,57
0054001001,76,24,1,8,0,2,2,113
0054001002,492,78,4,10,0,9,6,599
0054002001,70,2,1,2,0,2,0,77
0054003004,84,0,0,3,0,0,0,87
0054004000,76,1,1,4,0,0,0,82
0054004005,58,2,1,1,0,0,0,62
0054001005,113,18,0,15,0,4,0,150
0054002003,76,0,0,6,0,2,3,87
0054002004,67,0,1,0,0,4,0,72
0054003010,8,0,0,0,0,0,0,8
0054004007,69,0,0,0,0,0,0,69
0054003005,71,0,0,0,0,0,0,71
0054003007,46,0,0,0,0,0,0,46
0054003014,62,0,0,0,0,0,0,62
0054003015,61,0,0,4,0,0,0,65
0054003016,53,5,0,0,0,0,0,58
0054004001,86,3,0,1,0,0,3,93
0054002002,51,1,0,1,0,5,0,58
0054004002,9,0,0,0,0,0,0,9
0054004009,66,0,0,0,0,0,0,66
0054004010,57,1,0,0,0,1,3,62
0054004011,66,0,0,1,0,1,0,68
0054001003,80,1,0,0,0,2,0,83
0054002007,35,1,1,0,0,2,0,39
0054002008,54,7,0,0,0,0,2,63
0054003003,0,0,0,0,0,0,0,0
0054003009,81,0,0,0,0,1,0,82
0054003013,15,0,0,0,0,0,0,15
0054003017,42,0,1,0,0,0,0,43
0054003018,34,1,0,0,0,1,0,36
0054004008,60,3,0,0,0,1,3,67
0054001000,11,12,0,0,0,0,0,23
0054003000,68,0,0,0,0,4,0,72
0054003002,56,3,1,0,0,0,0,60
,,,,,,,,
"Total Records: 45",,,,,,,,
"Census Tract: 5400",,,,,,,,
