;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;52130014;07/31/2005;11:45 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11630435968616, -87.93843471123535];5451 N LONG ISLAND DR
1;52110053;07/30/2005;08:08 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09213488481737, -87.94687239353127];4120 N 27TH ST #8
2;52110080;07/30/2005;10:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10923219710429, -87.93909244810939];5016 N 22ND ST
3;52100052;07/29/2005;08:32 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11194751875457, -87.96058102553522];3812 W VILLARD AV
4;52100118;07/29/2005;01:31 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0913690244387, -87.92439418318996];1030 W FIEBRANTZ AV
5;52090098;07/28/2005;11:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10473049321934, -87.9741315];4900 W HAMPTON AV
6;52080065;07/27/2005;08:28 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12779692481142, -87.9635773857897];6070 N 41ST ST
7;52080082;07/27/2005;09:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101018670552264, -87.94915962479058];4603 N 29TH ST
8;52080156;07/27/2005;02:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115986005828375, -87.96355062479059];5415 N 41ST ST
9;52080195;07/27/2005;05:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110404497085824, -87.96139636078269];5122 N 39TH ST
10;52080240;07/27/2005;07:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095658222315194, -87.94213373581829];4305 N TEUTONIA AV
11;52070185;07/26/2005;05:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091198779906506, -87.94349862479058];4065 N 24TH PL
12;52070237;07/26/2005;08:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09161417346644, -87.92703057372015];4113 N 13TH ST
13;52060073;07/25/2005;08:54 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096863844054575, -87.92810742571463];4411 N 14TH ST
14;52060136;07/25/2005;12:22 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14350668493289, -87.95788962292308];6930 N DARIEN ST #1
15;52060204;07/25/2005;04:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090128601027295, -87.9447210907232];4019 N 25TH ST
16;52060230;07/25/2005;05:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.127070561801666, -87.96345997257045];6026 N 41ST ST
17;52060239;07/25/2005;06:10 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
18;52050190;07/24/2005;05:44 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10473049321934, -87.97283197446477];4800 W HAMPTON AV
19;52040119;07/23/2005;01:31 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10737899462749, -87.95169975639963];3102 W CAMERON AV
20;52040174;07/23/2005;07:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
21;52030051;07/22/2005;06:42 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11555948009162, -87.96350295614292];4033 W CUSTER AV
22;52030062;07/22/2005;08:07 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14230447013694, -87.96196227407813];4035 W CHEYENNE ST
23;52030064;07/22/2005;08:13 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11661503136361, -87.96352812479059];5445 N 41ST ST
24;52030075;07/22/2005;08:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110251623088494, -87.96260556719926];5115 N HOPKINS ST
25;52030141;07/22/2005;01:31 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10089717124747, -87.95051382236235];3000 W GLENDALE AV
26;52020068;07/21/2005;11:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA AV
27;52020152;07/21/2005;06:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10053834915459, -87.94562711376899];4574 N 26TH ST
28;52020153;07/21/2005;06:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09798541909515, -87.93827165753918];4445 N 21ST ST
29;52010074;07/20/2005;09:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.103429025535235, -87.93297965753918];4741 N 18TH ST
30;52010111;07/20/2005;01:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1287549103526, -87.9584263607827];6098 N 37TH ST
31;52000071;07/19/2005;08:25 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09344832944774, -87.94338340074464];4232 N 24TH PL
32;52000085;07/19/2005;10:56 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15402800000001, -87.96497236799604];7484 N 43RD ST
33;52000086;07/19/2005;10:54 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11721803136362, -87.96351912479058];5475 N 41ST ST
34;52000176;07/19/2005;05:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13385948456368, -87.97340152553522];4811 W MILL RD
35;52000186;07/19/2005;05:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.120647303912534, -87.95981333524746];5662 N 38TH ST
36;52000212;07/19/2005;07:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12466679364346, -87.95143848646599];5900 N TEUTONIA AV
37;51990003;07/18/2005;12:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
38;51980081;07/17/2005;10:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.147657173466456, -87.9656296031505];7141 N 43RD ST
39;51980088;07/17/2005;11:22 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12183583819032, -87.96106963200396];5715 N 39TH ST
40;51980134;07/17/2005;02:53 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.143614924678154, -87.95545754074516];6923 N TEUTONIA AV #4
41;51980143;07/17/2005;03:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.121213779906526, -87.96226909925535];5693 N 40TH ST
42;51980191;07/17/2005;08:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
43;51980192;07/17/2005;08:03 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.106478841317724, -87.95785168613358];3600 W STARK ST
44;51960093;07/15/2005;10:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.144881972836004, -87.96547851718663];7002 N 43RD ST
45;51960183;07/15/2005;05:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10921677990652, -87.95284962479059];5045 N 32ND ST
46;51950142;07/14/2005;02:11 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09133467055227, -87.94089913921731];4073 N 23RD ST
47;51950228;07/14/2005;10:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09445703136362, -87.92694057372015];4231 N 13TH ST
48;51940004;07/13/2005;12:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10944292200935, -87.96020907372014];5053 N 38TH ST
49;51940053;07/13/2005;07:18 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11879300000001, -87.95502286799605];5564 N 34TH ST
50;51940110;07/13/2005;12:13 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1112591618097, -87.97873585688754];5148 N 53RD ST
51;51940139;07/13/2005;02:42 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15063427359945, -87.95748891751253];7319 N TEUTONIA AV
52;51930126;07/12/2005;01:08 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095077800998325, -87.93922440463977];4238 N 22ND ST
53;51930134;07/12/2005;01:37 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09176160032322, -87.9400132048587];4115 N TEUTONIA AV
54;51930144;07/12/2005;02:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113276136274465, -87.95634333856569];5268 N 35TH ST
55;51930145;07/12/2005;02:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113276136274465, -87.95634333856569];5268 N 35TH ST
56;51930157;07/12/2005;02:46 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.112744245628704, -87.95999236078269];5236 N 38TH ST
57;51930237;07/12/2005;09:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09372201733751, -87.94681619117013];4238 N 27TH ST #REAR
58;51920156;07/11/2005;02:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.123958077990665, -87.95973586078269];5846 N 38TH ST
59;51920163;07/11/2005;03:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10472352596791, -87.96977983236194];4522 W HAMPTON AV
60;51920174;07/11/2005;04:13 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113489956979635, -87.95013991719057];5275 N TEUTONIA AV
