Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
060900026;03/31/2006;05:59 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2200 W CORNELL ST
060900040;03/31/2006;08:32 AM;7.0;ALL OTHER LARCENY;;;4871 N 21ST ST
060900041;03/31/2006;09:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5250 N 35TH ST
060900047;03/31/2006;10:11 AM;7.0;ALL OTHER LARCENY;;;2732 W ATKINSON AV
060900096;03/31/2006;01:52 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5421 N 40TH ST
060900119;03/31/2006;07:37 PM;4.0;AGGRAVATED ASSAULT;;;7027 N 43RD ST
060900129;03/31/2006;06:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4846 N 19TH ST #A
060900137;03/31/2006;06:50 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6928 N 37TH ST #2
060900142;03/31/2006;08:16 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5360 N 38TH ST
060890091;03/30/2006;10:35 AM;7.0;ALL OTHER LARCENY;;;5170 N SHERMAN BL
060890094;03/30/2006;01:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2503 W GLENDALE AV
060890119;03/30/2006;03:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4900 N 37TH ST
060890154;03/30/2006;06:00 PM;4.0;SIMPLE ASSAULT;;;2714 W VILLARD AV
060890185;03/30/2006;09:14 PM;7.0;MOTOR VEHICLE THEFT;;;5075 N SHERMAN BL
060880030;03/29/2006;07:40 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;4181 N GREEN BAY AV
060880063;03/29/2006;11:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;4730 N 31ST ST
060880064;03/29/2006;12:12 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3033 W EGGERT PL
060880065;03/29/2006;12:14 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5372 N 37TH ST
060880078;03/29/2006;12:54 PM;5.0;AGGRAVATED ASSAULT;;;4061 N 9 ST
060880079;03/29/2006;12:54 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4061 N 9TH ST
060880079;03/29/2006;12:54 PM;5.0;SIMPLE ASSAULT;;;4061 N 9TH ST
060880084;03/29/2006;01:46 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;1116 W CAPITOL DR
060880095;03/29/2006;02:15 PM;7.0;SIMPLE ASSAULT;;;2302 W LINWAL LA
060880102;03/29/2006;01:43 PM;4.0;MOTOR VEHICLE THEFT;;;5351 N 39TH ST
060880108;03/29/2006;03:55 PM;7.0;ALL OTHER LARCENY;;;2223 W CONGRESS ST
060880134;03/29/2006;05:28 PM;7.0;MOTOR VEHICLE THEFT;;;3500 W MOTHER DANIELS WA
060880137;03/29/2006;12:55 PM;4.0;AGGRAVATED ASSAULT;;;2400 W VILLARD AV
060880141;03/29/2006;03:59 PM;7.0;SIMPLE ASSAULT;;;3210 W CAMERON AV #1
060880145;03/29/2006;06:19 PM;7.0;ALL OTHER LARCENY;;;3600 W HAMPTON AV
060880185;03/29/2006;09:42 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4300 N TEUTONIA AV
060880196;03/29/2006;09:37 PM;7.0;ALL OTHER LARCENY;;;2222 W CAPITOL DR
060880199;03/29/2006;09:07 PM;5.0;ROBBERY;;;4108 N 13TH ST
060890010;03/29/2006;11:53 PM;3.0;MOTOR VEHICLE THEFT;;;2430 W ATKINSON ST
060890146;03/29/2006;05:22 PM;7.0;ALL OTHER LARCENY;;;4738 N 20TH ST
060870039;03/28/2006;09:00 AM;4.0;MOTOR VEHICLE THEFT;;;3510 W VILLARD AV
060870061;03/28/2006;10:12 AM;7.0;AGGRAVATED ASSAULT;;;2701 W ROOSEVELT DR
060870072;03/28/2006;12:10 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5411 N 37TH ST
060870097;03/28/2006;09:52 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4948 N 37TH ST
060870136;03/28/2006;02:04 PM;7.0;ALL OTHER LARCENY;;;2041 W ATKINSON AV
060870168;03/28/2006;05:09 PM;4.0;ALL OTHER LARCENY;;;6974 N 43RD ST #F
060870170;03/28/2006;06:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5654 N 36TH ST
060870183;03/28/2006;07:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4135 N 21ST ST
060870190;03/28/2006;05:10 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;5152 N SHERMAN BL
060880003;03/28/2006;10:17 PM;7.0;THEFT FROM BUILDING;;;4842 N 48TH ST
060880004;03/28/2006;10:51 PM;7.0;ROBBERY;;;3709 W VILLARD AV
060860015;03/27/2006;05:04 AM;5.0;MOTOR VEHICLE THEFT;;;4329 N 14TH ST
060860017;03/27/2006;03:12 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;3524 W VILLARD AV
060860036;03/27/2006;08:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;1931 W OLIVE ST
060860040;03/27/2006;08:13 AM;7.0;SIMPLE ASSAULT;;;2541 W VICTORY LA
060860041;03/27/2006;08:01 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;1955 W CORNELL ST
060860044;03/27/2006;10:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4522 N 30TH ST
060860051;03/27/2006;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;5064 N 32ND ST
060860052;03/27/2006;10:51 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;2208 W NEIL PL
060860227;03/27/2006;12:59 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4847 N 25TH ST
060860237;03/27/2006;12:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;3812 W VILLARD AV #5
060860250;03/27/2006;01:39 PM;7.0;ALL OTHER LARCENY;;;4200 N 27TH ST
060870002;03/27/2006;10:50 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4001 W VILLARD AV #4
060940003;03/27/2006;03:12 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;3520 W VILLARD AV
060850010;03/26/2006;12:56 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;2901 W ATKINSON AV
060850031;03/26/2006;07:05 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6116 N 39TH ST
060850032;03/26/2006;06:50 AM;7.0;AGGRAVATED ASSAULT;;;4942 N 50TH ST
060850039;03/26/2006;09:20 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6159 N 40TH ST
060850051;03/26/2006;11:22 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5995 N TEUTONIA AV
060850056;03/26/2006;11:45 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;4225 N 26TH ST
060850088;03/26/2006;04:39 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5813 N 38TH ST
060850097;03/26/2006;03:59 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4566 N 31ST ST
060850116;03/26/2006;06:28 PM;4.0;SIMPLE ASSAULT;;;5229 N 33RD ST
060850125;03/26/2006;07:48 PM;4.0;THEFT FROM MOTOR VEHICLE;;;5538 N 37TH ST
060850132;03/26/2006;08:20 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;4102 W FAIRMOUNT AV #4
060850158;03/26/2006;09:31 PM;7.0;SIMPLE ASSAULT;;;5026 N HOPKINS ST
060840011;03/25/2006;12:23 AM;7.0;AGGRAVATED ASSAULT;;;4118 W FAIRMOUNT AV
060840017;03/25/2006;03:05 AM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;5109 N 50TH ST
060840069;03/25/2006;08:38 AM;4.0;MOTOR VEHICLE THEFT;;;6047 N 42ND ST
060840078;03/25/2006;10:51 AM;7.0;THEFT FROM MOTOR VEHICLE;;;4801 N 52ND ST
060840091;03/25/2006;10:14 AM;4.0;MOTOR VEHICLE THEFT;;;5710 N 41ST ST
060840109;03/25/2006;12:49 PM;7.0;ALL OTHER LARCENY;;;4177 N 16TH ST #UPPER
060840111;03/25/2006;01:46 PM;5.0;THEFT FROM MOTOR VEHICLE;;;4077 N 15TH ST
060840113;03/25/2006;12:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;6411 N 49TH ST
060840123;03/25/2006;02:36 PM;7.0;MOTOR VEHICLE THEFT;;;3000 W CAMERON AV
060840131;03/25/2006;03:23 PM;4.0;ALL OTHER LARCENY;;;7009 N 43RD ST #7
060840153;03/25/2006;03:17 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;1432 W CAPITOL DR
060840159;03/25/2006;06:28 PM;4.0;SIMPLE ASSAULT;;;5834 N 34TH ST #4
060840160;03/25/2006;07:08 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5335 N 37TH ST
060840172;03/25/2006;08:42 PM;7.0;ALL OTHER LARCENY;;;2300 W CAPITOL DR
060830022;03/24/2006;05:20 AM;7.0;ROBBERY;;;4305 N TEUTONIA AV
060830057;03/24/2006;09:35 AM;7.0;ALL OTHER LARCENY;;;4885 N 19TH PL
060830070;03/24/2006;10:54 AM;4.0;THEFT FROM MOTOR VEHICLE;;;4730 W ROCHELLE AV
060830134;03/24/2006;04:36 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3450 W CAPITOL DR
060830158;03/24/2006;06:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5972 N 37TH ST
060820027;03/23/2006;06:17 AM;7.0;ALL OTHER LARCENY;;;5060 N 37TH ST
060820064;03/23/2006;10:55 AM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;5639 N 39TH ST
060820065;03/23/2006;08:21 AM;4.0;AGGRAVATED ASSAULT;;;5900 N SHERMAN BL #2
060820080;03/23/2006;12:46 PM;7.0;SIMPLE ASSAULT;;;3112 W GLENDALE AV #APT2
060820098;03/23/2006;02:14 PM;7.0;SIMPLE ASSAULT;;;4227 W STARK ST
060820135;03/23/2006;05:05 PM;7.0;THEFT FROM MOTOR VEHICLE;;;2344 W LINWAL LA
060830007;03/23/2006;11:19 PM;5.0;SIMPLE ASSAULT;;;4114 N 22ND ST
060830012;03/23/2006;10:44 PM;7.0;ARSON;;;4830 N 44TH ST
060830017;03/23/2006;11:29 PM;7.0;ROBBERY;;;4946 N 37TH ST
