;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;61510068;05/31/2006;08:14 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.093305136274466, -87.94684539353128];4218 N 27TH ST
1;61510082;05/31/2006;09:14 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.11282903743778, -87.9563348139964];5250 N 35TH ST
2;61510129;05/31/2006;01:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09267382653357, -87.93060541185314];4152 N 16TH ST
3;61510192;05/31/2006;06:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.129494859282154, -87.95598541459444];6152 N 35TH ST
4;61510222;05/31/2006;09:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.107532994171635, -87.94525635356932];4940 N 26TH ST
5;61510227;05/31/2006;09:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10732046047074, -87.95182033236193];3100 W CAMERON AV
6;61500131;05/30/2006;02:36 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.122293233845234, -87.94865560699604];5747 N 29TH ST
7;61500152;05/30/2006;03:35 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.12050330391253, -87.96102489353127];5656 N 39TH ST
8;61490082;05/29/2006;11:24 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.107210335276136, -87.97764109925535];4931 N 52ND ST
9;61490101;05/29/2006;01:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09083028282072, -87.9320276281088];4063 N 17TH ST
10;61490113;05/29/2006;02:19 PM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.089561511541206, -87.93098041326678];1602 W CAPITOL DR
11;61470058;05/27/2006;08:05 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.13927591035258, -87.97567434246082];6682 N 51ST ST
12;61470095;05/27/2006;11:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;[43.100226586733214, -87.95047916143432];4557 N 30TH ST
13;61470147;05/27/2006;05:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10321366472388, -87.95164635356933];4730 N 31ST ST
14;61470177;05/27/2006;09:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.104351303679, -87.94420882644931];2501 W HAMPTON AV
15;61460086;05/26/2006;10:25 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
16;61460093;05/26/2006;11:09 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10967700582839, -87.94277111757722];5061 N 24TH PL
17;61460105;05/26/2006;11:05 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.119094509812314, -87.94845271472553];2935 W SILVER SPRING DR
18;61450020;05/25/2006;02:47 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09469054954124, -87.93303541185313];4232 N 18TH ST
19;61440056;05/24/2006;08:10 AM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.122770453257374, -87.94880091618097];2906 W CARMEN AV
20;61440098;05/24/2006;11:36 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09110757507648, -87.92574638631791];4076 N 12TH ST
21;61440139;05/24/2006;01:39 PM;4.0;THEFT FROM MOTOR VEHICLE;;;[43.117630994171634, -87.95867288631791];5506 N 37TH ST
22;61430058;05/23/2006;08:55 AM;5.0;THEFT FROM MOTOR VEHICLE;;;[43.09020782653357, -87.92452238631792];4030 N 11TH ST
23;61430080;05/23/2006;10:47 AM;7.0;THEFT FROM MOTOR VEHICLE;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
