Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
070590020;02/28/2007;01:47 AM;7.0;TRESPASSING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4773 N 30TH ST
070590037;02/28/2007;09:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6129 N TEUTONIA AV
070590092;02/28/2007;02:25 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4228 W LUSCHER AV
070590099;02/28/2007;01:34 PM;4.0;MOTOR VEHICLE THEFT;;;;;5260 N 28TH ST
070590185;02/28/2007;10:44 PM;4.0;ROBBERY;;;;;4236 W FLORIST AV
070600004;02/28/2007;11:20 PM;7.0;ROBBERY;;;;;4064 N 35TH ST
070600006;02/28/2007;10:58 PM;7.0;ROBBERY;;;;;3900 W HAMPTON AV
070600063;02/28/2007;02:10 PM;7.0;AGGRAVATED ASSAULT;;;;;5075 N SHERMAN BL
070580017;02/27/2007;02:27 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4918 N 20TH ST
070580025;02/27/2007;05:23 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4889 N 21ST ST
070580027;02/27/2007;06:53 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5415 N 37TH ST
070580032;02/27/2007;07:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5541 N 38TH ST
070580070;02/27/2007;10:34 AM;7.0;SIMPLE ASSAULT;;;;;4522 W HAMPTON AV #206
070580077;02/27/2007;12:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4530 N 29TH ST
070580111;02/27/2007;02:05 PM;4.0;ALL OTHER LARCENY;;;;;5301 N HOPKINS ST
070580117;02/27/2007;03:00 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4505 N TEUTONIA AV
070580134;02/27/2007;05:17 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5478 N 42ND ST
070580153;02/27/2007;07:04 PM;7.0;AGGRAVATED ASSAULT;;;;;4282 N 27TH ST #3
070560121;02/26/2007;12:50 AM;7.0;ROBBERY;;;;;4126 N TEUTONIA AV
070570018;02/26/2007;08:24 AM;7.0;ALL OTHER LARCENY;;;;;3487 W HOPKINS ST
070570028;02/26/2007;09:35 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5301 N 37TH ST
070570056;02/26/2007;12:24 PM;5.0;MOTOR VEHICLE THEFT;;;;;4200 N GREEN BAY AV
070570072;02/26/2007;12:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;1910 W HOPE AVE
070570073;02/26/2007;12:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;1801 W OLIVE ST
070570075;02/26/2007;02:32 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;1733 W HAMPTON AV
070570132;02/26/2007;06:30 PM;7.0;SIMPLE ASSAULT;;;;;5104 N 20TH ST
070570143;02/26/2007;06:04 PM;4.0;AGGRAVATED ASSAULT;;;;;3111 W THURSTON AV
