Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
080910003;03/31/2008;12:53 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5048 N 33RD ST
080910016;03/31/2008;07:47 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4722 N 30TH ST
080910038;03/31/2008;10:24 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4149 N 23RD ST
080910072;03/31/2008;10:41 AM;4.0;ALL OTHER LARCENY;;;;;5686 N TEUTONIA AV
080910088;03/31/2008;02:32 PM;7.0;SIMPLE ASSAULT;;;;;4909 N 39TH ST #1
080910108;03/31/2008;04:33 PM;4.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5714 N 41ST ST
080910125;03/31/2008;03:15 PM;5.0;ALL OTHER LARCENY;;;;;4040 N GREEN BAY AV
080910139;03/31/2008;07:15 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3702 W HELENA ST
080910141;03/31/2008;06:09 PM;5.0;AGGRAVATED ASSAULT;;;;;4577 N 24TH PL
080910143;03/31/2008;07:31 PM;4.0;ALL OTHER LARCENY;;;;;5600 N TEUTONIA AV
080910179;03/31/2008;09:54 PM;4.0;SIMPLE ASSAULT;;;;;5549 N 35TH ST
080910180;03/31/2008;08:29 PM;7.0;AGGRAVATED ASSAULT;;;;;4845 N 36TH ST
080910181;03/31/2008;09:20 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4945 N 39TH ST #6
080920001;03/31/2008;08:22 PM;4.0;AGGRAVATED ASSAULT;DISORDERLY CONDUCT;;;;2322 W LAWN AV
080920097;03/31/2008;06:31 PM;5.0;ALL OTHER LARCENY;;;;;2000 W ATKINSON AV
080900014;03/30/2008;09:05 AM;5.0;AGGRAVATED ASSAULT;;;;;4564 N 26TH ST
080900032;03/30/2008;09:08 AM;5.0;AGGRAVATED ASSAULT;;;;;4553 N 26TH ST
