Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
093340023;11/30/2009;07:53 AM;7.0;ROBBERY;;;;;2414 W HAMPTON AV
093340029;11/30/2009;09:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;7409 N TEUTONIA AV
093340031;11/30/2009;10:09 AM;5.0;MOTOR VEHICLE THEFT;;;;;4042 N 18TH ST
093340053;11/30/2009;12:13 PM;7.0;ALL OTHER LARCENY;;;;;3500 W MOTHER DANIELS WA
093340063;11/30/2009;12:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5174 N HOPKINS ST
093340069;11/30/2009;01:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3624 W HAMPTON AV
093340083;11/30/2009;02:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4915 N TEUTONIA AV
093340084;11/30/2009;02:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4915 N TEUTONIA AV
093340088;11/30/2009;02:59 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4760 N 30TH ST
093340105;11/30/2009;03:18 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5525 N 12TH ST
093340133;11/30/2009;01:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3001 W SILVER SPRING DR #207
093340135;11/30/2009;06:11 PM;4.0;AGGRAVATED ASSAULT;;;;;5631 N 38TH ST
093340144;11/30/2009;07:22 PM;7.0;MOTOR VEHICLE THEFT;;;;;5101 W VILLARD AV
093340153;11/30/2009;07:12 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5904 N 37TH ST
093350002;11/30/2009;11:06 PM;4.0;AGGRAVATED ASSAULT;;;;;5867 N TEUTONIA AV #5
093330008;11/29/2009;01:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;7175 N 42ND ST
093330014;11/29/2009;02:53 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5200 N 31ST ST
093330017;11/29/2009;02:20 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5007 N 24TH PL
093330022;11/29/2009;02:26 AM;7.0;ROBBERY;;;;;4235 W FAIRMOUNT AV
093330036;11/29/2009;07:50 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7424 N 38TH ST
093330086;11/29/2009;01:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4957 N 26TH ST
093330092;11/29/2009;02:45 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5024 N 22ND ST
093330117;11/29/2009;03:51 PM;4.0;SIMPLE ASSAULT;;;;;5343 N 33RD ST
093330139;11/29/2009;08:46 PM;5.0;ALL OTHER LARCENY;;;;;4531 N 22ND ST
093330145;11/29/2009;07:35 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5665 N 36TH ST
093330150;11/29/2009;11:13 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2812 W FAIRMOUNT AV
093330156;11/29/2009;07:28 PM;5.0;SIMPLE ASSAULT;THEFT FROM BUILDING;;;;4044 N 25TH ST
093310034;11/28/2009;10:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;4868 N 22ND ST
093310145;11/28/2009;12:26 AM;5.0;ROBBERY;;;;;4040 N GREEN BAY AV
093320023;11/28/2009;03:32 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5049 N 35TH ST
093320028;11/28/2009;05:03 AM;5.0;MOTOR VEHICLE THEFT;;;;;4406 N 26TH ST
093320036;11/28/2009;08:39 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3812 W GREEN TREE RD
093320037;11/28/2009;08:58 AM;5.0;MOTOR VEHICLE THEFT;;;;;4512 N 27TH ST
093320088;11/28/2009;03:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6023 N 41ST ST
093320113;11/28/2009;04:24 PM;7.0;ROBBERY;;;;;3709 W VILLARD AV
093320144;11/28/2009;07:56 PM;5.0;SIMPLE ASSAULT;;;;;2507 W ATKINSON AV #LWR
093320168;11/28/2009;08:53 PM;7.0;ROBBERY;;;;;4962 N 26TH ST
093310014;11/27/2009;01:35 AM;4.0;SIMPLE ASSAULT;;;;;6961 N 37TH ST #4
093310016;11/27/2009;12:48 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5411 N LONG ISLAND DR
093310022;11/27/2009;03:09 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7140 N 41ST ST
093310024;11/27/2009;02:28 AM;7.0;AGGRAVATED ASSAULT;;;;;2626 W LINWAL LA
093310038;11/27/2009;08:31 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4861 N 24TH ST
093310042;11/27/2009;08:43 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4889 N 24TH ST
093310048;11/27/2009;09:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5948 N SHERMAN BL #2
093310067;11/27/2009;11:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;5551 N 26TH ST
093310070;11/27/2009;11:35 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4600 W STARK ST
093310086;11/27/2009;01:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5555 N 31ST ST
093310102;11/27/2009;01:27 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5034 N 25TH ST
093310106;11/27/2009;02:54 PM;4.0;SIMPLE ASSAULT;;;;;4020-C W GOOD HOPE RD
093310116;11/27/2009;02:10 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4507 W VILLARD AV
093310116;11/27/2009;02:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;4507 W VILLARD AV
093310117;11/27/2009;04:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4661 N 27TH ST
