Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
102430028;08/31/2010;01:46 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5637 N 40TH ST
102430045;08/31/2010;07:34 AM;5.0;ALL OTHER LARCENY;;;;;4206 N GREEN BAY AV
102430058;08/31/2010;07:33 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6043 N TEUTONIA AV
102430074;08/31/2010;10:35 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4165 N 16TH ST
102430077;08/31/2010;09:53 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4306 N 21ST ST
102430088;08/31/2010;09:53 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4306 N 21ST ST
102430141;08/31/2010;03:47 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4753 N 23RD ST
102430153;08/31/2010;04:19 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5727 N 32ND ST
102430163;08/31/2010;05:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4944 N 20TH ST
102430188;08/31/2010;03:33 PM;5.0;AGGRAVATED ASSAULT;;;;;4050 N TEUTONIA AV
102430218;08/31/2010;10:02 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4469 N 27TH ST
102430227;08/31/2010;11:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1964 W CONGRESS ST
102430228;08/31/2010;07:17 PM;7.0;SIMPLE ASSAULT;;;;;4938 W HAMPTON AV #12
102440009;08/31/2010;07:21 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7039 N TEUTONIA AV #2
102420021;08/30/2010;01:41 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2232 W CAPITOL DR
102420097;08/30/2010;11:24 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5562 N 42ND ST
102420134;08/30/2010;12:58 PM;5.0;AGGRAVATED ASSAULT;;;;;4476 N 29TH ST
102420150;08/30/2010;02:50 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6162 N 35TH ST
102420170;08/30/2010;05:53 PM;4.0;ALL OTHER LARCENY;;;;;5821 N 34TH ST
102420173;08/30/2010;06:09 PM;5.0;ALL OTHER LARCENY;;;;;4456 N TEUTONIA AV
102420183;08/30/2010;06:35 PM;5.0;ALL OTHER LARCENY;;;;;1716 W CAPITOL DR
102420206;08/30/2010;10:00 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2449 W CONGRESS ST
102420234;08/30/2010;09:35 PM;4.0;SIMPLE ASSAULT;;;;;3027 W CARMEN AV #3
102420236;08/30/2010;10:37 PM;7.0;MOTOR VEHICLE THEFT;;;;;4957 N 27TH ST
102420239;08/30/2010;03:08 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4365 N 19TH PL
102420243;08/30/2010;03:08 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4357 N 19TH PL
102420244;08/30/2010;11:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;6034 N 37TH ST
102430017;08/30/2010;10:32 PM;4.0;ALL OTHER LARCENY;;;;;5628 N 36TH ST
102430042;08/30/2010;11:47 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4757 N 23RD ST
102410020;08/29/2010;02:15 AM;5.0;SIMPLE ASSAULT;;;;;4415 N 28TH ST
102410072;08/29/2010;10:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3627 W DOUGLAS AV
102410083;08/29/2010;11:40 AM;4.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;6822 N DARIEN ST
102410086;08/29/2010;11:42 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4918 W GREEN TREE RD
102410096;08/29/2010;12:27 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5426 N 42ND ST
