Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
103040039;10/31/2010;04:19 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5033 N 19TH PL
103040057;10/31/2010;08:57 AM;5.0;MOTOR VEHICLE THEFT;;;;;4636 N 32ND ST
103040162;10/31/2010;09:44 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6063 N 41ST ST
103030044;10/30/2010;06:00 AM;5.0;SIMPLE ASSAULT;;;;;4380 N 26TH ST
103030087;10/30/2010;11:55 AM;7.0;ALL OTHER LARCENY;;;;;4918 W HAMPTON AV #6
103030090;10/30/2010;10:40 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4337 N 18TH ST
103030125;10/30/2010;04:59 PM;4.0;SIMPLE ASSAULT;;;;;7164 N 42ND ST #4
103030132;10/30/2010;05:09 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;;;4339-A N 14TH ST
103030177;10/30/2010;11:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4930 N 44TH ST
103020022;10/29/2010;07:51 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5975 N 36TH ST
103020025;10/29/2010;08:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5661 N 33RD ST
103020047;10/29/2010;11:05 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4388 N 27TH ST
103020056;10/29/2010;11:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4660 N 18TH ST
103020077;10/29/2010;11:41 AM;4.0;ROBBERY;;;;;3200 W VILLARD AV
103020083;10/29/2010;01:46 PM;5.0;SHOPLIFTING;;;;;2008 W CAPITOL DR
103020092;10/29/2010;03:13 PM;5.0;ALL OTHER LARCENY;;;;;4036 N 24TH PL
103020119;10/29/2010;04:36 PM;4.0;ROBBERY;;;;;5237 N 35TH ST
103010013;10/28/2010;04:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;3724 W FLORIST AV
103010023;10/28/2010;08:25 AM;5.0;ALL OTHER LARCENY;;;;;2541 W VICTORY LA #4
103010038;10/28/2010;08:34 AM;4.0;ALL OTHER LARCENY;;;;;2901 W MILL RD
103010056;10/28/2010;11:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4000 W HAMPTON AV
103010068;10/28/2010;12:25 PM;5.0;ROBBERY;;;;;4132 N 26TH ST
103010072;10/28/2010;01:05 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;2045 W NEIL PL
103010088;10/28/2010;03:40 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4423 N 25TH ST
103010101;10/28/2010;12:20 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4151 N 16TH ST
103010119;10/28/2010;05:59 PM;7.0;ALL OTHER LARCENY;;;;;4957 N 36TH ST
103010135;10/28/2010;07:35 PM;4.0;AGGRAVATED ASSAULT;;;;;7153 N 48TH ST
103000019;10/27/2010;02:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;4105 N 20TH ST
103000021;10/27/2010;03:19 AM;7.0;AGGRAVATED ASSAULT;;;;;5045 N 39TH ST
