Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
102730007;09/30/2010;12:10 AM;4.0;SIMPLE ASSAULT;;;;;5958-A N 38TH ST
102730009;09/30/2010;12:14 AM;5.0;AGGRAVATED ASSAULT;;;;;2416 W HOPE AV
102730014;09/30/2010;01:46 AM;7.0;ARSON;;;;;4824 N 25TH ST
102730020;09/30/2010;06:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;2819 W CARMEN AV
102730023;09/30/2010;06:59 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4209 N 16TH ST
102730055;09/30/2010;01:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;1300 W GLENDALE AV
102730056;09/30/2010;12:24 PM;4.0;THEFT FROM BUILDING;;;;;5300 N 39TH ST
102730063;09/30/2010;12:08 PM;5.0;MOTOR VEHICLE THEFT;;;;;4101 N 19TH ST
102730069;09/30/2010;02:26 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4243 N 26TH ST
102730141;09/30/2010;09:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6770 N 43RD ST
102730148;09/30/2010;10:01 PM;5.0;ROBBERY;;;;;4021 N 12TH ST
102740002;09/30/2010;11:23 PM;4.0;ALL OTHER LARCENY;;;;;7233 N 38TH ST
102720040;09/29/2010;09:09 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7100 N TEUTONIA AV
102720062;09/29/2010;12:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;3501 W MOTHER DANIELS WA
102720109;09/29/2010;03:20 PM;5.0;ROBBERY;;;;;4617 N 29TH ST
102720112;09/29/2010;01:50 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3505 W KILEY AV #4
102720116;09/29/2010;04:58 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5733 N 38TH ST
102720157;09/29/2010;07:17 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4335 N TEUTONIA AV
102720177;09/29/2010;09:03 PM;4.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5477 N 38TH ST
102710021;09/28/2010;08:00 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5323 N 27TH ST
102710060;09/28/2010;11:50 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1923 W CORNELL ST
102710083;09/28/2010;03:06 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4187 N 16TH ST
102710128;09/28/2010;06:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;4210 W SILVER SPRING DR
102710139;09/28/2010;06:03 PM;5.0;SIMPLE ASSAULT;;;;;4413 N 30TH ST
102710174;09/28/2010;07:41 PM;7.0;ROBBERY;;;;;4803 N GREEN BAY AV
102710181;09/28/2010;08:45 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6050 N 40TH ST #LWR
102710189;09/28/2010;06:51 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4244 N TEUTONIA AV #33
102690116;09/27/2010;12:08 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4321 N 28TH ST
102700009;09/27/2010;02:13 AM;7.0;ARSON;;;;;4650 N 20TH ST
102700014;09/27/2010;07:00 AM;5.0;ROBBERY;;;;;4333 N 19TH PL
102700113;09/27/2010;11:25 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4271 N 29TH ST #LWR
102700127;09/27/2010;04:26 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5741 N 42ND ST
102700149;09/27/2010;06:00 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3310 W VILLARD AV
102700159;09/27/2010;07:17 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5131 N GREEN BAY AV
102700162;09/27/2010;07:23 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4600 W MILL RD
102700168;09/27/2010;01:51 PM;7.0;AGGRAVATED ASSAULT;;;;;4878 N 22ND ST
102700201;09/27/2010;10:25 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5451 N 41ST ST
102690048;09/26/2010;04:56 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4055 N TEUTONIA AV
102690053;09/26/2010;07:25 AM;4.0;SIMPLE ASSAULT;;;;;4208 W VILLARD AV #8
102690080;09/26/2010;10:24 AM;5.0;MOTOR VEHICLE THEFT;;;;;4128 N 21ST ST
102690083;09/26/2010;10:58 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4453 N 22ND ST
102690098;09/26/2010;10:33 AM;4.0;ALL OTHER LARCENY;;;;;2901 W MILL RD
102690106;09/26/2010;12:30 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5135 N 31ST ST
102690118;09/26/2010;02:31 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5375 N GREEN BAY AV
102690120;09/26/2010;01:01 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7503 N 39TH ST
102690137;09/26/2010;03:55 PM;4.0;THEFT FROM BUILDING;;;;;6173 N 39TH ST
102690160;09/26/2010;07:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4800 N GREEN BAY AV
102690181;09/26/2010;08:31 PM;5.0;ALL OTHER LARCENY;;;;;4157 N 13TH ST
102670137;09/25/2010;07:59 AM;4.0;ALL OTHER LARCENY;;;;;3200 W VILLARD AV
