;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;101200054;04/30/2010;09:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09622080099834, -87.93049291185314];4356 N 16TH ST
1;101200075;04/30/2010;11:22 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10939929063965, -87.97874533741185];5000 N 53RD ST
2;101200084;04/30/2010;09:48 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0902997543713, -87.92952162479058];4035 N 15TH ST
3;101200096;04/30/2010;01:00 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09765609447046, -87.94682809525831];4411 N 27TH ST
4;101190077;04/29/2010;12:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14685365889551, -87.95988241185313];7110 N 39TH ST
5;101190107;04/29/2010;03:57 PM;4.0;THEFT FROM BUILDING;;;;;[43.120959525967905, -87.95199247446477];3120 W THURSTON AV
6;101180022;04/28/2010;07:48 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10764300582838, -87.95777907372015];4957 N 36TH ST
7;101180028;04/28/2010;08:24 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.143346937442274, -87.95703033136904];6925 N 37TH ST
8;101170054;04/27/2010;10:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110182903124944, -87.9394958614761];2228 W LANCASTER AV
9;101170142;04/27/2010;06:23 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10573483819033, -87.96156110646872];4851 N 39TH ST #A
10;101160020;04/26/2010;07:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11086132444748, -87.93826790235582];2032 W EGGERT PL
11;101160102;04/26/2010;10:58 AM;4.0;THEFT FROM BUILDING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.12757599417162, -87.96090586078269];6038 N 39TH ST
12;101150062;04/25/2010;10:33 AM;4.0;THEFT FROM BUILDING;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV #23
13;101150071;04/25/2010;12:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11190904974128, -87.95041763625309];3030 W VILLARD AV
14;101150105;04/25/2010;04:56 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
15;101140020;04/24/2010;07:38 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.147235253938604, -87.95812044699632];3701 W ROCHELLE AV
16;101140122;04/24/2010;07:29 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT FROM MOTOR VEHICLE;;;;[43.097656409400294, -87.94588588550985];2602 W PORT SUNLIGHT WA
