;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;103650017;12/31/2010;02:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1127359686364, -87.94637590074464];5240 N 27TH ST
1;103650093;12/31/2010;12:48 PM;4.0;THEFT FROM BUILDING;;;;;[43.1438047543713, -87.96574863589909];6937 N 43RD ST
2;103650129;12/31/2010;05:41 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.113789366639736, -87.94642758482863];5301 N 27TH ST
3;103640154;12/30/2010;08:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09148275639805, -87.95497002078486];3357 W HOPKINS ST
4;103630112;12/29/2010;12:37 PM;4.0;THEFT FROM BUILDING;;;;;[43.14513939494493, -87.95584821276456];7005 N TEUTONIA AV #1
5;103630119;12/29/2010;02:09 PM;5.0;THEFT FROM BUILDING;;;;;[43.09367291035258, -87.95051341185312];4238 N 30TH ST
6;103610067;12/27/2010;11:50 AM;4.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;[43.12679365602056, -87.95604429651904];6010 N 35TH ST
7;103580156;12/24/2010;09:32 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.106931031363615, -87.96663163200395];4919 N SHERMAN BL
8;103570029;12/23/2010;08:45 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104348546742614, -87.93952127699232];2201 W HAMPTON AV
9;103560059;12/22/2010;12:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10739824562873, -87.96774488631792];4940 N 44TH ST
10;103560089;12/22/2010;03:49 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08959753318128, -87.93242958090484];1712 W CAPITOL DR
11;103560106;12/22/2010;05:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11005483819031, -87.95283065032581];5109 N 32ND ST
12;103550086;12/21/2010;03:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110476633360264, -87.9515143607827];5130 N 31ST ST
13;103550095;12/21/2010;04:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10087625284209, -87.94048440463978];4588 N 23RD ST
14;103550138;12/21/2010;07:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
15;103530054;12/19/2010;09:37 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111905274604865, -87.95004027460486];3000 W VILLARD AV
16;103530063;12/19/2010;10:35 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111995274719554, -87.96149277471955];3900 W VILLARD AV
17;103530142;12/19/2010;08:12 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12206877990653, -87.96226115753917];5725 N 40TH ST
18;103520050;12/18/2010;12:30 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10338483236194, -87.95035584967418];4740 N 30TH ST
19;103520053;12/18/2010;12:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
20;103510008;12/17/2010;02:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11244749708581, -87.95147589353127];5222 N 31ST ST
