;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;111810043;06/30/2011;01:35 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09467296863639, -87.92809538631792];4240 N 14TH ST
1;111790066;06/28/2011;10:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127337120620986, -87.96627521790184];6035 N SHERMAN BL
2;111780040;06/27/2011;05:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118936413266795, -87.95985286078269];5568 N 38TH ST
3;111770022;06/26/2011;03:18 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09059717346645, -87.92459157372015];4049 N 11TH ST
4;111770046;06/26/2011;09:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09640234201224, -87.93813691447849];4360 N 21ST ST
5;111760020;06/25/2011;03:15 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09521085152051, -87.94040423255831];2316 W OLIVE ST
6;111760049;06/25/2011;08:33 AM;7.0;MOTOR VEHICLE THEFT;BURGLARY/BREAKING AND ENTERING;;;;[43.111889488458814, -87.95957327699232];3721 W VILLARD AV
7;111760049;06/25/2011;08:33 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111889488458814, -87.95957327699232];3721 W VILLARD AV
8;111750023;06/24/2011;04:38 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10055044936225, -87.93305924562871];1830 W GLENDALE AV
9;111750047;06/24/2011;09:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10565191035258, -87.94531591185313];4852 N 26TH ST
10;111750074;06/24/2011;11:57 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10952303136361, -87.96020907372014];5057 N 38TH ST
11;111750112;06/24/2011;03:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12281586372555, -87.9574206503258];5765 N 36TH ST
12;111740065;06/23/2011;12:04 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09879294123938, -87.94922695384498];2900 W ATKINSON AV
13;111740105;06/23/2011;05:02 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14470764863078, -87.9654831658321];6974 N 43RD ST
14;111740172;06/23/2011;11:45 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09089191035258, -87.94191540463977];4050 N 24TH ST
15;111730124;06/22/2011;05:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09924205606212, -87.92858467949637];4519 N GREEN BAY AV
16;111730133;06/22/2011;05:54 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095360122395995, -87.9380728607827];4250 N 21ST ST
17;111720040;06/21/2011;08:58 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09440277990652, -87.94343757372015];4279 N 24TH PL
18;111720078;06/21/2011;01:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658429331842, -87.95512524325842];3414 W FLORIST AV
19;111720155;06/21/2011;08:07 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10176037968149, -87.94667718544032];4641 N 27TH ST
20;111710122;06/20/2011;05:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08981546047074, -87.94285222009349];2422 W CAPITOL DR
21;111700046;06/19/2011;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09594309991919, -87.93930327266449];4326 N 22ND ST
22;111700072;06/19/2011;12:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10778574854291, -87.97259433135233];4962 N 48TH ST
