;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;111810195;06/30/2011;06:52 PM;7.0;THEFT FROM BUILDING;;;;;[43.10443048600598, -87.93369022009348];1820 W HAMPTON AV #3
1;111800047;06/29/2011;10:55 AM;5.0;THEFT FROM BUILDING;LIQUOR LAW VIOLATIONS;;;;[43.1035191931733, -87.95042066143431];4747 N 30TH ST
2;111800100;06/29/2011;03:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10978119986706, -87.94928963962226];5100 N TEUTONIA AV
3;111800113;06/29/2011;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10650401832188, -87.97634237520941];4882 N 51ST BL
4;111790099;06/28/2011;03:03 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1046365115412, -87.96192372300767];3908 W HAMPTON AV
5;111790156;06/28/2011;09:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10987048932419, -87.96286366763806];4010 W LANCASTER AV
6;111780069;06/27/2011;08:32 AM;4.0;THEFT FROM BUILDING;;;;;[43.14898335162748, -87.9592196877448];7213 N 38TH ST
7;111780081;06/27/2011;09:02 AM;7.0;THEFT FROM BUILDING;;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
8;111780187;06/27/2011;07:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111995274719554, -87.96012927471955];3800 W VILLARD AV
9;111770047;06/26/2011;09:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111889488458814, -87.95957327699232];3721 W VILLARD AV
10;111770075;06/26/2011;10:35 AM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09661557507647, -87.93296243738835];4370 N 18TH ST
11;111770101;06/26/2011;02:39 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.129079413266794, -87.96086536078269];6100 N 39TH ST
12;111770105;06/26/2011;03:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0927504565756, -87.94200133236194];2402 W HOPE AV
13;111760049;06/25/2011;08:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111889488458814, -87.95957327699232];3721 W VILLARD AV
