;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;113340089;11/30/2011;02:37 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099316717179306, -87.94670589353127];4512 N 27TH ST
1;113330028;11/29/2011;08:47 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10067541326677, -87.95039537520941];4576 N 30TH ST
2;113330176;11/29/2011;08:59 PM;7.0;THEFT FROM BUILDING;;;;;[43.104733519331475, -87.97518097446478];4938 W HAMPTON AV #3
3;113320022;11/28/2011;07:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10517329665888, -87.93921294336116];4844 N 22ND ST
4;113320126;11/28/2011;04:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10828549321932, -87.96266002553523];3938 W FAIRMOUNT AV
5;113310059;11/27/2011;02:43 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089797460470756, -87.94178147155058];2328 W CAPITOL DR
6;113270050;11/23/2011;11:00 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
7;113270104;11/23/2011;03:15 PM;5.0;THEFT FROM BUILDING;;;;;[43.0981025029142, -87.94679758093349];4439 N 27TH ST
8;113250072;11/21/2011;12:41 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09694044463038, -87.94582064643068];4381 N 26TH ST
9;113250110;11/21/2011;03:28 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099243994171616, -87.94912291185312];4508 N 29TH ST
10;113250146;11/21/2011;06:32 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
11;113250207;11/21/2011;11:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10466651875456, -87.95840358090484];3616 W HAMPTON AV
12;113240101;11/20/2011;03:39 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
13;113220093;11/19/2011;11:00 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08973270081935, -87.92285509238872];4020 N GREEN BAY AV
14;113230107;11/19/2011;05:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10453946047074, -87.94269055536961];2430 W HAMPTON AV
15;113210053;11/17/2011;11:06 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099784413266775, -87.95041434967419];4536 N 30TH ST
16;113210061;11/17/2011;09:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
17;113210069;11/17/2011;01:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15455243020368, -87.95845714455568];7528 N TEUTONIA AV
18;113190058;11/15/2011;10:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090090826533554, -87.93068543738836];4022 N 16TH ST
19;113190071;11/15/2011;11:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09857894754458, -87.93712011368208];4475 N 20TH ST
20;113190126;11/15/2011;04:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.114361481245446, -87.94121441909516];2339 W LAWN AV
21;113190149;11/15/2011;06:35 PM;4.0;THEFT FROM BUILDING;;;;;[43.11472970262555, -87.93395801384138];5375 N GREEN BAY AV
22;113190175;11/15/2011;09:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15424048014894, -87.95865772095885];7513 N TEUTONIA AV
23;113180033;11/14/2011;08:48 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09128019900169, -87.94196957761528];4071 N 24TH ST
24;113180169;11/14/2011;09:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10599505245543, -87.94277235356932];4870 N 24TH PL
25;113170104;11/13/2011;03:02 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101458947544586, -87.9504511031505];4625 N 30TH ST
26;113150051;11/11/2011;11:13 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10211279488149, -87.93022980117121];4669 N GREEN BAY AV
27;113150053;11/11/2011;11:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10477785869597, -87.97033016386723];4600 W HAMPTON AV
28;113140015;11/10/2011;07:39 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10057267003265, -87.93885397971624];2116 W CORNELL ST
29;113140073;11/10/2011;02:15 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11316000582838, -87.95886913200395];5255 N 37TH ST
