;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;123640043;12/29/2012;10:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09165771717929, -87.92695238631792];4112 N 13TH ST
1;123620032;12/27/2012;08:43 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14874232159337, -87.9624937535522];4020 W GOOD HOPE RD
2;123600101;12/25/2012;09:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11447241326678, -87.95512636799604];5330 N 34TH ST
3;123580070;12/23/2012;01:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1209115323159, -87.95240002553523];3131 W THURSTON AV
4;123540115;12/19/2012;06:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10829653952927, -87.97726252553522];5127 W FAIRMOUNT AV
5;123530023;12/18/2012;04:41 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0897394237487, -87.93711953506453];2000 W CAPITOL DR
6;123530114;12/18/2012;03:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14685438190318, -87.96424442627985];7100 N 42ND ST
7;123530121;12/18/2012;04:45 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09176160032322, -87.9400132048587];4115 N TEUTONIA AV
8;123520069;12/17/2012;10:28 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106947994171634, -87.95772436078269];4920 N 36TH ST
9;123510034;12/16/2012;06:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12974551126765, -87.96094608579206];6135 N 39TH ST
10;123500042;12/15/2012;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106947994171634, -87.95772436078269];4920 N 36TH ST
11;123490075;12/14/2012;01:30 PM;5.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.09317450678068, -87.935292];1931 W HOPE AV
12;123490107;12/14/2012;05:40 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107003586733214, -87.93806915753918];4919 N 21ST ST
13;123480146;12/13/2012;08:13 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11481560059622, -87.95763552003169];5359 N 36TH ST
14;123470033;12/12/2012;10:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10470648909623, -87.95799050506199];3600 W HAMPTON AV
15;123470071;12/12/2012;03:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10430153563413, -87.93506202844941];1935 W HAMPTON AV
16;123460025;12/11/2012;07:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
17;123460053;12/11/2012;11:52 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.122167413266794, -87.95857486078269];5734 N 37TH ST
18;123460136;12/11/2012;04:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09957803136362, -87.94295810646872];4529 N 24TH PL
19;123440099;12/09/2012;04:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10043746665128, -87.94445458782648];4572 N TEUTONIA AV
20;123440138;12/09/2012;08:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09587229447746, -87.93810610502642];4324 N 21ST ST
