;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;120580023;02/27/2012;08:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12704933706935, -87.96598683082559];6014 N SHERMAN BL
1;120580134;02/27/2012;09:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105950657430036, -87.9406374244745];2308 W LINWAL LA
2;120580144;02/27/2012;11:11 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11095433527612, -87.9689701608574];5153 N 45TH ST
3;120550034;02/24/2012;10:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.115139754371285, -87.96002113200394];5363 N 38TH ST
4;120520078;02/21/2012;02:51 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104358521207395, -87.94013327699231];2225 W HAMPTON AV
5;120500062;02/19/2012;01:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12134796018173, -87.96218230840213];5696 N 40TH ST
6;120500122;02/19/2012;07:44 PM;5.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;;;;[43.09029919900166, -87.94200107761527];4021 N 24TH ST
7;120480074;02/17/2012;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11146266305044, -87.96314511105635];5175 N HOPKINS ST
8;120450037;02/14/2012;11:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09071191035258, -87.94566237131427];4060 N 26TH ST
9;120440071;02/13/2012;01:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092403575076474, -87.93932543738836];4114 N 22ND ST
10;120420039;02/11/2012;10:42 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10801096863639, -87.95769638631792];4972 N 36TH ST
11;120410040;02/10/2012;11:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0912976446141, -87.9445831245775];4100 N 25TH ST
12;120410126;02/10/2012;10:48 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091252126829126, -87.93690457801564];4086 N 20TH ST
13;120400158;02/09/2012;11:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110108052455416, -87.96497535356933];5108 N 42ND ST
14;120390039;02/08/2012;10:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09503815569283, -87.94038276022832];2307 W OLIVE ST
15;120380074;02/07/2012;02:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10579658090484, -87.96777638631792];4850 N 44TH ST
16;120380079;02/07/2012;03:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10857783236193, -87.96141535688754];5016 N 39TH ST
17;120390003;02/07/2012;11:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10672430391253, -87.93400583524746];4910 N 19TH ST
