Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
121810145;06/30/2012;12:59 AM;5.0;ROBBERY;;;;;4136 N 14TH ST
121820024;06/30/2012;02:41 AM;4.0;INTIMIDATION;;;;;7049 N 38TH CT
121820025;06/30/2012;02:14 AM;5.0;AGGRAVATED ASSAULT;;;;;4484 N 26TH ST
121820036;06/30/2012;01:27 AM;5.0;MOTOR VEHICLE THEFT;;;;;4109 N 13TH ST
121820044;06/30/2012;09:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;4026 N 19TH PL
121820071;06/30/2012;12:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;6113 N 36TH ST
121820073;06/30/2012;12:22 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5017 N 37TH ST
121820075;06/30/2012;12:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;5065 N 25TH ST
121820088;06/30/2012;12:44 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4903 N 39TH ST #10
121820092;06/30/2012;01:45 PM;4.0;SIMPLE ASSAULT;;;;;6020 N 35TH ST
121820113;06/30/2012;04:16 PM;;HOMICIDE;;;;;4369 N 26TH ST
121820113;06/30/2012;11:24 PM;5.0;AGGRAVATED ASSAULT;;;;;4369 N 26TH ST
121820153;06/30/2012;09:39 PM;5.0;AGGRAVATED ASSAULT;;;;;2041 W ATKINSON AV #206
121810021;06/29/2012;02:33 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4909 N 39TH ST #1
121810023;06/29/2012;02:35 AM;5.0;SIMPLE ASSAULT;;;;;4446 N 28TH ST #306
121810025;06/29/2012;03:04 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5728 N 37TH ST
121810039;06/29/2012;07:58 AM;7.0;SIMPLE ASSAULT;ALL OTHER LARCENY;;;;4973 N 46TH ST
121810051;06/29/2012;09:52 AM;7.0;MOTOR VEHICLE THEFT;;;;;4917 W FAIRMOUNT AV
121810068;06/29/2012;11:48 AM;5.0;MOTOR VEHICLE THEFT;;;;;2101 W ATKINSON AV
121810080;06/29/2012;12:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4500 N TEUTONIA AV
121810138;06/29/2012;06:32 PM;7.0;AGGRAVATED ASSAULT;;;;;5067 N 46TH ST
121810160;06/29/2012;09:16 PM;5.0;SIMPLE ASSAULT;;;;;4505 N 29TH ST #302
121800016;06/28/2012;01:11 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4126 N 15TH ST
121800027;06/28/2012;02:46 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4116 W SILVER SPRING DR
121800043;06/28/2012;05:46 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5514 N 35TH ST
121800064;06/28/2012;10:01 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4077 N 26TH ST
121800106;06/28/2012;02:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5559 N 34TH ST
121800125;06/28/2012;04:54 PM;5.0;THEFT FROM BUILDING;;;;;4448 N 22ND ST
121800157;06/28/2012;05:26 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4686 N 19TH PL
121800171;06/28/2012;10:06 PM;5.0;ALL OTHER LARCENY;;;;;2604 W CAPITOL DR
121790051;06/27/2012;07:20 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5335 N TEUTONIA AV
121790067;06/27/2012;12:04 PM;4.0;MOTOR VEHICLE THEFT;;;;;6800 N TEUTONIA AV
121790068;06/27/2012;12:19 PM;5.0;ALL OTHER LARCENY;;;;;4636 N 31ST ST
121790079;06/27/2012;01:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4015 N 23RD ST
121790081;06/27/2012;01:49 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1914 W CAPITOL DR
121790086;06/27/2012;12:52 PM;4.0;ROBBERY;;;;;5530 N 34TH ST
121790092;06/27/2012;01:28 PM;5.0;ROBBERY;;;;;4219 N 22ND ST
