;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;130900063;03/31/2013;11:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14128652264971, -87.96244041618097];4048 W GREEN TREE RD
1;130830047;03/24/2013;09:04 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10882882653357, -87.94032541185312];5022 N 23RD ST
2;130820085;03/23/2013;02:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10498817346644, -87.93812863200395];4821 N 21ST ST
3;130820129;03/23/2013;09:38 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
4;130800024;03/21/2013;09:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13442759256159, -87.97431754818491];6417 N 49TH ST
5;130760009;03/17/2013;12:41 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.114167754371294, -87.96003913200396];5317 N 38TH ST
6;130760107;03/17/2013;08:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10514905245543, -87.94279387910456];4826 N 24TH PL
7;130750033;03/16/2013;07:06 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10624582653355, -87.93801593738836];4880 N 21ST ST
8;130750040;03/16/2013;08:49 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09187377990651, -87.9369816503258];4113 N 20TH ST
9;130750062;03/16/2013;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11127716180968, -87.95638284246083];5168 N 35TH ST
10;130740099;03/15/2013;05:18 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10114221008151, -87.93553971386108];1961 W PURDUE ST
11;130730026;03/14/2013;09:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093782136274456, -87.94683286799605];4244 N 27TH ST
12;130720043;03/13/2013;09:54 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08961486268563, -87.9306821875935];4002 N 16TH ST
13;130720060;03/13/2013;01:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12257305245544, -87.96097638963613];5754 N 39TH ST
14;130720099;03/13/2013;04:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09019857507647, -87.92577444460173];4032 N 12TH ST
15;130710066;03/12/2013;12:55 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093574779906504, -87.94345009925536];4237 N 24TH PL
16;130710093;03/12/2013;04:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108461230913534, -87.94869138983768];5003 N TEUTONIA AV
17;130700015;03/11/2013;06:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
18;130700069;03/11/2013;02:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0899455232266, -87.95353122300767];3100 W CAPITOL DR
19;130660059;03/07/2013;04:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.150793938241016, -87.95807173237189];3735 W CLINTON AV
20;130640059;03/05/2013;02:37 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109922946511574, -87.96271909324645];4022 W LANCASTER AV
21;130870152;03/28/2013;11:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07887699417162, -87.98071537910455];3280 N 54TH ST #LWR
22;130830072;03/24/2013;01:28 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06237543953527, -87.97997035313914];5301 W MEINECKE AV
23;130830126;03/24/2013;05:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07353938539908, -87.97743053323909];5100 W CHAMBERS ST
24;130810020;03/22/2013;04:35 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0713540313636, -87.97862060646872];2875 N 52ND ST
25;130790040;03/20/2013;08:03 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06695802371936, -87.97860158346435];2644 N 52ND ST
26;130780023;03/19/2013;08:04 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06275548236509, -87.98530571351752];2413 N 58TH ST
27;130780072;03/19/2013;02:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.080294846500195, -87.9829778465002];5537 W PHILIP PL
28;130770037;03/18/2013;07:18 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.081057676380624, -87.9832359190665];3406 N 56TH ST
29;130770112;03/18/2013;03:34 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06364726698035, -87.97898342604871];5211 W LISBON AV
30;130750056;03/16/2013;10:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.082612506793, -87.99803443819292];6870 W APPLETON AV
31;130730020;03/14/2013;08:51 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06417317346646, -87.98096008814687];2479 N 54TH ST
32;130700067;03/11/2013;01:42 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06674658673322, -87.9810380809335];2627 N 54TH ST
33;130690024;03/10/2013;03:11 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.026465518754556, -87.98608269317329];5816 W SIEGFRIED PL
34;130680045;03/09/2013;10:37 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.034616, -87.98602105208005];323 N 59TH ST
35;130600018;03/01/2013;07:22 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.028442167638076, -87.99112238631791];312 S 63RD ST
36;130790119;03/20/2013;07:22 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97883071928637, -87.99170859738038];6215 W WARNIMONT AV
37;130760126;03/18/2013;12:19 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98175955536962, -88.009275407958];3446 S 77TH ST
38;130750052;03/16/2013;10:19 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97378250432782, -88.013142];8000 W HOWARD AV
39;130750058;03/16/2013;12:04 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.980294893675506, -87.98209526599939];5355 W FOREST HOME AV
40;130620128;03/03/2013;10:37 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98640303136361, -87.95814056650677];3201 S 35TH ST
41;130880021;03/29/2013;01:43 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02225616062131, -87.92539366062131];1100 W WALKER ST
42;130880023;03/29/2013;04:30 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00071383819031, -87.92245857372015];2423 S 9TH ST
43;130880121;03/29/2013;07:10 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02175500000001, -87.93049595960537];914 S 15TH ST
44;130860101;03/27/2013;05:56 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02528752842075, -87.919911];703 W BRUCE ST
45;130830004;03/24/2013;01:13 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.996887947544565, -87.92866152264969];2631 S 13TH ST
46;130830018;03/24/2013;02:47 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02191599417162, -87.90982391517136];906 S BARCLAY ST
47;130830027;03/24/2013;04:35 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02299711518265, -87.9140600809335];803 S 3RD ST
48;130820037;03/23/2013;09:39 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02222066831369, -87.91134864664728];100 W WALKER ST
49;130790021;03/20/2013;05:26 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01099948845882, -87.92315966472387];911 W MAPLE ST
50;130790030;03/20/2013;09:23 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.005697575076454, -87.93105348456368];2132 S 15TH ST
51;130780138;03/19/2013;11:09 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.9997221618097, -87.92241541185312];2470 S 9TH ST
52;130770022;03/18/2013;04:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02462536081134, -87.91266904097155];625 S 2ND ST
53;130760049;03/17/2013;10:36 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01701547013696, -87.93014327699233];1425 W GREENFIELD AV
54;130760052;03/17/2013;11:23 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01940566472388, -87.92399759536022];1131 S 10TH ST
55;130760054;03/17/2013;11:39 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.012891760199665, -87.91854898600596];1657 S 6TH ST
56;130750037;03/16/2013;08:21 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.008586658895496, -87.92958393349322];1966 S 14TH ST
57;130750043;03/16/2013;08:47 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.017054504327824, -87.92431216763806];1008 W GREENFIELD AV
58;130750071;03/16/2013;01:33 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.018979604694394, -87.92256034829732];1203 S 9TH ST
59;130750079;03/16/2013;02:16 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01099948845882, -87.91751313918864];521 W MAPLE ST
60;130750092;03/16/2013;04:35 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00897545045876, -87.92426006650678];1955 S 10TH ST
61;130730019;03/14/2013;08:19 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01110546378897, -87.91172999999999];116 W MAPLE ST
62;130700077;03/11/2013;03:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02112554674261, -87.92996383236193];1421 W MINERAL ST
63;130690016;03/10/2013;03:31 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01913314226576, -87.9312161005953];1524 W SCOTT ST
64;130690031;03/10/2013;08:49 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.008741869553916, -87.92568745715252];1965 S 11TH ST
65;130690118;03/10/2013;10:48 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01600467055226, -87.91971591127621];1444 S 7TH ST
66;130680033;03/09/2013;07:45 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00599527699234, -87.93442911368207];2121 S 17TH ST
67;130680099;03/09/2013;05:35 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02054832944776, -87.93681956650677];1027 S 19TH ST
68;130600028;03/01/2013;08:51 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01021153231589, -87.93640302844942];1831 W BURNHAM ST
69;130600122;03/01/2013;11:04 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01240356857811, -87.93654657981165];1900 W MITCHELL ST
70;130900050;03/31/2013;10:16 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.96877553231589, -87.94388283527613];2301 W PLAINFIELD AV
71;130840017;03/25/2013;06:44 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95927946047076, -87.90895341618096];110 E LAYTON AV
72;130770140;03/18/2013;07:03 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95703546681873, -87.93016152844942];1331 W BARNARD AV
73;130720095;03/13/2013;04:38 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99327877990652, -87.93139752264969];2819 S 15TH ST
74;130900036;03/31/2013;08:29 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98894924562873, -87.92264393738836];3052 S 9TH ST
75;130880030;03/29/2013;08:08 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98720341326677, -87.92879342627985];3142 S 13TH ST
76;130840094;03/25/2013;02:54 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00117132944774, -87.91783642296163];2420 S 5TH PL
77;130820137;03/23/2013;10:46 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98657956946312, -87.92892665435072];1300 W EUCLID AV
78;130770040;03/18/2013;06:54 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98223365251887, -87.90711190815954];3401 S HOWELL AV #3
79;130690082;03/10/2013;05:35 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.998579580904845, -87.92122397013695];2524 S 8TH ST
80;130680056;03/09/2013;11:09 AM;2.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.00643049567217, -87.918264];575 W BECHER ST
81;130900086;03/31/2013;11:19 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06151403819573, -87.96233998115552];2345 N 39TH ST
82;130890116;03/30/2013;08:43 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04273327699232, -87.95772158872379];947 N 35TH ST
83;130880044;03/29/2013;09:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07122783236193, -87.95508242627986];2874 N 33RD ST
84;130880134;03/29/2013;09:24 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0676544884588, -87.9288638680247];1341 W CENTER ST
85;130870114;03/28/2013;07:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.07126341326679, -87.93860386078269];2872 N 21ST ST
86;130860031;03/27/2013;09:49 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06318241909517, -87.93760760646872];2439 N 20TH ST
87;130840132;03/25/2013;06:31 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06584613627447, -87.9761664190665];2572 N 50TH ST
88;130810013;03/22/2013;01:40 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05683747155058, -87.94503241185313];2018 N 25TH ST
89;130810044;03/22/2013;11:02 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.060436488458805, -87.93529216763807];1801 W NORTH AV
90;130800025;03/21/2013;09:50 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.063374617498376, -87.93387222818238];2463 N 17TH ST
91;130790006;03/20/2013;12:15 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05280148124546, -87.95453492200934];3211 W WALNUT ST
92;130790033;03/20/2013;10:00 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.054847466818735, -87.94568266763807];2511 W VINE ST
93;130770028;03/18/2013;05:48 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392749235395, -87.92526149999999];1037 W WRIGHT ST
94;130770125;03/18/2013;05:38 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.052824079638576, -87.93272941651705];1708 N 16TH ST
95;130750070;03/16/2013;12:51 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.060382453257375, -87.92326316472388];920 W NORTH AV
96;130750132;03/16/2013;11:47 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06032050291418, -87.96464858425172];2253 N 41ST ST
97;130730016;03/14/2013;04:44 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.067205167638065, -87.96338810646873];2651 N 40TH ST
98;130730027;03/14/2013;08:24 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.066026511541196, -87.94221232944774];2328 W CLARKE ST
99;130720031;03/13/2013;07:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.06871644463038, -87.93564162479058];2741 N 18TH ST
100;130770057;03/13/2013;03:33 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06609932056792, -87.95513166275718];2600 N 33RD ST
101;130710034;03/12/2013;08:32 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.053305406661075, -87.9452014568402];2500 W LISBON AV
102;130700113;03/11/2013;07:08 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.07130869608747, -87.93867912479058];2879 N 21ST ST
103;130690052;03/10/2013;01:32 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05431694754458, -87.9327890809335];1821 N 16TH ST
104;130680093;03/09/2013;04:59 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06219534784991, -87.9226166521501];2400 N 9TH ST
105;130660089;03/07/2013;07:54 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.060547790558545, -87.9567877804189];3429 W NORTH AV
106;130640063;03/05/2013;02:40 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05431694754458, -87.9327890809335];1821 N 16TH ST
107;130630066;03/04/2013;01:48 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064019, -87.96766107372014];2479 N SHERMAN BL
108;130610008;03/02/2013;12:45 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05531675437129, -87.94015062479058];1917 N 22ND ST
