Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
133650062;12/31/2013;02:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;1110 W FIEBRANTZ AV
133650063;12/31/2013;01:40 PM;7.0;SIMPLE ASSAULT;;;;;1904 W FAIRMOUNT AV
133650072;12/31/2013;02:37 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7007 N 42ND ST
133650075;12/31/2013;04:26 PM;4.0;MOTOR VEHICLE THEFT;;;;;5948 N SHERMAN BL
133650084;12/31/2013;04:52 PM;5.0;ROBBERY;;;;;2458 W CAPITOL DR
133650087;12/31/2013;06:18 PM;4.0;MOTOR VEHICLE THEFT;;;;;5462 N 38TH ST
133650088;12/31/2013;06:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;1951 W HAMPTON AV
133650091;12/31/2013;07:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;4725 W WOOLWORTH AV
133650096;12/31/2013;07:20 PM;5.0;SIMPLE ASSAULT;;;;;2801 W ATKINSON AV #304
133650098;12/31/2013;07:41 PM;5.0;SIMPLE ASSAULT;;;;;4182-A N 21ST ST
133640038;12/30/2013;09:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;5281 N TEUTONIA AV
133640044;12/30/2013;09:44 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4206 N GREEN BAY AV
133640048;12/30/2013;10:44 AM;7.0;THEFT FROM BUILDING;;;;;4937 N 18TH ST
133640052;12/30/2013;09:32 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5819 N 37TH ST
133640069;12/30/2013;01:35 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4006 N 19TH PL
133640078;12/30/2013;02:36 PM;4.0;MOTOR VEHICLE THEFT;;;;;2505 W CUSTER AV
133640084;12/30/2013;03:13 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;2319 W ROOSEVELT DR
133640090;12/30/2013;04:33 PM;4.0;THEFT FROM BUILDING;;;;;4725 W WOOLWORTH AV
133640098;12/30/2013;04:37 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3906 W PORTAGE ST
133640110;12/30/2013;06:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;1500 W CORNELL ST
133650001;12/30/2013;11:40 PM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4339 W VILLARD AV
133630056;12/29/2013;12:42 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5454 N 36TH ST
133630062;12/29/2013;01:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;4101 N 12TH ST
133630064;12/29/2013;01:08 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4310 N 15TH ST
133630068;12/29/2013;02:51 PM;5.0;AGGRAVATED ASSAULT;;;;;2222 W CAPITOL DR
133630095;12/29/2013;06:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;3701 W JUNIPER CT
133630135;12/29/2013;11:06 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5255 N 28TH ST
133620029;12/28/2013;05:24 AM;5.0;SIMPLE ASSAULT;;;;;4334 N 29TH ST
133620030;12/28/2013;07:57 AM;5.0;ALL OTHER LARCENY;;;;;2510 W CAPITOL DR
133620042;12/28/2013;10:00 AM;5.0;INTIMIDATION;;;;;4186 N 19TH PL
133620045;12/28/2013;10:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5531 N 37TH ST
