;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;132430051;08/31/2013;09:03 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0960950313636, -87.94685861036386];4339 N 27TH ST
1;132420013;08/30/2013;12:52 AM;7.0;THEFT FROM BUILDING;;;;;[43.10480426555719, -87.9778547655572];5200 W HAMPTON AV
2;132420056;08/30/2013;09:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
3;132420134;08/30/2013;07:37 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09831607569867, -87.9278065007454];4456 N GREEN BAY AV
4;132420135;08/30/2013;07:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
5;132430015;08/30/2013;10:17 PM;5.0;THEFT FROM BUILDING;;;;;[43.091356844360014, -87.94687655901994];4104 N 27TH ST
6;132400119;08/28/2013;02:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105185419095164, -87.96784909925536];4823 N 44TH ST
7;132400128;08/28/2013;03:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10759716763806, -87.97023868307438];4949 N 46TH ST
8;132400210;08/28/2013;06:13 PM;7.0;THEFT FROM BUILDING;;;;;[43.10735347489747, -87.95428199999999];3300 W CAMERON AV
9;132390159;08/27/2013;06:57 PM;4.0;THEFT FROM BUILDING;;;;;[43.14303041609445, -87.9570416357029];6909 N 37TH ST #2
10;132380066;08/26/2013;11:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10836827009782, -87.97147377009782];4700 W FAIRMOUNT AV
11;132380101;08/26/2013;02:26 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0899075337582, -87.95114066472387];3008 W CAPITOL DR
12;132380136;08/26/2013;05:17 PM;4.0;THEFT FROM BUILDING;;;;;[43.14303041609445, -87.9570416357029];6909 N 37TH ST #2
13;132380143;08/26/2013;06:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10732046047074, -87.95182033236193];3100 W CAMERON AV
14;132380157;08/26/2013;07:28 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115203173466455, -87.94508809925536];5373 N 26TH ST
15;132370005;08/24/2013;02:44 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
16;132350071;08/23/2013;11:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108909680330065, -87.93921718502445];5023 N 22ND ST
17;132350095;08/23/2013;01:49 PM;4.0;THEFT FROM BUILDING;;;;;[43.13385948456368, -87.97222252553523];4707 W MILL RD
18;132350107;08/23/2013;03:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV
19;132350167;08/23/2013;10:30 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097311089647405, -87.94810857372015];4401 N 28TH ST
20;132330083;08/21/2013;01:43 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09421945741234, -87.94258667441873];2430 W ATKINSON AV
21;132320075;08/20/2013;11:11 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1015372961509, -87.9325646771887];4650 N 18TH ST
22;132320091;08/20/2013;12:12 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09840883819032, -87.94926859925536];4457 N 29TH ST
23;132310121;08/19/2013;04:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
