;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;130300024;01/30/2013;08:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14846654674261, -87.96627296667448];4301 W GOOD HOPE RD
1;130300029;01/30/2013;09:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10967499417163, -87.94269241185313];5060 N 24TH PL
2;130300046;01/30/2013;11:15 AM;5.0;THEFT FROM BUILDING;;;;;[43.10043746665128, -87.94445458782648];4572 N TEUTONIA AV
3;130280065;01/28/2013;12:27 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09516152264969, -87.94731166763806];2708 W ROOSEVELT DR
4;130260078;01/26/2013;02:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09049722009348, -87.94084388631792];4030 N 23RD ST
5;130250061;01/25/2013;11:51 AM;5.0;THEFT FROM BUILDING;;;;;[43.08991547547438, -87.95180305536961];3040 W CAPITOL DR
6;130240040;01/24/2013;11:07 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.108292021110806, -87.95890334260163];5000 N 37TH ST
7;130240060;01/24/2013;02:26 PM;5.0;THEFT FROM BUILDING;;;;;[43.09019857507647, -87.92577444460173];4032 N 12TH ST #LOWE
8;130210021;01/21/2013;08:30 AM;4.0;THEFT FROM BUILDING;;;;;[43.14666427116396, -87.96304284520212];7140 N 41ST ST
9;130210051;01/21/2013;11:33 AM;5.0;THEFT FROM BUILDING;;;;;[43.09207391701769, -87.92423131637733];4118-A N GREEN BAY AV
10;130200112;01/20/2013;07:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10644652380355, -87.96402972300767];4100 W STARK ST
11;130190035;01/19/2013;08:53 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10824448845881, -87.96445216763806];4117 W FAIRMOUNT AV
12;130190109;01/19/2013;02:29 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.100163303912524, -87.94050638631792];4556 N 23RD ST
13;130180051;01/18/2013;12:57 PM;5.0;THEFT FROM BUILDING;;;;;[43.09449286372555, -87.94688913589908];4275 N 27TH ST
14;130180104;01/18/2013;06:47 PM;4.0;THEFT FROM BUILDING;;;;;[43.12257305245544, -87.96097638963613];5754 N 39TH ST
15;130170020;01/17/2013;08:13 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10728300582838, -87.95778807372014];4939 N 36TH ST
16;130170038;01/17/2013;11:11 AM;7.0;THEFT FROM BUILDING;;;;;[43.10403055952457, -87.93127331825232];4775 N GREEN BAY AV
17;130160037;01/16/2013;10:56 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10826848124545, -87.97464114210284];4929 W FAIRMOUNT AV
18;130150038;01/15/2013;10:04 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09542846572219, -87.92806291185313];4318 N 14TH ST
19;130150054;01/15/2013;11:33 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09316378711987, -87.94692014715088];4201 N 27TH ST
20;130150084;01/15/2013;04:17 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14381542425249, -87.95551079844459];6935 N TEUTONIA AV
