Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
141200004;04/30/2014;12:24 AM;4.0;SIMPLE ASSAULT;;;;;5335 N 37TH ST
141200025;04/30/2014;07:32 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5916 N SHERMAN BL
141200040;04/30/2014;08:43 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4456 N TEUTONIA AV
141200153;04/30/2014;08:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;3100 W HAMPTON AV
141160153;04/29/2014;01:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;5030 N 24TH ST
141190002;04/29/2014;12:33 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6064 N 38TH ST
141190013;04/29/2014;02:54 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;3101 W GLENDALE AV
141190016;04/29/2014;07:09 AM;4.0;MOTOR VEHICLE THEFT;;;;;3003 W CARMEN AV
141190043;04/29/2014;10:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5173 N 35TH ST
141190065;04/29/2014;11:12 AM;7.0;ALL OTHER LARCENY;;;;;2475 W HAMPTON AV
141190066;04/29/2014;11:40 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1420 W HAUSER AV
141190067;04/29/2014;10:26 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5903 N 38TH ST
141190078;04/29/2014;01:40 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4930 N 40TH ST
141190105;04/29/2014;05:25 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2400 W VILLARD AV
141190123;04/29/2014;04:42 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4117 W FAIRMOUNT AV
141190134;04/29/2014;06:40 PM;7.0;SIMPLE ASSAULT;;;;;5139 N 47TH ST #2
141190140;04/29/2014;08:22 PM;4.0;THEFT FROM BUILDING;;;;;5928 N 39TH ST
141190143;04/29/2014;08:37 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4235 N 17TH ST
141190144;04/29/2014;07:26 PM;4.0;SHOPLIFTING;;;;;3030 W VILLARD AV
141180019;04/28/2014;06:27 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3820 W FLORIST AV
141180028;04/28/2014;09:16 AM;5.0;MOTOR VEHICLE THEFT;;;;;1900 W FIEBRANTZ AV
141180034;04/28/2014;07:47 AM;4.0;INTIMIDATION;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5211 N TEUTONIA AV
141180066;04/28/2014;10:56 AM;7.0;ALL OTHER LARCENY;;;;;4925 N 32ND ST
141180068;04/28/2014;01:15 PM;4.0;SIMPLE ASSAULT;;;;;6156 N 38TH ST
141180070;04/28/2014;01:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3000 W CAPITOL DR
141180089;04/28/2014;03:30 PM;5.0;THEFT FROM BUILDING;;;;;4032 N 12TH ST
141180114;04/28/2014;03:48 PM;4.0;SIMPLE ASSAULT;;;;;6828 N 41ST ST
141180120;04/28/2014;08:50 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2475 W ROOSEVELT DR
141180124;04/28/2014;07:11 PM;5.0;MOTOR VEHICLE THEFT;;;;;1400 W CAPITOL DR
141180164;04/28/2014;11:04 PM;4.0;MOTOR VEHICLE THEFT;;;;;5420 N 42ND ST
141170072;04/27/2014;02:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;4611 N GREEN BAY AV
141170089;04/27/2014;05:10 PM;7.0;SIMPLE ASSAULT;;;;;1818-A W FAIRMOUNT AV
141170092;04/27/2014;03:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;3845 W KILEY AV
141170110;04/27/2014;06:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;4112 N 21ST ST
141170128;04/27/2014;09:02 PM;5.0;SIMPLE ASSAULT;;;;;3000 W CAPITOL DR #101
141160027;04/26/2014;03:13 AM;7.0;MOTOR VEHICLE THEFT;;;;;5048 N 35TH ST
