Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
142110166;07/31/2014;05:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;4035 N 13TH ST
142120064;07/31/2014;10:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;5671 N 34TH ST
142120073;07/31/2014;09:27 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4308 N 19TH PL
142120077;07/31/2014;10:56 AM;5.0;AGGRAVATED ASSAULT;;;;;4201 N 27TH ST
142120087;07/31/2014;10:21 AM;7.0;ALL OTHER LARCENY;;;;;4875 N 32ND ST
142120117;07/31/2014;04:44 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3605 W KILEY AV
142110010;07/30/2014;12:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;5385 N GREEN BAY AV
142110038;07/30/2014;06:18 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5022 N 19TH PL
142110041;07/30/2014;06:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;5385 N GREEN BAY AV
142110044;07/30/2014;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;;;4917 W FAIRMOUNT AV
142110054;07/30/2014;08:32 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4010 W DOUGLAS AV
142110065;07/30/2014;06:42 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4940 N 24TH PL
142110068;07/30/2014;10:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;4858 N 19TH PL
142110079;07/30/2014;11:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2310 W LINWAL LA
142110086;07/30/2014;11:26 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5130 W HAMPTON AV
142110106;07/30/2014;01:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;4135 W MONROVIA WA
142110117;07/30/2014;01:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5131 N GREEN BAY AV
142110129;07/30/2014;02:37 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4156 N 24TH PL
142110133;07/30/2014;02:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;4830 N 20TH ST
142110134;07/30/2014;02:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5949 N 40TH ST
142110142;07/30/2014;03:06 PM;7.0;ROBBERY;;;;;5040 N 48TH ST
142110201;07/30/2014;02:00 PM;4.0;THEFT FROM BUILDING;;;;;5277 N 38TH ST
142110220;07/30/2014;08:18 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4821 N 21ST ST
142110227;07/30/2014;07:12 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4327 N 25TH ST
142110230;07/30/2014;09:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;5016 N HOPKINS ST
142110234;07/30/2014;02:37 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6824 N 42ND ST
